test all
test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_black xxmf pepper_1,test0_black xxmf pepper_2,test0_black xxmf pepper_5,test0_black xxmf pepper_4,test0_black xxmf pepper_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_black xxmf pepper_1,test1_black xxmf pepper_2,test1_black xxmf pepper_5,test1_black xxmf pepper_4,test1_black xxmf pepper_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test2_cinnamon_1,test2_cinnamon_2,test2_cinnamon_5,test2_cinnamon_4,test2_cinnamon_3,test2_black xxmf pepper_1,test2_black xxmf pepper_2,test2_black xxmf pepper_5,test2_black xxmf pepper_4,test2_black xxmf pepper_3,test2_paprika_1,test2_paprika_2,test2_paprika_5,test2_paprika_4,test2_paprika_3
cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,black xxmf pepper,black xxmf pepper,cinnamon,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,black xxmf pepper,black xxmf pepper,cinnamon,black xxmf pepper,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,paprika,black xxmf pepper
0.8243685,0.94457245,0.97511715,0.9419179,0.95938915,0.44969603,0.5234287,0.448183,0.4227142,0.5387316,0.8597237,0.9531371,0.83151627,0.8758308,0.869758,0.7514234,0.84593034,0.8972425,0.7327729,0.8576223,0.9347577,0.49352637,0.71138585,0.8372863,0.7435551,0.8611401,0.94657946,0.77708054,0.5862426,0.8752081,0.8808976,0.9122072,0.6950778,0.84139675,0.8137362,0.6874686,0.68699306,0.57173544,0.5924664,0.6057837,0.8414417,0.7771621,0.91779596,0.505105,0.5364924
test0
test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_black xxmf pepper_1,test0_black xxmf pepper_2,test0_black xxmf pepper_5,test0_black xxmf pepper_4,test0_black xxmf pepper_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3
cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,black xxmf pepper,black xxmf pepper,cinnamon,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper
0.8243685,0.94457245,0.97511715,0.9419179,0.95938915,0.44969603,0.5234287,0.448183,0.4227142,0.5387316,0.8597237,0.9531371,0.83151627,0.8758308,0.869758
test
test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_black xxmf pepper_1,test1_black xxmf pepper_2,test1_black xxmf pepper_5,test1_black xxmf pepper_4,test1_black xxmf pepper_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3
cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,black xxmf pepper,black xxmf pepper,cinnamon,black xxmf pepper
0.7514234,0.84593034,0.8972425,0.7327729,0.8576223,0.9347577,0.49352637,0.71138585,0.8372863,0.7435551,0.8611401,0.94657946,0.77708054,0.5862426,0.8752081
