test all
test0_cumin_1,test0_cumin_2,test0_cumin_5,test0_cumin_4,test0_cumin_3,test0_mrs xxmf dash_1,test0_mrs xxmf dash_2,test0_mrs xxmf dash_5,test0_mrs xxmf dash_4,test0_mrs xxmf dash_3,test0_curry_1,test0_curry_2,test0_curry_5,test0_curry_4,test0_curry_3,test1_cumin_1,test1_cumin_2,test1_cumin_5,test1_cumin_4,test1_cumin_3,test1_mrs xxmf dash_1,test1_mrs xxmf dash_2,test1_mrs xxmf dash_5,test1_mrs xxmf dash_4,test1_mrs xxmf dash_3,test1_curry_1,test1_curry_2,test1_curry_5,test1_curry_4,test1_curry_3,test2_cumin_1,test2_cumin_2,test2_cumin_5,test2_cumin_4,test2_cumin_3,test2_mrs xxmf dash_1,test2_mrs xxmf dash_2,test2_mrs xxmf dash_5,test2_mrs xxmf dash_4,test2_mrs xxmf dash_3,test2_curry_1,test2_curry_2,test2_curry_5,test2_curry_4,test2_curry_3
cumin,cumin,cumin,cumin,cumin,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,curry,curry,curry,curry,curry,mrs xxmf dash,cumin,cumin,cumin,cumin,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,curry,curry,cumin,curry,curry,cumin,cumin,cumin,cumin,cumin,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,cumin,curry,curry,curry,mrs xxmf dash,curry
0.69953316,0.8696578,0.75948805,0.6583884,0.80241597,0.7294483,0.5703213,0.7288463,0.71521586,0.6018879,0.87756824,0.9565216,0.9666214,0.9709076,0.96102715,0.9603469,0.9382079,0.84332705,0.5026745,0.7635122,0.97893906,0.9627779,0.9811756,0.9565448,0.9869032,0.94661415,0.9585324,0.5447896,0.8900539,0.79343295,0.94451386,0.8355172,0.5732094,0.72590166,0.75126845,0.8760086,0.4236267,0.5749948,0.66334677,0.47908753,0.9615149,0.75747013,0.9020542,0.3599308,0.8987948
test0
test0_cumin_1,test0_cumin_2,test0_cumin_5,test0_cumin_4,test0_cumin_3,test0_mrs xxmf dash_1,test0_mrs xxmf dash_2,test0_mrs xxmf dash_5,test0_mrs xxmf dash_4,test0_mrs xxmf dash_3,test0_curry_1,test0_curry_2,test0_curry_5,test0_curry_4,test0_curry_3
cumin,cumin,cumin,cumin,cumin,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,curry,curry,curry,curry,curry
0.69953316,0.8696578,0.75948805,0.6583884,0.80241597,0.7294483,0.5703213,0.7288463,0.71521586,0.6018879,0.87756824,0.9565216,0.9666214,0.9709076,0.96102715
test
test1_cumin_1,test1_cumin_2,test1_cumin_5,test1_cumin_4,test1_cumin_3,test1_mrs xxmf dash_1,test1_mrs xxmf dash_2,test1_mrs xxmf dash_5,test1_mrs xxmf dash_4,test1_mrs xxmf dash_3,test1_curry_1,test1_curry_2,test1_curry_5,test1_curry_4,test1_curry_3
mrs xxmf dash,cumin,cumin,cumin,cumin,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,curry,curry,cumin,curry,curry
0.9603469,0.9382079,0.84332705,0.5026745,0.7635122,0.97893906,0.9627779,0.9811756,0.9565448,0.9869032,0.94661415,0.9585324,0.5447896,0.8900539,0.79343295
