test all
test0_cumin_1,test0_cumin_2,test0_cumin_5,test0_cumin_4,test0_cumin_3,test0_mrs xxmf dash_1,test0_mrs xxmf dash_2,test0_mrs xxmf dash_5,test0_mrs xxmf dash_4,test0_mrs xxmf dash_3,test0_curry_1,test0_curry_2,test0_curry_5,test0_curry_4,test0_curry_3,test1_cumin_1,test1_cumin_2,test1_cumin_5,test1_cumin_4,test1_cumin_3,test1_mrs xxmf dash_1,test1_mrs xxmf dash_2,test1_mrs xxmf dash_5,test1_mrs xxmf dash_4,test1_mrs xxmf dash_3,test1_curry_1,test1_curry_2,test1_curry_5,test1_curry_4,test1_curry_3,test2_cumin_1,test2_cumin_2,test2_cumin_5,test2_cumin_4,test2_cumin_3,test2_mrs xxmf dash_1,test2_mrs xxmf dash_2,test2_mrs xxmf dash_5,test2_mrs xxmf dash_4,test2_mrs xxmf dash_3,test2_curry_1,test2_curry_2,test2_curry_5,test2_curry_4,test2_curry_3
cumin,cumin,cumin,cumin,cumin,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,curry,curry,curry,curry,curry,mrs xxmf dash,cumin,cumin,cumin,cumin,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,curry,curry,cumin,curry,curry,cumin,cumin,cumin,cumin,cumin,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,cumin,curry,curry,curry,mrs xxmf dash,curry
0.7228662,0.8858175,0.7824228,0.6886042,0.821201,0.7330011,0.5845856,0.7386123,0.7143555,0.6206813,0.868108,0.9565531,0.9682834,0.9714055,0.9627383,0.96070665,0.943958,0.8576971,0.5259535,0.77845895,0.97891885,0.9635854,0.98120695,0.9557968,0.9867458,0.93710387,0.9562656,0.5623757,0.8788649,0.7555758,0.94587076,0.84738106,0.5969238,0.75369745,0.77567357,0.87959343,0.43716323,0.5889818,0.6778615,0.4967212,0.95861906,0.72436047,0.89157426,0.36652976,0.89392304
test0
test0_cumin_1,test0_cumin_2,test0_cumin_5,test0_cumin_4,test0_cumin_3,test0_mrs xxmf dash_1,test0_mrs xxmf dash_2,test0_mrs xxmf dash_5,test0_mrs xxmf dash_4,test0_mrs xxmf dash_3,test0_curry_1,test0_curry_2,test0_curry_5,test0_curry_4,test0_curry_3
cumin,cumin,cumin,cumin,cumin,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,curry,curry,curry,curry,curry
0.7228662,0.8858175,0.7824228,0.6886042,0.821201,0.7330011,0.5845856,0.7386123,0.7143555,0.6206813,0.868108,0.9565531,0.9682834,0.9714055,0.9627383
test
test1_cumin_1,test1_cumin_2,test1_cumin_5,test1_cumin_4,test1_cumin_3,test1_mrs xxmf dash_1,test1_mrs xxmf dash_2,test1_mrs xxmf dash_5,test1_mrs xxmf dash_4,test1_mrs xxmf dash_3,test1_curry_1,test1_curry_2,test1_curry_5,test1_curry_4,test1_curry_3
mrs xxmf dash,cumin,cumin,cumin,cumin,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,mrs xxmf dash,curry,curry,cumin,curry,curry
0.96070665,0.943958,0.8576971,0.5259535,0.77845895,0.97891885,0.9635854,0.98120695,0.9557968,0.9867458,0.93710387,0.9562656,0.5623757,0.8788649,0.7555758
