test all
test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_seasoned xxmf salt_1,test0_seasoned xxmf salt_2,test0_seasoned xxmf salt_5,test0_seasoned xxmf salt_4,test0_seasoned xxmf salt_3,test0_cayenne xxmf pepper_1,test0_cayenne xxmf pepper_2,test0_cayenne xxmf pepper_5,test0_cayenne xxmf pepper_4,test0_cayenne xxmf pepper_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_seasoned xxmf salt_1,test1_seasoned xxmf salt_2,test1_seasoned xxmf salt_5,test1_seasoned xxmf salt_4,test1_seasoned xxmf salt_3,test1_cayenne xxmf pepper_1,test1_cayenne xxmf pepper_2,test1_cayenne xxmf pepper_5,test1_cayenne xxmf pepper_4,test1_cayenne xxmf pepper_3,test2_chili xxmf powder_1,test2_chili xxmf powder_2,test2_chili xxmf powder_5,test2_chili xxmf powder_4,test2_chili xxmf powder_3,test2_seasoned xxmf salt_1,test2_seasoned xxmf salt_2,test2_seasoned xxmf salt_5,test2_seasoned xxmf salt_4,test2_seasoned xxmf salt_3,test2_cayenne xxmf pepper_1,test2_cayenne xxmf pepper_2,test2_cayenne xxmf pepper_5,test2_cayenne xxmf pepper_4,test2_cayenne xxmf pepper_3
cayenne xxmf pepper,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper
0.96034294,0.7464752,0.46555865,0.5178038,0.86819905,0.8794621,0.72078514,0.90930235,0.81495774,0.65277046,0.9098516,0.8076831,0.9430265,0.91627115,0.88317937,0.9560311,0.9473039,0.92286634,0.79712325,0.977003,0.9415253,0.9534089,0.8252614,0.98009354,0.99080056,0.75897956,0.6182595,0.5549576,0.8349049,0.84885025,0.87903607,0.8643181,0.611084,0.95928264,0.8384341,0.9311112,0.9889631,0.95551103,0.9195988,0.9635143,0.6134685,0.7994083,0.5406598,0.7146822,0.5565588
test0
test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_seasoned xxmf salt_1,test0_seasoned xxmf salt_2,test0_seasoned xxmf salt_5,test0_seasoned xxmf salt_4,test0_seasoned xxmf salt_3,test0_cayenne xxmf pepper_1,test0_cayenne xxmf pepper_2,test0_cayenne xxmf pepper_5,test0_cayenne xxmf pepper_4,test0_cayenne xxmf pepper_3
cayenne xxmf pepper,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper
0.96034294,0.7464752,0.46555865,0.5178038,0.86819905,0.8794621,0.72078514,0.90930235,0.81495774,0.65277046,0.9098516,0.8076831,0.9430265,0.91627115,0.88317937
test
test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_seasoned xxmf salt_1,test1_seasoned xxmf salt_2,test1_seasoned xxmf salt_5,test1_seasoned xxmf salt_4,test1_seasoned xxmf salt_3,test1_cayenne xxmf pepper_1,test1_cayenne xxmf pepper_2,test1_cayenne xxmf pepper_5,test1_cayenne xxmf pepper_4,test1_cayenne xxmf pepper_3
seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper
0.9560311,0.9473039,0.92286634,0.79712325,0.977003,0.9415253,0.9534089,0.8252614,0.98009354,0.99080056,0.75897956,0.6182595,0.5549576,0.8349049,0.84885025
