test all
test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_seasoned xxmf salt_1,test0_seasoned xxmf salt_2,test0_seasoned xxmf salt_5,test0_seasoned xxmf salt_4,test0_seasoned xxmf salt_3,test0_cayenne xxmf pepper_1,test0_cayenne xxmf pepper_2,test0_cayenne xxmf pepper_5,test0_cayenne xxmf pepper_4,test0_cayenne xxmf pepper_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_seasoned xxmf salt_1,test1_seasoned xxmf salt_2,test1_seasoned xxmf salt_5,test1_seasoned xxmf salt_4,test1_seasoned xxmf salt_3,test1_cayenne xxmf pepper_1,test1_cayenne xxmf pepper_2,test1_cayenne xxmf pepper_5,test1_cayenne xxmf pepper_4,test1_cayenne xxmf pepper_3,test2_chili xxmf powder_1,test2_chili xxmf powder_2,test2_chili xxmf powder_5,test2_chili xxmf powder_4,test2_chili xxmf powder_3,test2_seasoned xxmf salt_1,test2_seasoned xxmf salt_2,test2_seasoned xxmf salt_5,test2_seasoned xxmf salt_4,test2_seasoned xxmf salt_3,test2_cayenne xxmf pepper_1,test2_cayenne xxmf pepper_2,test2_cayenne xxmf pepper_5,test2_cayenne xxmf pepper_4,test2_cayenne xxmf pepper_3
cayenne xxmf pepper,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper
0.94953907,0.7179109,0.49114332,0.55038697,0.8688782,0.89615273,0.7122127,0.9066555,0.81801146,0.628056,0.89853644,0.7979083,0.9426719,0.91172457,0.86685866,0.96583784,0.94502616,0.9167755,0.76102835,0.9771081,0.9531335,0.95624876,0.86056846,0.9790552,0.9911794,0.7949493,0.70035607,0.60064286,0.8207641,0.82660455,0.87069786,0.85041904,0.64036417,0.95716965,0.86874646,0.947376,0.98846996,0.9663417,0.9239651,0.96573347,0.57731456,0.8218226,0.5870517,0.6800686,0.51261586
test0
test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_seasoned xxmf salt_1,test0_seasoned xxmf salt_2,test0_seasoned xxmf salt_5,test0_seasoned xxmf salt_4,test0_seasoned xxmf salt_3,test0_cayenne xxmf pepper_1,test0_cayenne xxmf pepper_2,test0_cayenne xxmf pepper_5,test0_cayenne xxmf pepper_4,test0_cayenne xxmf pepper_3
cayenne xxmf pepper,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper
0.94953907,0.7179109,0.49114332,0.55038697,0.8688782,0.89615273,0.7122127,0.9066555,0.81801146,0.628056,0.89853644,0.7979083,0.9426719,0.91172457,0.86685866
test
test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_seasoned xxmf salt_1,test1_seasoned xxmf salt_2,test1_seasoned xxmf salt_5,test1_seasoned xxmf salt_4,test1_seasoned xxmf salt_3,test1_cayenne xxmf pepper_1,test1_cayenne xxmf pepper_2,test1_cayenne xxmf pepper_5,test1_cayenne xxmf pepper_4,test1_cayenne xxmf pepper_3
seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,seasoned xxmf salt,cayenne xxmf pepper,cayenne xxmf pepper
0.96583784,0.94502616,0.9167755,0.76102835,0.9771081,0.9531335,0.95624876,0.86056846,0.9790552,0.9911794,0.7949493,0.70035607,0.60064286,0.8207641,0.82660455
