test all
test0_cookie xxmf crisp_1,test0_cookie xxmf crisp_2,test0_cookie xxmf crisp_5,test0_cookie xxmf crisp_4,test0_cookie xxmf crisp_3,test0_rice xxmf chex_1,test0_rice xxmf chex_2,test0_rice xxmf chex_5,test0_rice xxmf chex_4,test0_rice xxmf chex_3,test0_honeycombs_1,test0_honeycombs_2,test0_honeycombs_5,test0_honeycombs_4,test0_honeycombs_3,test1_cookie xxmf crisp_1,test1_cookie xxmf crisp_2,test1_cookie xxmf crisp_5,test1_cookie xxmf crisp_4,test1_cookie xxmf crisp_3,test1_rice xxmf chex_1,test1_rice xxmf chex_2,test1_rice xxmf chex_5,test1_rice xxmf chex_4,test1_rice xxmf chex_3,test1_honeycombs_1,test1_honeycombs_2,test1_honeycombs_5,test1_honeycombs_4,test1_honeycombs_3,test2_cookie xxmf crisp_1,test2_cookie xxmf crisp_2,test2_cookie xxmf crisp_5,test2_cookie xxmf crisp_4,test2_cookie xxmf crisp_3,test2_rice xxmf chex_1,test2_rice xxmf chex_2,test2_rice xxmf chex_5,test2_rice xxmf chex_4,test2_rice xxmf chex_3,test2_honeycombs_1,test2_honeycombs_2,test2_honeycombs_5,test2_honeycombs_4,test2_honeycombs_3
cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,rice xxmf chex,rice xxmf chex,rice xxmf chex,rice xxmf chex,rice xxmf chex,honeycombs,honeycombs,honeycombs,honeycombs,honeycombs,cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,rice xxmf chex,rice xxmf chex,rice xxmf chex,rice xxmf chex,rice xxmf chex,honeycombs,honeycombs,honeycombs,honeycombs,honeycombs,cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,rice xxmf chex,rice xxmf chex,rice xxmf chex,rice xxmf chex,rice xxmf chex,honeycombs,honeycombs,honeycombs,honeycombs,honeycombs
0.96866757,0.95360017,0.93820655,0.8795641,0.96409935,0.94661665,0.9399221,0.97129864,0.97211933,0.9746439,0.99834275,0.9872039,0.9939182,0.9916686,0.99205315,0.97670776,0.92798907,0.9768176,0.9467743,0.96542114,0.9885427,0.9802964,0.98988956,0.9897848,0.988172,0.99467754,0.9892697,0.991582,0.9788599,0.9933537,0.97899,0.9723008,0.9786783,0.9596002,0.98074406,0.98590094,0.98716843,0.9816949,0.98167586,0.98303634,0.997719,0.9935713,0.9952296,0.99164844,0.9853564
test0
test0_cookie xxmf crisp_1,test0_cookie xxmf crisp_2,test0_cookie xxmf crisp_5,test0_cookie xxmf crisp_4,test0_cookie xxmf crisp_3,test0_rice xxmf chex_1,test0_rice xxmf chex_2,test0_rice xxmf chex_5,test0_rice xxmf chex_4,test0_rice xxmf chex_3,test0_honeycombs_1,test0_honeycombs_2,test0_honeycombs_5,test0_honeycombs_4,test0_honeycombs_3
cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,rice xxmf chex,rice xxmf chex,rice xxmf chex,rice xxmf chex,rice xxmf chex,honeycombs,honeycombs,honeycombs,honeycombs,honeycombs
0.96866757,0.95360017,0.93820655,0.8795641,0.96409935,0.94661665,0.9399221,0.97129864,0.97211933,0.9746439,0.99834275,0.9872039,0.9939182,0.9916686,0.99205315
test
test1_cookie xxmf crisp_1,test1_cookie xxmf crisp_2,test1_cookie xxmf crisp_5,test1_cookie xxmf crisp_4,test1_cookie xxmf crisp_3,test1_rice xxmf chex_1,test1_rice xxmf chex_2,test1_rice xxmf chex_5,test1_rice xxmf chex_4,test1_rice xxmf chex_3,test1_honeycombs_1,test1_honeycombs_2,test1_honeycombs_5,test1_honeycombs_4,test1_honeycombs_3
cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,cookie xxmf crisp,rice xxmf chex,rice xxmf chex,rice xxmf chex,rice xxmf chex,rice xxmf chex,honeycombs,honeycombs,honeycombs,honeycombs,honeycombs
0.97670776,0.92798907,0.9768176,0.9467743,0.96542114,0.9885427,0.9802964,0.98988956,0.9897848,0.988172,0.99467754,0.9892697,0.991582,0.9788599,0.9933537
