test all
test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_basil_1,test0_basil_2,test0_basil_5,test0_basil_4,test0_basil_3,test0_garlic xxmf powder_1,test0_garlic xxmf powder_2,test0_garlic xxmf powder_5,test0_garlic xxmf powder_4,test0_garlic xxmf powder_3,test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_basil_1,test1_basil_2,test1_basil_5,test1_basil_4,test1_basil_3,test1_garlic xxmf powder_1,test1_garlic xxmf powder_2,test1_garlic xxmf powder_5,test1_garlic xxmf powder_4,test1_garlic xxmf powder_3,test2_onion xxmf powder_1,test2_onion xxmf powder_2,test2_onion xxmf powder_5,test2_onion xxmf powder_4,test2_onion xxmf powder_3,test2_basil_1,test2_basil_2,test2_basil_5,test2_basil_4,test2_basil_3,test2_garlic xxmf powder_1,test2_garlic xxmf powder_2,test2_garlic xxmf powder_5,test2_garlic xxmf powder_4,test2_garlic xxmf powder_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,basil,basil,basil,basil,basil,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,basil,basil,basil,basil,basil,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,basil,basil,basil,basil,basil,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder
0.95772773,0.9273741,0.85903746,0.87432927,0.90658605,0.72984624,0.9404971,0.95448786,0.98507833,0.9554218,0.8572413,0.87829685,0.88967586,0.88331836,0.93292254,0.9014966,0.9527191,0.9392566,0.9628052,0.9530734,0.9169238,0.9626028,0.9743766,0.96692556,0.95246273,0.9216718,0.8349866,0.91413516,0.83172905,0.92241406,0.82624,0.9028197,0.9395675,0.8431312,0.9157189,0.95279765,0.9636638,0.97739273,0.98301536,0.9509084,0.93557763,0.8601205,0.87183964,0.9389446,0.8962054
test0
test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_basil_1,test0_basil_2,test0_basil_5,test0_basil_4,test0_basil_3,test0_garlic xxmf powder_1,test0_garlic xxmf powder_2,test0_garlic xxmf powder_5,test0_garlic xxmf powder_4,test0_garlic xxmf powder_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,basil,basil,basil,basil,basil,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder
0.95772773,0.9273741,0.85903746,0.87432927,0.90658605,0.72984624,0.9404971,0.95448786,0.98507833,0.9554218,0.8572413,0.87829685,0.88967586,0.88331836,0.93292254
test
test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_basil_1,test1_basil_2,test1_basil_5,test1_basil_4,test1_basil_3,test1_garlic xxmf powder_1,test1_garlic xxmf powder_2,test1_garlic xxmf powder_5,test1_garlic xxmf powder_4,test1_garlic xxmf powder_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,basil,basil,basil,basil,basil,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder
0.9014966,0.9527191,0.9392566,0.9628052,0.9530734,0.9169238,0.9626028,0.9743766,0.96692556,0.95246273,0.9216718,0.8349866,0.91413516,0.83172905,0.92241406
