test all
test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_basil_1,test0_basil_2,test0_basil_5,test0_basil_4,test0_basil_3,test0_garlic xxmf powder_1,test0_garlic xxmf powder_2,test0_garlic xxmf powder_5,test0_garlic xxmf powder_4,test0_garlic xxmf powder_3,test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_basil_1,test1_basil_2,test1_basil_5,test1_basil_4,test1_basil_3,test1_garlic xxmf powder_1,test1_garlic xxmf powder_2,test1_garlic xxmf powder_5,test1_garlic xxmf powder_4,test1_garlic xxmf powder_3,test2_onion xxmf powder_1,test2_onion xxmf powder_2,test2_onion xxmf powder_5,test2_onion xxmf powder_4,test2_onion xxmf powder_3,test2_basil_1,test2_basil_2,test2_basil_5,test2_basil_4,test2_basil_3,test2_garlic xxmf powder_1,test2_garlic xxmf powder_2,test2_garlic xxmf powder_5,test2_garlic xxmf powder_4,test2_garlic xxmf powder_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,basil,basil,basil,basil,basil,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,basil,basil,basil,basil,basil,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,basil,basil,basil,basil,basil,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder
0.9556866,0.92388004,0.85407686,0.86846155,0.9004257,0.7367882,0.94213074,0.95603025,0.98556966,0.95646495,0.8689018,0.88545716,0.894722,0.88857687,0.93664545,0.8992962,0.95226187,0.93764496,0.96135557,0.95212674,0.9208028,0.96297663,0.97528535,0.96823657,0.9536056,0.92669886,0.83754843,0.9202902,0.8387951,0.9251478,0.818469,0.89763707,0.937554,0.8342427,0.91131043,0.95499575,0.9638661,0.97788507,0.9836481,0.95239484,0.9412677,0.86720216,0.87879,0.9419957,0.90204394
test0
test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_basil_1,test0_basil_2,test0_basil_5,test0_basil_4,test0_basil_3,test0_garlic xxmf powder_1,test0_garlic xxmf powder_2,test0_garlic xxmf powder_5,test0_garlic xxmf powder_4,test0_garlic xxmf powder_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,basil,basil,basil,basil,basil,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder
0.9556866,0.92388004,0.85407686,0.86846155,0.9004257,0.7367882,0.94213074,0.95603025,0.98556966,0.95646495,0.8689018,0.88545716,0.894722,0.88857687,0.93664545
test
test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_basil_1,test1_basil_2,test1_basil_5,test1_basil_4,test1_basil_3,test1_garlic xxmf powder_1,test1_garlic xxmf powder_2,test1_garlic xxmf powder_5,test1_garlic xxmf powder_4,test1_garlic xxmf powder_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,basil,basil,basil,basil,basil,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder
0.8992962,0.95226187,0.93764496,0.96135557,0.95212674,0.9208028,0.96297663,0.97528535,0.96823657,0.9536056,0.92669886,0.83754843,0.9202902,0.8387951,0.9251478
