test all
test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test0_nutmeg_1,test0_nutmeg_2,test0_nutmeg_5,test0_nutmeg_4,test0_nutmeg_3,test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test1_nutmeg_1,test1_nutmeg_2,test1_nutmeg_5,test1_nutmeg_4,test1_nutmeg_3,test2_onion xxmf powder_1,test2_onion xxmf powder_2,test2_onion xxmf powder_5,test2_onion xxmf powder_4,test2_onion xxmf powder_3,test2_paprika_1,test2_paprika_2,test2_paprika_5,test2_paprika_4,test2_paprika_3,test2_nutmeg_1,test2_nutmeg_2,test2_nutmeg_5,test2_nutmeg_4,test2_nutmeg_3
paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,onion xxmf powder,paprika,onion xxmf powder,paprika
0.9554722,0.76578456,0.8635098,0.8414811,0.84151673,0.94547737,0.95310783,0.91910833,0.90591353,0.9628702,0.9539246,0.9526032,0.98490846,0.95008785,0.89284414,0.6869036,0.9281985,0.94271034,0.88417596,0.9233482,0.94013894,0.7592556,0.9306488,0.94013727,0.71702623,0.9393559,0.8424346,0.93889964,0.95402074,0.96278423,0.59870404,0.6862071,0.6690647,0.7322495,0.5611949,0.69237065,0.8096817,0.66278464,0.6405127,0.89361453,0.6459255,0.43958244,0.935663,0.4268877,0.8637093
test0
test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test0_nutmeg_1,test0_nutmeg_2,test0_nutmeg_5,test0_nutmeg_4,test0_nutmeg_3
paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika
0.9554722,0.76578456,0.8635098,0.8414811,0.84151673,0.94547737,0.95310783,0.91910833,0.90591353,0.9628702,0.9539246,0.9526032,0.98490846,0.95008785,0.89284414
test
test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test1_nutmeg_1,test1_nutmeg_2,test1_nutmeg_5,test1_nutmeg_4,test1_nutmeg_3
paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika
0.6869036,0.9281985,0.94271034,0.88417596,0.9233482,0.94013894,0.7592556,0.9306488,0.94013727,0.71702623,0.9393559,0.8424346,0.93889964,0.95402074,0.96278423
