test all
test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test0_nutmeg_1,test0_nutmeg_2,test0_nutmeg_5,test0_nutmeg_4,test0_nutmeg_3,test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test1_nutmeg_1,test1_nutmeg_2,test1_nutmeg_5,test1_nutmeg_4,test1_nutmeg_3,test2_onion xxmf powder_1,test2_onion xxmf powder_2,test2_onion xxmf powder_5,test2_onion xxmf powder_4,test2_onion xxmf powder_3,test2_paprika_1,test2_paprika_2,test2_paprika_5,test2_paprika_4,test2_paprika_3,test2_nutmeg_1,test2_nutmeg_2,test2_nutmeg_5,test2_nutmeg_4,test2_nutmeg_3
paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,onion xxmf powder,paprika,onion xxmf powder,paprika
0.95718634,0.7925336,0.88170123,0.85172635,0.858696,0.9422024,0.9498143,0.9174118,0.9006908,0.9597734,0.951236,0.94521326,0.98333144,0.94776356,0.89446026,0.6909372,0.93731904,0.9405416,0.87447083,0.92489827,0.9349899,0.7600754,0.9217348,0.9346206,0.7110195,0.9304913,0.8200841,0.9324534,0.941429,0.9566314,0.6258996,0.6794299,0.6947469,0.72106415,0.5925683,0.69770133,0.80452275,0.63241655,0.640454,0.89632714,0.6433356,0.45408365,0.92626524,0.43404406,0.8700376
test0
test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test0_nutmeg_1,test0_nutmeg_2,test0_nutmeg_5,test0_nutmeg_4,test0_nutmeg_3
paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika
0.95718634,0.7925336,0.88170123,0.85172635,0.858696,0.9422024,0.9498143,0.9174118,0.9006908,0.9597734,0.951236,0.94521326,0.98333144,0.94776356,0.89446026
test
test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test1_nutmeg_1,test1_nutmeg_2,test1_nutmeg_5,test1_nutmeg_4,test1_nutmeg_3
paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika,paprika
0.6909372,0.93731904,0.9405416,0.87447083,0.92489827,0.9349899,0.7600754,0.9217348,0.9346206,0.7110195,0.9304913,0.8200841,0.9324534,0.941429,0.9566314
