test all
test0_pita xxmf chips_1,test0_pita xxmf chips_2,test0_pita xxmf chips_5,test0_pita xxmf chips_4,test0_pita xxmf chips_3,test0_chex xxmf mix_1,test0_chex xxmf mix_2,test0_chex xxmf mix_5,test0_chex xxmf mix_4,test0_chex xxmf mix_3,test0_cheez xxmf it_1,test0_cheez xxmf it_2,test0_cheez xxmf it_5,test0_cheez xxmf it_4,test0_cheez xxmf it_3,test1_pita xxmf chips_1,test1_pita xxmf chips_2,test1_pita xxmf chips_5,test1_pita xxmf chips_4,test1_pita xxmf chips_3,test1_chex xxmf mix_1,test1_chex xxmf mix_2,test1_chex xxmf mix_5,test1_chex xxmf mix_4,test1_chex xxmf mix_3,test1_cheez xxmf it_1,test1_cheez xxmf it_2,test1_cheez xxmf it_5,test1_cheez xxmf it_4,test1_cheez xxmf it_3,test2_pita xxmf chips_1,test2_pita xxmf chips_2,test2_pita xxmf chips_5,test2_pita xxmf chips_4,test2_pita xxmf chips_3,test2_chex xxmf mix_1,test2_chex xxmf mix_2,test2_chex xxmf mix_5,test2_chex xxmf mix_4,test2_chex xxmf mix_3,test2_cheez xxmf it_1,test2_cheez xxmf it_2,test2_cheez xxmf it_5,test2_cheez xxmf it_4,test2_cheez xxmf it_3
pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it
0.993174,0.98761135,0.9599241,0.9695041,0.9412773,0.99842274,0.9941399,0.9649186,0.960452,0.9964419,0.9760453,0.9818318,0.9933576,0.9929604,0.9896219,0.9781999,0.9936419,0.9828283,0.989801,0.9944847,0.9896309,0.9989674,0.974045,0.99572504,0.99835724,0.9951462,0.9934974,0.9920425,0.9945315,0.99561584,0.9905765,0.9854394,0.979185,0.9127856,0.9834552,0.9879871,0.99142647,0.99774325,0.99822575,0.99524516,0.9916644,0.9946502,0.955931,0.96366817,0.98943603
test0
test0_pita xxmf chips_1,test0_pita xxmf chips_2,test0_pita xxmf chips_5,test0_pita xxmf chips_4,test0_pita xxmf chips_3,test0_chex xxmf mix_1,test0_chex xxmf mix_2,test0_chex xxmf mix_5,test0_chex xxmf mix_4,test0_chex xxmf mix_3,test0_cheez xxmf it_1,test0_cheez xxmf it_2,test0_cheez xxmf it_5,test0_cheez xxmf it_4,test0_cheez xxmf it_3
pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it
0.993174,0.98761135,0.9599241,0.9695041,0.9412773,0.99842274,0.9941399,0.9649186,0.960452,0.9964419,0.9760453,0.9818318,0.9933576,0.9929604,0.9896219
test
test1_pita xxmf chips_1,test1_pita xxmf chips_2,test1_pita xxmf chips_5,test1_pita xxmf chips_4,test1_pita xxmf chips_3,test1_chex xxmf mix_1,test1_chex xxmf mix_2,test1_chex xxmf mix_5,test1_chex xxmf mix_4,test1_chex xxmf mix_3,test1_cheez xxmf it_1,test1_cheez xxmf it_2,test1_cheez xxmf it_5,test1_cheez xxmf it_4,test1_cheez xxmf it_3
pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it
0.9781999,0.9936419,0.9828283,0.989801,0.9944847,0.9896309,0.9989674,0.974045,0.99572504,0.99835724,0.9951462,0.9934974,0.9920425,0.9945315,0.99561584
