test all
test0_pita xxmf chips_1,test0_pita xxmf chips_2,test0_pita xxmf chips_5,test0_pita xxmf chips_4,test0_pita xxmf chips_3,test0_chex xxmf mix_1,test0_chex xxmf mix_2,test0_chex xxmf mix_5,test0_chex xxmf mix_4,test0_chex xxmf mix_3,test0_cheez xxmf it_1,test0_cheez xxmf it_2,test0_cheez xxmf it_5,test0_cheez xxmf it_4,test0_cheez xxmf it_3,test1_pita xxmf chips_1,test1_pita xxmf chips_2,test1_pita xxmf chips_5,test1_pita xxmf chips_4,test1_pita xxmf chips_3,test1_chex xxmf mix_1,test1_chex xxmf mix_2,test1_chex xxmf mix_5,test1_chex xxmf mix_4,test1_chex xxmf mix_3,test1_cheez xxmf it_1,test1_cheez xxmf it_2,test1_cheez xxmf it_5,test1_cheez xxmf it_4,test1_cheez xxmf it_3,test2_pita xxmf chips_1,test2_pita xxmf chips_2,test2_pita xxmf chips_5,test2_pita xxmf chips_4,test2_pita xxmf chips_3,test2_chex xxmf mix_1,test2_chex xxmf mix_2,test2_chex xxmf mix_5,test2_chex xxmf mix_4,test2_chex xxmf mix_3,test2_cheez xxmf it_1,test2_cheez xxmf it_2,test2_cheez xxmf it_5,test2_cheez xxmf it_4,test2_cheez xxmf it_3
pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it
0.9930396,0.98696345,0.95997304,0.9684614,0.9404436,0.998541,0.99451536,0.9674251,0.9610037,0.9966523,0.9758204,0.9816031,0.99355996,0.99297196,0.9898323,0.97672814,0.9932759,0.9797007,0.9896834,0.9940002,0.9904191,0.9990639,0.9759045,0.9959947,0.99851805,0.9953874,0.9941626,0.99252146,0.9949957,0.9958733,0.98985857,0.9834706,0.97754675,0.90533465,0.9814481,0.98819864,0.9922374,0.9980059,0.99839956,0.99564207,0.99221826,0.9950525,0.959646,0.9672501,0.99000096
test0
test0_pita xxmf chips_1,test0_pita xxmf chips_2,test0_pita xxmf chips_5,test0_pita xxmf chips_4,test0_pita xxmf chips_3,test0_chex xxmf mix_1,test0_chex xxmf mix_2,test0_chex xxmf mix_5,test0_chex xxmf mix_4,test0_chex xxmf mix_3,test0_cheez xxmf it_1,test0_cheez xxmf it_2,test0_cheez xxmf it_5,test0_cheez xxmf it_4,test0_cheez xxmf it_3
pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it
0.9930396,0.98696345,0.95997304,0.9684614,0.9404436,0.998541,0.99451536,0.9674251,0.9610037,0.9966523,0.9758204,0.9816031,0.99355996,0.99297196,0.9898323
test
test1_pita xxmf chips_1,test1_pita xxmf chips_2,test1_pita xxmf chips_5,test1_pita xxmf chips_4,test1_pita xxmf chips_3,test1_chex xxmf mix_1,test1_chex xxmf mix_2,test1_chex xxmf mix_5,test1_chex xxmf mix_4,test1_chex xxmf mix_3,test1_cheez xxmf it_1,test1_cheez xxmf it_2,test1_cheez xxmf it_5,test1_cheez xxmf it_4,test1_cheez xxmf it_3
pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,pita xxmf chips,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,chex xxmf mix,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it,cheez xxmf it
0.97672814,0.9932759,0.9797007,0.9896834,0.9940002,0.9904191,0.9990639,0.9759045,0.9959947,0.99851805,0.9953874,0.9941626,0.99252146,0.9949957,0.9958733
