test all
test0_lucky xxmf charms_1,test0_lucky xxmf charms_2,test0_lucky xxmf charms_5,test0_lucky xxmf charms_4,test0_lucky xxmf charms_3,test0_pops_1,test0_pops_2,test0_pops_5,test0_pops_4,test0_pops_3,test0_frosted xxmf flakes_1,test0_frosted xxmf flakes_2,test0_frosted xxmf flakes_5,test0_frosted xxmf flakes_4,test0_frosted xxmf flakes_3,test1_lucky xxmf charms_1,test1_lucky xxmf charms_2,test1_lucky xxmf charms_5,test1_lucky xxmf charms_4,test1_lucky xxmf charms_3,test1_pops_1,test1_pops_2,test1_pops_5,test1_pops_4,test1_pops_3,test1_frosted xxmf flakes_1,test1_frosted xxmf flakes_2,test1_frosted xxmf flakes_5,test1_frosted xxmf flakes_4,test1_frosted xxmf flakes_3,test2_lucky xxmf charms_1,test2_lucky xxmf charms_2,test2_lucky xxmf charms_5,test2_lucky xxmf charms_4,test2_lucky xxmf charms_3,test2_pops_1,test2_pops_2,test2_pops_5,test2_pops_4,test2_pops_3,test2_frosted xxmf flakes_1,test2_frosted xxmf flakes_2,test2_frosted xxmf flakes_5,test2_frosted xxmf flakes_4,test2_frosted xxmf flakes_3
lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,pops,pops,pops,pops,pops,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,pops,pops,pops,pops,pops,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,pops,pops,pops,pops,pops,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes
0.9774844,0.9889604,0.9715632,0.9841118,0.9878171,0.94251776,0.93435496,0.83466625,0.9229203,0.9060351,0.97529364,0.9628104,0.9739646,0.98154795,0.9548885,0.97646165,0.9800624,0.9841669,0.9751536,0.97584677,0.9334366,0.79291725,0.9636374,0.90541154,0.86316663,0.9738704,0.9839499,0.9348621,0.98807573,0.90462005,0.966212,0.97220165,0.9492084,0.9569005,0.9731328,0.9052212,0.8787819,0.85383373,0.7798456,0.9303096,0.9434149,0.9827649,0.9586724,0.96885663,0.97240645
test0
test0_lucky xxmf charms_1,test0_lucky xxmf charms_2,test0_lucky xxmf charms_5,test0_lucky xxmf charms_4,test0_lucky xxmf charms_3,test0_pops_1,test0_pops_2,test0_pops_5,test0_pops_4,test0_pops_3,test0_frosted xxmf flakes_1,test0_frosted xxmf flakes_2,test0_frosted xxmf flakes_5,test0_frosted xxmf flakes_4,test0_frosted xxmf flakes_3
lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,pops,pops,pops,pops,pops,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes
0.9774844,0.9889604,0.9715632,0.9841118,0.9878171,0.94251776,0.93435496,0.83466625,0.9229203,0.9060351,0.97529364,0.9628104,0.9739646,0.98154795,0.9548885
test
test1_lucky xxmf charms_1,test1_lucky xxmf charms_2,test1_lucky xxmf charms_5,test1_lucky xxmf charms_4,test1_lucky xxmf charms_3,test1_pops_1,test1_pops_2,test1_pops_5,test1_pops_4,test1_pops_3,test1_frosted xxmf flakes_1,test1_frosted xxmf flakes_2,test1_frosted xxmf flakes_5,test1_frosted xxmf flakes_4,test1_frosted xxmf flakes_3
lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,pops,pops,pops,pops,pops,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes
0.97646165,0.9800624,0.9841669,0.9751536,0.97584677,0.9334366,0.79291725,0.9636374,0.90541154,0.86316663,0.9738704,0.9839499,0.9348621,0.98807573,0.90462005
