test all
test0_lucky xxmf charms_1,test0_lucky xxmf charms_2,test0_lucky xxmf charms_5,test0_lucky xxmf charms_4,test0_lucky xxmf charms_3,test0_pops_1,test0_pops_2,test0_pops_5,test0_pops_4,test0_pops_3,test0_frosted xxmf flakes_1,test0_frosted xxmf flakes_2,test0_frosted xxmf flakes_5,test0_frosted xxmf flakes_4,test0_frosted xxmf flakes_3,test1_lucky xxmf charms_1,test1_lucky xxmf charms_2,test1_lucky xxmf charms_5,test1_lucky xxmf charms_4,test1_lucky xxmf charms_3,test1_pops_1,test1_pops_2,test1_pops_5,test1_pops_4,test1_pops_3,test1_frosted xxmf flakes_1,test1_frosted xxmf flakes_2,test1_frosted xxmf flakes_5,test1_frosted xxmf flakes_4,test1_frosted xxmf flakes_3,test2_lucky xxmf charms_1,test2_lucky xxmf charms_2,test2_lucky xxmf charms_5,test2_lucky xxmf charms_4,test2_lucky xxmf charms_3,test2_pops_1,test2_pops_2,test2_pops_5,test2_pops_4,test2_pops_3,test2_frosted xxmf flakes_1,test2_frosted xxmf flakes_2,test2_frosted xxmf flakes_5,test2_frosted xxmf flakes_4,test2_frosted xxmf flakes_3
lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,pops,pops,pops,pops,pops,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,pops,pops,pops,pops,pops,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,pops,pops,pops,pops,pops,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes
0.97712237,0.9888588,0.97044295,0.983383,0.98690736,0.94523233,0.9390218,0.8405352,0.9256543,0.9122826,0.97621185,0.9640288,0.9750182,0.9816273,0.95609224,0.9760844,0.97814685,0.98322153,0.9733267,0.9744271,0.93741035,0.80000937,0.965986,0.909468,0.8687583,0.97524387,0.9849261,0.9377085,0.9889465,0.907056,0.9650141,0.97160655,0.94608957,0.9553267,0.9730008,0.9082823,0.8811053,0.852763,0.78086406,0.9316355,0.94563615,0.98418856,0.9607224,0.9701166,0.97437274
test0
test0_lucky xxmf charms_1,test0_lucky xxmf charms_2,test0_lucky xxmf charms_5,test0_lucky xxmf charms_4,test0_lucky xxmf charms_3,test0_pops_1,test0_pops_2,test0_pops_5,test0_pops_4,test0_pops_3,test0_frosted xxmf flakes_1,test0_frosted xxmf flakes_2,test0_frosted xxmf flakes_5,test0_frosted xxmf flakes_4,test0_frosted xxmf flakes_3
lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,pops,pops,pops,pops,pops,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes
0.97712237,0.9888588,0.97044295,0.983383,0.98690736,0.94523233,0.9390218,0.8405352,0.9256543,0.9122826,0.97621185,0.9640288,0.9750182,0.9816273,0.95609224
test
test1_lucky xxmf charms_1,test1_lucky xxmf charms_2,test1_lucky xxmf charms_5,test1_lucky xxmf charms_4,test1_lucky xxmf charms_3,test1_pops_1,test1_pops_2,test1_pops_5,test1_pops_4,test1_pops_3,test1_frosted xxmf flakes_1,test1_frosted xxmf flakes_2,test1_frosted xxmf flakes_5,test1_frosted xxmf flakes_4,test1_frosted xxmf flakes_3
lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,pops,pops,pops,pops,pops,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes
0.9760844,0.97814685,0.98322153,0.9733267,0.9744271,0.93741035,0.80000937,0.965986,0.909468,0.8687583,0.97524387,0.9849261,0.9377085,0.9889465,0.907056
