test all
test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_cocoa xxmf pebbles_1,test0_cocoa xxmf pebbles_2,test0_cocoa xxmf pebbles_5,test0_cocoa xxmf pebbles_4,test0_cocoa xxmf pebbles_3,test0_frosted xxmf flakes_1,test0_frosted xxmf flakes_2,test0_frosted xxmf flakes_5,test0_frosted xxmf flakes_4,test0_frosted xxmf flakes_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_cocoa xxmf pebbles_1,test1_cocoa xxmf pebbles_2,test1_cocoa xxmf pebbles_5,test1_cocoa xxmf pebbles_4,test1_cocoa xxmf pebbles_3,test1_frosted xxmf flakes_1,test1_frosted xxmf flakes_2,test1_frosted xxmf flakes_5,test1_frosted xxmf flakes_4,test1_frosted xxmf flakes_3
cheerios,cocoa xxmf pebbles,cheerios,cheerios,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,cheerios,cheerios,cheerios,cheerios,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes
0.9424437,0.5300502,0.7146232,0.7215217,0.59972465,0.99615675,0.967107,0.97088706,0.9850114,0.946301,0.9770155,0.9764673,0.99085134,0.997033,0.991626,0.9938169,0.6533889,0.8396505,0.7654414,0.6909865,0.9534262,0.99312735,0.987336,0.98699385,0.9790172,0.9885975,0.9927562,0.9930421,0.99095553,0.9969393
test0
test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_cocoa xxmf pebbles_1,test0_cocoa xxmf pebbles_2,test0_cocoa xxmf pebbles_5,test0_cocoa xxmf pebbles_4,test0_cocoa xxmf pebbles_3,test0_frosted xxmf flakes_1,test0_frosted xxmf flakes_2,test0_frosted xxmf flakes_5,test0_frosted xxmf flakes_4,test0_frosted xxmf flakes_3
cheerios,cocoa xxmf pebbles,cheerios,cheerios,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes
0.9424437,0.5300502,0.7146232,0.7215217,0.59972465,0.99615675,0.967107,0.97088706,0.9850114,0.946301,0.9770155,0.9764673,0.99085134,0.997033,0.991626
test
test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_cocoa xxmf pebbles_1,test1_cocoa xxmf pebbles_2,test1_cocoa xxmf pebbles_5,test1_cocoa xxmf pebbles_4,test1_cocoa xxmf pebbles_3,test1_frosted xxmf flakes_1,test1_frosted xxmf flakes_2,test1_frosted xxmf flakes_5,test1_frosted xxmf flakes_4,test1_frosted xxmf flakes_3
frosted xxmf flakes,cheerios,cheerios,cheerios,cheerios,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,cocoa xxmf pebbles,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes,frosted xxmf flakes
0.9938169,0.6533889,0.8396505,0.7654414,0.6909865,0.9534262,0.99312735,0.987336,0.98699385,0.9790172,0.9885975,0.9927562,0.9930421,0.99095553,0.9969393
