test all
test0_ground xxmf cloves_1,test0_ground xxmf cloves_2,test0_ground xxmf cloves_5,test0_ground xxmf cloves_4,test0_ground xxmf cloves_3,test0_poultry xxmf seasoning_1,test0_poultry xxmf seasoning_2,test0_poultry xxmf seasoning_5,test0_poultry xxmf seasoning_4,test0_poultry xxmf seasoning_3,test0_sage_1,test0_sage_2,test0_sage_5,test0_sage_4,test0_sage_3,test1_ground xxmf cloves_1,test1_ground xxmf cloves_2,test1_ground xxmf cloves_5,test1_ground xxmf cloves_4,test1_ground xxmf cloves_3,test1_poultry xxmf seasoning_1,test1_poultry xxmf seasoning_2,test1_poultry xxmf seasoning_5,test1_poultry xxmf seasoning_4,test1_poultry xxmf seasoning_3,test1_sage_1,test1_sage_2,test1_sage_5,test1_sage_4,test1_sage_3,test2_ground xxmf cloves_1,test2_ground xxmf cloves_2,test2_ground xxmf cloves_5,test2_ground xxmf cloves_4,test2_ground xxmf cloves_3,test2_poultry xxmf seasoning_1,test2_poultry xxmf seasoning_2,test2_poultry xxmf seasoning_5,test2_poultry xxmf seasoning_4,test2_poultry xxmf seasoning_3,test2_sage_1,test2_sage_2,test2_sage_5,test2_sage_4,test2_sage_3
sage,sage,sage,poultry xxmf seasoning,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage
0.7608214,0.9387541,0.5657651,0.5140891,0.60605913,0.9593923,0.5728396,0.9686387,0.9757308,0.9655356,0.75725317,0.94923663,0.87667817,0.9862919,0.97605455,0.82140446,0.98169637,0.8372697,0.7799888,0.915928,0.8061255,0.9721485,0.98996335,0.9951983,0.88665974,0.98317784,0.81437784,0.9084676,0.5779639,0.97050166,0.79910743,0.8423628,0.9361307,0.9443773,0.65903956,0.98132735,0.9877224,0.91521657,0.98796695,0.99040514,0.9566795,0.7946593,0.9725481,0.7976992,0.8764864
test0
test0_ground xxmf cloves_1,test0_ground xxmf cloves_2,test0_ground xxmf cloves_5,test0_ground xxmf cloves_4,test0_ground xxmf cloves_3,test0_poultry xxmf seasoning_1,test0_poultry xxmf seasoning_2,test0_poultry xxmf seasoning_5,test0_poultry xxmf seasoning_4,test0_poultry xxmf seasoning_3,test0_sage_1,test0_sage_2,test0_sage_5,test0_sage_4,test0_sage_3
sage,sage,sage,poultry xxmf seasoning,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage
0.7608214,0.9387541,0.5657651,0.5140891,0.60605913,0.9593923,0.5728396,0.9686387,0.9757308,0.9655356,0.75725317,0.94923663,0.87667817,0.9862919,0.97605455
test
test1_ground xxmf cloves_1,test1_ground xxmf cloves_2,test1_ground xxmf cloves_5,test1_ground xxmf cloves_4,test1_ground xxmf cloves_3,test1_poultry xxmf seasoning_1,test1_poultry xxmf seasoning_2,test1_poultry xxmf seasoning_5,test1_poultry xxmf seasoning_4,test1_poultry xxmf seasoning_3,test1_sage_1,test1_sage_2,test1_sage_5,test1_sage_4,test1_sage_3
sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage
0.82140446,0.98169637,0.8372697,0.7799888,0.915928,0.8061255,0.9721485,0.98996335,0.9951983,0.88665974,0.98317784,0.81437784,0.9084676,0.5779639,0.97050166
