test all
test0_ground xxmf cloves_1,test0_ground xxmf cloves_2,test0_ground xxmf cloves_5,test0_ground xxmf cloves_4,test0_ground xxmf cloves_3,test0_poultry xxmf seasoning_1,test0_poultry xxmf seasoning_2,test0_poultry xxmf seasoning_5,test0_poultry xxmf seasoning_4,test0_poultry xxmf seasoning_3,test0_sage_1,test0_sage_2,test0_sage_5,test0_sage_4,test0_sage_3,test1_ground xxmf cloves_1,test1_ground xxmf cloves_2,test1_ground xxmf cloves_5,test1_ground xxmf cloves_4,test1_ground xxmf cloves_3,test1_poultry xxmf seasoning_1,test1_poultry xxmf seasoning_2,test1_poultry xxmf seasoning_5,test1_poultry xxmf seasoning_4,test1_poultry xxmf seasoning_3,test1_sage_1,test1_sage_2,test1_sage_5,test1_sage_4,test1_sage_3,test2_ground xxmf cloves_1,test2_ground xxmf cloves_2,test2_ground xxmf cloves_5,test2_ground xxmf cloves_4,test2_ground xxmf cloves_3,test2_poultry xxmf seasoning_1,test2_poultry xxmf seasoning_2,test2_poultry xxmf seasoning_5,test2_poultry xxmf seasoning_4,test2_poultry xxmf seasoning_3,test2_sage_1,test2_sage_2,test2_sage_5,test2_sage_4,test2_sage_3
sage,sage,sage,poultry xxmf seasoning,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage
0.79743856,0.94449437,0.5710713,0.5053713,0.666352,0.96707135,0.5745641,0.96718264,0.97977257,0.97030354,0.7743194,0.94241697,0.8849922,0.9888875,0.9778958,0.79624844,0.9802514,0.8052818,0.7597725,0.90018237,0.83743054,0.97462374,0.99052536,0.9953377,0.89304906,0.9831964,0.8219929,0.9065138,0.5915185,0.9733955,0.76562035,0.8149253,0.9217746,0.9330537,0.6749546,0.98348135,0.989785,0.925611,0.9909903,0.9918358,0.9498404,0.79097354,0.96954614,0.81475824,0.8885811
test0
test0_ground xxmf cloves_1,test0_ground xxmf cloves_2,test0_ground xxmf cloves_5,test0_ground xxmf cloves_4,test0_ground xxmf cloves_3,test0_poultry xxmf seasoning_1,test0_poultry xxmf seasoning_2,test0_poultry xxmf seasoning_5,test0_poultry xxmf seasoning_4,test0_poultry xxmf seasoning_3,test0_sage_1,test0_sage_2,test0_sage_5,test0_sage_4,test0_sage_3
sage,sage,sage,poultry xxmf seasoning,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage
0.79743856,0.94449437,0.5710713,0.5053713,0.666352,0.96707135,0.5745641,0.96718264,0.97977257,0.97030354,0.7743194,0.94241697,0.8849922,0.9888875,0.9778958
test
test1_ground xxmf cloves_1,test1_ground xxmf cloves_2,test1_ground xxmf cloves_5,test1_ground xxmf cloves_4,test1_ground xxmf cloves_3,test1_poultry xxmf seasoning_1,test1_poultry xxmf seasoning_2,test1_poultry xxmf seasoning_5,test1_poultry xxmf seasoning_4,test1_poultry xxmf seasoning_3,test1_sage_1,test1_sage_2,test1_sage_5,test1_sage_4,test1_sage_3
sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage,sage
0.79624844,0.9802514,0.8052818,0.7597725,0.90018237,0.83743054,0.97462374,0.99052536,0.9953377,0.89304906,0.9831964,0.8219929,0.9065138,0.5915185,0.9733955
