test all
test0_bolt xxmf house_1,test0_bolt xxmf house_2,test0_bolt xxmf house_5,test0_bolt xxmf house_4,test0_bolt xxmf house_3,test0_rockstar_1,test0_rockstar_2,test0_rockstar_5,test0_rockstar_4,test0_rockstar_3,test0_rockstar xxmf zero_1,test0_rockstar xxmf zero_2,test0_rockstar xxmf zero_5,test0_rockstar xxmf zero_4,test0_rockstar xxmf zero_3,test1_bolt xxmf house_1,test1_bolt xxmf house_2,test1_bolt xxmf house_5,test1_bolt xxmf house_4,test1_bolt xxmf house_3,test1_rockstar_1,test1_rockstar_2,test1_rockstar_5,test1_rockstar_4,test1_rockstar_3,test1_rockstar xxmf zero_1,test1_rockstar xxmf zero_2,test1_rockstar xxmf zero_5,test1_rockstar xxmf zero_4,test1_rockstar xxmf zero_3,test2_bolt xxmf house_1,test2_bolt xxmf house_2,test2_bolt xxmf house_5,test2_bolt xxmf house_4,test2_bolt xxmf house_3,test2_rockstar_1,test2_rockstar_2,test2_rockstar_5,test2_rockstar_4,test2_rockstar_3,test2_rockstar xxmf zero_1,test2_rockstar xxmf zero_2,test2_rockstar xxmf zero_5,test2_rockstar xxmf zero_4,test2_rockstar xxmf zero_3
bolt xxmf house,rockstar,bolt xxmf house,bolt xxmf house,bolt xxmf house,rockstar xxmf zero,rockstar,rockstar,rockstar,rockstar,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,bolt xxmf house,bolt xxmf house,bolt xxmf house,bolt xxmf house,bolt xxmf house,rockstar xxmf zero,rockstar,rockstar,rockstar,rockstar,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,bolt xxmf house,bolt xxmf house,bolt xxmf house,rockstar xxmf zero,bolt xxmf house,rockstar xxmf zero,rockstar xxmf zero,rockstar,rockstar,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero
0.9655136,0.99253064,0.9717435,0.96473956,0.9891455,0.9955456,0.9614467,0.98545617,0.7591391,0.7801704,0.98441434,0.9874514,0.748042,0.9837969,0.9550538,0.9926588,0.9407703,0.79234034,0.93544304,0.8229972,0.9839642,0.98605597,0.53005606,0.77476716,0.91101706,0.9908636,0.69679,0.85642725,0.9696881,0.9860385,0.9068945,0.7991389,0.83271116,0.73471314,0.7021958,0.64465344,0.38105544,0.45061207,0.5295339,0.6231532,0.99383074,0.99213696,0.8301157,0.96536916,0.98842186
test0
test0_bolt xxmf house_1,test0_bolt xxmf house_2,test0_bolt xxmf house_5,test0_bolt xxmf house_4,test0_bolt xxmf house_3,test0_rockstar_1,test0_rockstar_2,test0_rockstar_5,test0_rockstar_4,test0_rockstar_3,test0_rockstar xxmf zero_1,test0_rockstar xxmf zero_2,test0_rockstar xxmf zero_5,test0_rockstar xxmf zero_4,test0_rockstar xxmf zero_3
bolt xxmf house,rockstar,bolt xxmf house,bolt xxmf house,bolt xxmf house,rockstar xxmf zero,rockstar,rockstar,rockstar,rockstar,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero
0.9655136,0.99253064,0.9717435,0.96473956,0.9891455,0.9955456,0.9614467,0.98545617,0.7591391,0.7801704,0.98441434,0.9874514,0.748042,0.9837969,0.9550538
test
test1_bolt xxmf house_1,test1_bolt xxmf house_2,test1_bolt xxmf house_5,test1_bolt xxmf house_4,test1_bolt xxmf house_3,test1_rockstar_1,test1_rockstar_2,test1_rockstar_5,test1_rockstar_4,test1_rockstar_3,test1_rockstar xxmf zero_1,test1_rockstar xxmf zero_2,test1_rockstar xxmf zero_5,test1_rockstar xxmf zero_4,test1_rockstar xxmf zero_3
bolt xxmf house,bolt xxmf house,bolt xxmf house,bolt xxmf house,bolt xxmf house,rockstar xxmf zero,rockstar,rockstar,rockstar,rockstar,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero
0.9926588,0.9407703,0.79234034,0.93544304,0.8229972,0.9839642,0.98605597,0.53005606,0.77476716,0.91101706,0.9908636,0.69679,0.85642725,0.9696881,0.9860385
