test all
test0_bolt xxmf house_1,test0_bolt xxmf house_2,test0_bolt xxmf house_5,test0_bolt xxmf house_4,test0_bolt xxmf house_3,test0_rockstar_1,test0_rockstar_2,test0_rockstar_5,test0_rockstar_4,test0_rockstar_3,test0_rockstar xxmf zero_1,test0_rockstar xxmf zero_2,test0_rockstar xxmf zero_5,test0_rockstar xxmf zero_4,test0_rockstar xxmf zero_3,test1_bolt xxmf house_1,test1_bolt xxmf house_2,test1_bolt xxmf house_5,test1_bolt xxmf house_4,test1_bolt xxmf house_3,test1_rockstar_1,test1_rockstar_2,test1_rockstar_5,test1_rockstar_4,test1_rockstar_3,test1_rockstar xxmf zero_1,test1_rockstar xxmf zero_2,test1_rockstar xxmf zero_5,test1_rockstar xxmf zero_4,test1_rockstar xxmf zero_3,test2_bolt xxmf house_1,test2_bolt xxmf house_2,test2_bolt xxmf house_5,test2_bolt xxmf house_4,test2_bolt xxmf house_3,test2_rockstar_1,test2_rockstar_2,test2_rockstar_5,test2_rockstar_4,test2_rockstar_3,test2_rockstar xxmf zero_1,test2_rockstar xxmf zero_2,test2_rockstar xxmf zero_5,test2_rockstar xxmf zero_4,test2_rockstar xxmf zero_3
bolt xxmf house,rockstar,bolt xxmf house,bolt xxmf house,bolt xxmf house,rockstar xxmf zero,rockstar,rockstar,rockstar,rockstar,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,bolt xxmf house,bolt xxmf house,bolt xxmf house,bolt xxmf house,bolt xxmf house,rockstar xxmf zero,rockstar,rockstar,rockstar,rockstar,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,bolt xxmf house,bolt xxmf house,bolt xxmf house,rockstar xxmf zero,bolt xxmf house,rockstar xxmf zero,rockstar,rockstar,rockstar,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero
0.9637119,0.9931831,0.9771055,0.9667749,0.988643,0.9952076,0.9637189,0.98455817,0.7327944,0.75454694,0.97746813,0.98321116,0.7513963,0.9821278,0.95153844,0.99247724,0.95355487,0.85725546,0.9543875,0.88475007,0.98155874,0.9854343,0.43027782,0.7678578,0.895929,0.990712,0.71174645,0.8501188,0.96908396,0.98676527,0.9031049,0.8103859,0.85174644,0.7173493,0.7317666,0.6665307,0.37527174,0.46689114,0.5590561,0.53044605,0.9935489,0.99212897,0.83155394,0.96209145,0.9882535
test0
test0_bolt xxmf house_1,test0_bolt xxmf house_2,test0_bolt xxmf house_5,test0_bolt xxmf house_4,test0_bolt xxmf house_3,test0_rockstar_1,test0_rockstar_2,test0_rockstar_5,test0_rockstar_4,test0_rockstar_3,test0_rockstar xxmf zero_1,test0_rockstar xxmf zero_2,test0_rockstar xxmf zero_5,test0_rockstar xxmf zero_4,test0_rockstar xxmf zero_3
bolt xxmf house,rockstar,bolt xxmf house,bolt xxmf house,bolt xxmf house,rockstar xxmf zero,rockstar,rockstar,rockstar,rockstar,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero
0.9637119,0.9931831,0.9771055,0.9667749,0.988643,0.9952076,0.9637189,0.98455817,0.7327944,0.75454694,0.97746813,0.98321116,0.7513963,0.9821278,0.95153844
test
test1_bolt xxmf house_1,test1_bolt xxmf house_2,test1_bolt xxmf house_5,test1_bolt xxmf house_4,test1_bolt xxmf house_3,test1_rockstar_1,test1_rockstar_2,test1_rockstar_5,test1_rockstar_4,test1_rockstar_3,test1_rockstar xxmf zero_1,test1_rockstar xxmf zero_2,test1_rockstar xxmf zero_5,test1_rockstar xxmf zero_4,test1_rockstar xxmf zero_3
bolt xxmf house,bolt xxmf house,bolt xxmf house,bolt xxmf house,bolt xxmf house,rockstar xxmf zero,rockstar,rockstar,rockstar,rockstar,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero,rockstar xxmf zero
0.99247724,0.95355487,0.85725546,0.9543875,0.88475007,0.98155874,0.9854343,0.43027782,0.7678578,0.895929,0.990712,0.71174645,0.8501188,0.96908396,0.98676527
