test all
test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_ginger xxmf _1,test0_ginger xxmf _2,test0_ginger xxmf _5,test0_ginger xxmf _4,test0_ginger xxmf _3,test0_red xxmf pepper_1,test0_red xxmf pepper_2,test0_red xxmf pepper_5,test0_red xxmf pepper_4,test0_red xxmf pepper_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_ginger xxmf _1,test1_ginger xxmf _2,test1_ginger xxmf _5,test1_ginger xxmf _4,test1_ginger xxmf _3,test1_red xxmf pepper_1,test1_red xxmf pepper_2,test1_red xxmf pepper_5,test1_red xxmf pepper_4,test1_red xxmf pepper_3,test2_cinnamon_1,test2_cinnamon_2,test2_cinnamon_5,test2_cinnamon_4,test2_cinnamon_3,test2_ginger xxmf _1,test2_ginger xxmf _2,test2_ginger xxmf _5,test2_ginger xxmf _4,test2_ginger xxmf _3,test2_red xxmf pepper_1,test2_red xxmf pepper_2,test2_red xxmf pepper_5,test2_red xxmf pepper_4,test2_red xxmf pepper_3
ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,cinnamon,cinnamon,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,cinnamon,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,cinnamon,ginger xxmf,cinnamon,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf
0.86718696,0.70769805,0.8989146,0.5565465,0.46162963,0.86154044,0.8623549,0.8580229,0.6863397,0.825507,0.94931597,0.7835774,0.63996565,0.59981537,0.47658646,0.463769,0.9098111,0.65589607,0.86454374,0.84482175,0.8788331,0.8199983,0.8001442,0.9170322,0.8674414,0.719886,0.53535056,0.68621993,0.41138673,0.8277744,0.6457179,0.6177217,0.94253653,0.9029322,0.89140457,0.78668827,0.7070689,0.79063636,0.95040756,0.8454071,0.8122937,0.6545763,0.86819595,0.8641832,0.67755145
test0
test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_ginger xxmf _1,test0_ginger xxmf _2,test0_ginger xxmf _5,test0_ginger xxmf _4,test0_ginger xxmf _3,test0_red xxmf pepper_1,test0_red xxmf pepper_2,test0_red xxmf pepper_5,test0_red xxmf pepper_4,test0_red xxmf pepper_3
ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,cinnamon
0.86718696,0.70769805,0.8989146,0.5565465,0.46162963,0.86154044,0.8623549,0.8580229,0.6863397,0.825507,0.94931597,0.7835774,0.63996565,0.59981537,0.47658646
test
test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_ginger xxmf _1,test1_ginger xxmf _2,test1_ginger xxmf _5,test1_ginger xxmf _4,test1_ginger xxmf _3,test1_red xxmf pepper_1,test1_red xxmf pepper_2,test1_red xxmf pepper_5,test1_red xxmf pepper_4,test1_red xxmf pepper_3
cinnamon,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,cinnamon,ginger xxmf,ginger xxmf,ginger xxmf
0.463769,0.9098111,0.65589607,0.86454374,0.84482175,0.8788331,0.8199983,0.8001442,0.9170322,0.8674414,0.719886,0.53535056,0.68621993,0.41138673,0.8277744
