test all
test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_ginger xxmf _1,test0_ginger xxmf _2,test0_ginger xxmf _5,test0_ginger xxmf _4,test0_ginger xxmf _3,test0_red xxmf pepper_1,test0_red xxmf pepper_2,test0_red xxmf pepper_5,test0_red xxmf pepper_4,test0_red xxmf pepper_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_ginger xxmf _1,test1_ginger xxmf _2,test1_ginger xxmf _5,test1_ginger xxmf _4,test1_ginger xxmf _3,test1_red xxmf pepper_1,test1_red xxmf pepper_2,test1_red xxmf pepper_5,test1_red xxmf pepper_4,test1_red xxmf pepper_3,test2_cinnamon_1,test2_cinnamon_2,test2_cinnamon_5,test2_cinnamon_4,test2_cinnamon_3,test2_ginger xxmf _1,test2_ginger xxmf _2,test2_ginger xxmf _5,test2_ginger xxmf _4,test2_ginger xxmf _3,test2_red xxmf pepper_1,test2_red xxmf pepper_2,test2_red xxmf pepper_5,test2_red xxmf pepper_4,test2_red xxmf pepper_3
ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,cinnamon,cinnamon,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,cinnamon,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,cinnamon,ginger xxmf,cinnamon,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf
0.8861657,0.7459077,0.9057715,0.5996737,0.49240634,0.8773228,0.87710595,0.8678143,0.68941844,0.83937323,0.95860046,0.8095769,0.6625959,0.63834786,0.44024488,0.3855779,0.92072684,0.6746337,0.8816081,0.8606294,0.8803412,0.82597345,0.8206902,0.9319257,0.87346125,0.74233407,0.45328096,0.7035889,0.45194426,0.8330362,0.6485365,0.5546346,0.95108753,0.87997997,0.9058296,0.78740185,0.7151605,0.79548115,0.9532376,0.859885,0.8234707,0.66697127,0.88059956,0.88107663,0.72041416
test0
test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_ginger xxmf _1,test0_ginger xxmf _2,test0_ginger xxmf _5,test0_ginger xxmf _4,test0_ginger xxmf _3,test0_red xxmf pepper_1,test0_red xxmf pepper_2,test0_red xxmf pepper_5,test0_red xxmf pepper_4,test0_red xxmf pepper_3
ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,cinnamon
0.8861657,0.7459077,0.9057715,0.5996737,0.49240634,0.8773228,0.87710595,0.8678143,0.68941844,0.83937323,0.95860046,0.8095769,0.6625959,0.63834786,0.44024488
test
test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_ginger xxmf _1,test1_ginger xxmf _2,test1_ginger xxmf _5,test1_ginger xxmf _4,test1_ginger xxmf _3,test1_red xxmf pepper_1,test1_red xxmf pepper_2,test1_red xxmf pepper_5,test1_red xxmf pepper_4,test1_red xxmf pepper_3
cinnamon,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,ginger xxmf,cinnamon,ginger xxmf,ginger xxmf,ginger xxmf
0.3855779,0.92072684,0.6746337,0.8816081,0.8606294,0.8803412,0.82597345,0.8206902,0.9319257,0.87346125,0.74233407,0.45328096,0.7035889,0.45194426,0.8330362
