test all
test0_tarragon xxmf leaves_1,test0_tarragon xxmf leaves_2,test0_tarragon xxmf leaves_5,test0_tarragon xxmf leaves_4,test0_tarragon xxmf leaves_3,test0_turmeric_1,test0_turmeric_2,test0_turmeric_5,test0_turmeric_4,test0_turmeric_3,test0_fennel xxmf seed_1,test0_fennel xxmf seed_2,test0_fennel xxmf seed_5,test0_fennel xxmf seed_4,test0_fennel xxmf seed_3,test1_tarragon xxmf leaves_1,test1_tarragon xxmf leaves_2,test1_tarragon xxmf leaves_5,test1_tarragon xxmf leaves_4,test1_tarragon xxmf leaves_3,test1_turmeric_1,test1_turmeric_2,test1_turmeric_5,test1_turmeric_4,test1_turmeric_3,test1_fennel xxmf seed_1,test1_fennel xxmf seed_2,test1_fennel xxmf seed_5,test1_fennel xxmf seed_4,test1_fennel xxmf seed_3,test2_tarragon xxmf leaves_1,test2_tarragon xxmf leaves_2,test2_tarragon xxmf leaves_5,test2_tarragon xxmf leaves_4,test2_tarragon xxmf leaves_3,test2_turmeric_1,test2_turmeric_2,test2_turmeric_5,test2_turmeric_4,test2_turmeric_3,test2_fennel xxmf seed_1,test2_fennel xxmf seed_2,test2_fennel xxmf seed_5,test2_fennel xxmf seed_4,test2_fennel xxmf seed_3
tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,turmeric,turmeric,turmeric,turmeric,turmeric,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,turmeric,turmeric,turmeric,turmeric,turmeric,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,turmeric,turmeric,turmeric,turmeric,turmeric,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves
0.9840432,0.97521996,0.9640242,0.979298,0.97532314,0.87804544,0.86566323,0.86327004,0.85978657,0.8997032,0.855778,0.7359451,0.9054086,0.7227119,0.5388012,0.93678826,0.9775654,0.97787523,0.9841276,0.9566556,0.93862194,0.95915025,0.9382914,0.91490865,0.87612504,0.6399899,0.611748,0.6163687,0.69504,0.6423176,0.97503924,0.95083123,0.96538925,0.9480905,0.95632297,0.9457271,0.8896022,0.7292661,0.5289122,0.9417396,0.7837099,0.8576735,0.80813617,0.57308453,0.857292
test0
test0_tarragon xxmf leaves_1,test0_tarragon xxmf leaves_2,test0_tarragon xxmf leaves_5,test0_tarragon xxmf leaves_4,test0_tarragon xxmf leaves_3,test0_turmeric_1,test0_turmeric_2,test0_turmeric_5,test0_turmeric_4,test0_turmeric_3,test0_fennel xxmf seed_1,test0_fennel xxmf seed_2,test0_fennel xxmf seed_5,test0_fennel xxmf seed_4,test0_fennel xxmf seed_3
tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,turmeric,turmeric,turmeric,turmeric,turmeric,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves
0.9840432,0.97521996,0.9640242,0.979298,0.97532314,0.87804544,0.86566323,0.86327004,0.85978657,0.8997032,0.855778,0.7359451,0.9054086,0.7227119,0.5388012
test
test1_tarragon xxmf leaves_1,test1_tarragon xxmf leaves_2,test1_tarragon xxmf leaves_5,test1_tarragon xxmf leaves_4,test1_tarragon xxmf leaves_3,test1_turmeric_1,test1_turmeric_2,test1_turmeric_5,test1_turmeric_4,test1_turmeric_3,test1_fennel xxmf seed_1,test1_fennel xxmf seed_2,test1_fennel xxmf seed_5,test1_fennel xxmf seed_4,test1_fennel xxmf seed_3
tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,tarragon xxmf leaves,turmeric,turmeric,turmeric,turmeric,turmeric,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed
0.93678826,0.9775654,0.97787523,0.9841276,0.9566556,0.93862194,0.95915025,0.9382914,0.91490865,0.87612504,0.6399899,0.611748,0.6163687,0.69504,0.6423176
