test all
test0_fruit xxmf punch_1,test0_fruit xxmf punch_2,test0_fruit xxmf punch_5,test0_fruit xxmf punch_4,test0_fruit xxmf punch_3,test0_coke_1,test0_coke_2,test0_coke_5,test0_coke_4,test0_coke_3,test0_fanta_1,test0_fanta_2,test0_fanta_5,test0_fanta_4,test0_fanta_3,test1_fruit xxmf punch_1,test1_fruit xxmf punch_2,test1_fruit xxmf punch_5,test1_fruit xxmf punch_4,test1_fruit xxmf punch_3,test1_coke_1,test1_coke_2,test1_coke_5,test1_coke_4,test1_coke_3,test1_fanta_1,test1_fanta_2,test1_fanta_5,test1_fanta_4,test1_fanta_3,test2_fruit xxmf punch_1,test2_fruit xxmf punch_2,test2_fruit xxmf punch_5,test2_fruit xxmf punch_4,test2_fruit xxmf punch_3,test2_coke_1,test2_coke_2,test2_coke_5,test2_coke_4,test2_coke_3,test2_fanta_1,test2_fanta_2,test2_fanta_5,test2_fanta_4,test2_fanta_3
fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fanta,fanta,fanta,fanta,fruit xxmf punch,fanta,fanta,fanta,fanta,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fanta,fanta,fruit xxmf punch,fanta,fanta,fanta,fanta,fanta,fanta,fanta
0.94630474,0.9488748,0.93628365,0.9307749,0.91481566,0.52640164,0.5013381,0.5427161,0.44864383,0.49685955,0.91834676,0.8809986,0.8853143,0.9047233,0.9422329,0.94709533,0.9613528,0.92071354,0.98138696,0.96449184,0.48640475,0.6305159,0.5663279,0.557463,0.5502714,0.8557415,0.84211475,0.94618046,0.66496456,0.7801617,0.9425376,0.95757204,0.95369005,0.9470408,0.96325475,0.5809134,0.6492626,0.43424106,0.55055076,0.7063073,0.93160427,0.9011543,0.71372056,0.744736,0.93788934
test0
test0_fruit xxmf punch_1,test0_fruit xxmf punch_2,test0_fruit xxmf punch_5,test0_fruit xxmf punch_4,test0_fruit xxmf punch_3,test0_coke_1,test0_coke_2,test0_coke_5,test0_coke_4,test0_coke_3,test0_fanta_1,test0_fanta_2,test0_fanta_5,test0_fanta_4,test0_fanta_3
fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fanta,fanta,fanta,fanta,fruit xxmf punch,fanta,fanta,fanta,fanta
0.94630474,0.9488748,0.93628365,0.9307749,0.91481566,0.52640164,0.5013381,0.5427161,0.44864383,0.49685955,0.91834676,0.8809986,0.8853143,0.9047233,0.9422329
test
test1_fruit xxmf punch_1,test1_fruit xxmf punch_2,test1_fruit xxmf punch_5,test1_fruit xxmf punch_4,test1_fruit xxmf punch_3,test1_coke_1,test1_coke_2,test1_coke_5,test1_coke_4,test1_coke_3,test1_fanta_1,test1_fanta_2,test1_fanta_5,test1_fanta_4,test1_fanta_3
fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fanta
0.94709533,0.9613528,0.92071354,0.98138696,0.96449184,0.48640475,0.6305159,0.5663279,0.557463,0.5502714,0.8557415,0.84211475,0.94618046,0.66496456,0.7801617
