test all
test0_fruit xxmf punch_1,test0_fruit xxmf punch_2,test0_fruit xxmf punch_5,test0_fruit xxmf punch_4,test0_fruit xxmf punch_3,test0_coke_1,test0_coke_2,test0_coke_5,test0_coke_4,test0_coke_3,test0_fanta_1,test0_fanta_2,test0_fanta_5,test0_fanta_4,test0_fanta_3,test1_fruit xxmf punch_1,test1_fruit xxmf punch_2,test1_fruit xxmf punch_5,test1_fruit xxmf punch_4,test1_fruit xxmf punch_3,test1_coke_1,test1_coke_2,test1_coke_5,test1_coke_4,test1_coke_3,test1_fanta_1,test1_fanta_2,test1_fanta_5,test1_fanta_4,test1_fanta_3,test2_fruit xxmf punch_1,test2_fruit xxmf punch_2,test2_fruit xxmf punch_5,test2_fruit xxmf punch_4,test2_fruit xxmf punch_3,test2_coke_1,test2_coke_2,test2_coke_5,test2_coke_4,test2_coke_3,test2_fanta_1,test2_fanta_2,test2_fanta_5,test2_fanta_4,test2_fanta_3
fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fanta,fanta,fanta,fanta,fruit xxmf punch,fanta,fanta,fanta,fanta,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fanta,fanta,fruit xxmf punch,fanta,fanta,fanta,fanta,fanta,fanta,fanta
0.9479477,0.9490493,0.9385927,0.9318101,0.9147122,0.5374851,0.48919737,0.531679,0.43391716,0.4818983,0.9180846,0.8801386,0.88443696,0.9034735,0.9421347,0.9468923,0.9612443,0.9221402,0.9814528,0.96431077,0.47138938,0.6175735,0.55371803,0.5448148,0.540871,0.85556334,0.8407154,0.94677687,0.6598989,0.77713746,0.94304144,0.9582019,0.9552428,0.9498205,0.9647298,0.5675384,0.6340962,0.44995904,0.53429514,0.6909273,0.933639,0.9007842,0.70840245,0.7370956,0.9403607
test0
test0_fruit xxmf punch_1,test0_fruit xxmf punch_2,test0_fruit xxmf punch_5,test0_fruit xxmf punch_4,test0_fruit xxmf punch_3,test0_coke_1,test0_coke_2,test0_coke_5,test0_coke_4,test0_coke_3,test0_fanta_1,test0_fanta_2,test0_fanta_5,test0_fanta_4,test0_fanta_3
fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fanta,fanta,fanta,fanta,fruit xxmf punch,fanta,fanta,fanta,fanta
0.9479477,0.9490493,0.9385927,0.9318101,0.9147122,0.5374851,0.48919737,0.531679,0.43391716,0.4818983,0.9180846,0.8801386,0.88443696,0.9034735,0.9421347
test
test1_fruit xxmf punch_1,test1_fruit xxmf punch_2,test1_fruit xxmf punch_5,test1_fruit xxmf punch_4,test1_fruit xxmf punch_3,test1_coke_1,test1_coke_2,test1_coke_5,test1_coke_4,test1_coke_3,test1_fanta_1,test1_fanta_2,test1_fanta_5,test1_fanta_4,test1_fanta_3
fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fruit xxmf punch,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fanta,fanta
0.9468923,0.9612443,0.9221402,0.9814528,0.96431077,0.47138938,0.6175735,0.55371803,0.5448148,0.540871,0.85556334,0.8407154,0.94677687,0.6598989,0.77713746
