test all
test0_japanese xxmf green xxmf tea_1,test0_japanese xxmf green xxmf tea_2,test0_japanese xxmf green xxmf tea_5,test0_japanese xxmf green xxmf tea_4,test0_japanese xxmf green xxmf tea_3,test0_lactaid xxmf fat xxmf free xxmf milk_1,test0_lactaid xxmf fat xxmf free xxmf milk_2,test0_lactaid xxmf fat xxmf free xxmf milk_5,test0_lactaid xxmf fat xxmf free xxmf milk_4,test0_lactaid xxmf fat xxmf free xxmf milk_3,test0_lactate xxmf reduced xxmf fat xxmf milk_1,test0_lactate xxmf reduced xxmf fat xxmf milk_2,test0_lactate xxmf reduced xxmf fat xxmf milk_5,test0_lactate xxmf reduced xxmf fat xxmf milk_4,test0_lactate xxmf reduced xxmf fat xxmf milk_3,test1_japanese xxmf green xxmf tea_1,test1_japanese xxmf green xxmf tea_2,test1_japanese xxmf green xxmf tea_5,test1_japanese xxmf green xxmf tea_4,test1_japanese xxmf green xxmf tea_3,test1_lactaid xxmf fat xxmf free xxmf milk_1,test1_lactaid xxmf fat xxmf free xxmf milk_2,test1_lactaid xxmf fat xxmf free xxmf milk_5,test1_lactaid xxmf fat xxmf free xxmf milk_4,test1_lactaid xxmf fat xxmf free xxmf milk_3,test1_lactate xxmf reduced xxmf fat xxmf milk_1,test1_lactate xxmf reduced xxmf fat xxmf milk_2,test1_lactate xxmf reduced xxmf fat xxmf milk_5,test1_lactate xxmf reduced xxmf fat xxmf milk_4,test1_lactate xxmf reduced xxmf fat xxmf milk_3,test2_japanese xxmf green xxmf tea_1,test2_japanese xxmf green xxmf tea_2,test2_japanese xxmf green xxmf tea_5,test2_japanese xxmf green xxmf tea_4,test2_japanese xxmf green xxmf tea_3,test2_lactaid xxmf fat xxmf free xxmf milk_1,test2_lactaid xxmf fat xxmf free xxmf milk_2,test2_lactaid xxmf fat xxmf free xxmf milk_5,test2_lactaid xxmf fat xxmf free xxmf milk_4,test2_lactaid xxmf fat xxmf free xxmf milk_3,test2_lactate xxmf reduced xxmf fat xxmf milk_1,test2_lactate xxmf reduced xxmf fat xxmf milk_2,test2_lactate xxmf reduced xxmf fat xxmf milk_5,test2_lactate xxmf reduced xxmf fat xxmf milk_4,test2_lactate xxmf reduced xxmf fat xxmf milk_3
japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,lactaid xxmf fat xxmf free xxmf milk,lactaid xxmf fat xxmf free xxmf milk,japanese xxmf green xxmf tea,lactaid xxmf fat xxmf free xxmf milk,lactaid xxmf fat xxmf free xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,lactate xxmf reduced xxmf fat xxmf milk,lactaid xxmf fat xxmf free xxmf milk,lactaid xxmf fat xxmf free xxmf milk,japanese xxmf green xxmf tea,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,lactaid xxmf fat xxmf free xxmf milk,lactaid xxmf fat xxmf free xxmf milk,lactaid xxmf fat xxmf free xxmf milk,lactaid xxmf fat xxmf free xxmf milk,lactaid xxmf fat xxmf free xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk
0.9908875,0.9854907,0.99814665,0.9946801,0.9972193,0.8277058,0.7034572,0.39415357,0.73251426,0.771075,0.90234256,0.8320676,0.9174395,0.92206,0.8157356,0.9957201,0.99632984,0.98961556,0.9970836,0.99519086,0.63611454,0.55683905,0.72030675,0.5838337,0.4426078,0.7174835,0.5805394,0.950042,0.49764395,0.64393026,0.99766135,0.9952761,0.9888101,0.98847395,0.9912751,0.7108076,0.7729858,0.6957696,0.5872441,0.9157755,0.70329344,0.6307335,0.6465982,0.7023465,0.5993983
test0
test0_japanese xxmf green xxmf tea_1,test0_japanese xxmf green xxmf tea_2,test0_japanese xxmf green xxmf tea_5,test0_japanese xxmf green xxmf tea_4,test0_japanese xxmf green xxmf tea_3,test0_lactaid xxmf fat xxmf free xxmf milk_1,test0_lactaid xxmf fat xxmf free xxmf milk_2,test0_lactaid xxmf fat xxmf free xxmf milk_5,test0_lactaid xxmf fat xxmf free xxmf milk_4,test0_lactaid xxmf fat xxmf free xxmf milk_3,test0_lactate xxmf reduced xxmf fat xxmf milk_1,test0_lactate xxmf reduced xxmf fat xxmf milk_2,test0_lactate xxmf reduced xxmf fat xxmf milk_5,test0_lactate xxmf reduced xxmf fat xxmf milk_4,test0_lactate xxmf reduced xxmf fat xxmf milk_3
japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,lactaid xxmf fat xxmf free xxmf milk,lactaid xxmf fat xxmf free xxmf milk,japanese xxmf green xxmf tea,lactaid xxmf fat xxmf free xxmf milk,lactaid xxmf fat xxmf free xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk
0.9908875,0.9854907,0.99814665,0.9946801,0.9972193,0.8277058,0.7034572,0.39415357,0.73251426,0.771075,0.90234256,0.8320676,0.9174395,0.92206,0.8157356
test
test1_japanese xxmf green xxmf tea_1,test1_japanese xxmf green xxmf tea_2,test1_japanese xxmf green xxmf tea_5,test1_japanese xxmf green xxmf tea_4,test1_japanese xxmf green xxmf tea_3,test1_lactaid xxmf fat xxmf free xxmf milk_1,test1_lactaid xxmf fat xxmf free xxmf milk_2,test1_lactaid xxmf fat xxmf free xxmf milk_5,test1_lactaid xxmf fat xxmf free xxmf milk_4,test1_lactaid xxmf fat xxmf free xxmf milk_3,test1_lactate xxmf reduced xxmf fat xxmf milk_1,test1_lactate xxmf reduced xxmf fat xxmf milk_2,test1_lactate xxmf reduced xxmf fat xxmf milk_5,test1_lactate xxmf reduced xxmf fat xxmf milk_4,test1_lactate xxmf reduced xxmf fat xxmf milk_3
japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,japanese xxmf green xxmf tea,lactate xxmf reduced xxmf fat xxmf milk,lactaid xxmf fat xxmf free xxmf milk,lactaid xxmf fat xxmf free xxmf milk,japanese xxmf green xxmf tea,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk,lactate xxmf reduced xxmf fat xxmf milk
0.9957201,0.99632984,0.98961556,0.9970836,0.99519086,0.63611454,0.55683905,0.72030675,0.5838337,0.4426078,0.7174835,0.5805394,0.950042,0.49764395,0.64393026
