test all
test0_apple_1,test0_apple_2,test0_apple_5,test0_apple_4,test0_apple_3,test0_kroger xxmf seltzer xxmf water xxmf cherry_1,test0_kroger xxmf seltzer xxmf water xxmf cherry_2,test0_kroger xxmf seltzer xxmf water xxmf cherry_5,test0_kroger xxmf seltzer xxmf water xxmf cherry_4,test0_kroger xxmf seltzer xxmf water xxmf cherry_3,test0_crannberry_1,test0_crannberry_2,test0_crannberry_5,test0_crannberry_4,test0_crannberry_3,test1_apple_1,test1_apple_2,test1_apple_5,test1_apple_4,test1_apple_3,test1_kroger xxmf seltzer xxmf water xxmf cherry_1,test1_kroger xxmf seltzer xxmf water xxmf cherry_2,test1_kroger xxmf seltzer xxmf water xxmf cherry_5,test1_kroger xxmf seltzer xxmf water xxmf cherry_4,test1_kroger xxmf seltzer xxmf water xxmf cherry_3,test1_crannberry_1,test1_crannberry_2,test1_crannberry_5,test1_crannberry_4,test1_crannberry_3,test2_apple_1,test2_apple_2,test2_apple_5,test2_apple_4,test2_apple_3,test2_kroger xxmf seltzer xxmf water xxmf cherry_1,test2_kroger xxmf seltzer xxmf water xxmf cherry_2,test2_kroger xxmf seltzer xxmf water xxmf cherry_5,test2_kroger xxmf seltzer xxmf water xxmf cherry_4,test2_kroger xxmf seltzer xxmf water xxmf cherry_3,test2_crannberry_1,test2_crannberry_2,test2_crannberry_5,test2_crannberry_4,test2_crannberry_3
apple,crannberry,apple,apple,crannberry,crannberry,crannberry,apple,apple,crannberry,apple,apple,apple,crannberry,crannberry,crannberry,crannberry,crannberry,crannberry,crannberry,crannberry,crannberry,crannberry,crannberry,crannberry,apple,apple,crannberry,crannberry,crannberry,apple,apple,apple,apple,crannberry,apple,apple,apple,apple,apple,crannberry,crannberry,crannberry,crannberry,crannberry
0.9094826,0.6162363,0.5124393,0.4616779,0.6070244,0.68020433,0.7930963,0.58344704,0.71699214,0.42859894,0.588822,0.8305667,0.56545407,0.64763325,0.56216913,0.82431865,0.5939799,0.8865933,0.93212223,0.81946063,0.88275594,0.8296786,0.72084963,0.66889423,0.8600373,0.9483858,0.9375623,0.91040665,0.69621027,0.9457794,0.7316397,0.5801882,0.89413774,0.8456532,0.38835055,0.7713597,0.9094858,0.38598737,0.948293,0.95883876,0.5574768,0.56878674,0.78616214,0.67149186,0.48871833
test0
test0_apple_1,test0_apple_2,test0_apple_5,test0_apple_4,test0_apple_3,test0_kroger xxmf seltzer xxmf water xxmf cherry_1,test0_kroger xxmf seltzer xxmf water xxmf cherry_2,test0_kroger xxmf seltzer xxmf water xxmf cherry_5,test0_kroger xxmf seltzer xxmf water xxmf cherry_4,test0_kroger xxmf seltzer xxmf water xxmf cherry_3,test0_crannberry_1,test0_crannberry_2,test0_crannberry_5,test0_crannberry_4,test0_crannberry_3
apple,crannberry,apple,apple,crannberry,crannberry,crannberry,apple,apple,crannberry,apple,apple,apple,crannberry,crannberry
0.9094826,0.6162363,0.5124393,0.4616779,0.6070244,0.68020433,0.7930963,0.58344704,0.71699214,0.42859894,0.588822,0.8305667,0.56545407,0.64763325,0.56216913
test
test1_apple_1,test1_apple_2,test1_apple_5,test1_apple_4,test1_apple_3,test1_kroger xxmf seltzer xxmf water xxmf cherry_1,test1_kroger xxmf seltzer xxmf water xxmf cherry_2,test1_kroger xxmf seltzer xxmf water xxmf cherry_5,test1_kroger xxmf seltzer xxmf water xxmf cherry_4,test1_kroger xxmf seltzer xxmf water xxmf cherry_3,test1_crannberry_1,test1_crannberry_2,test1_crannberry_5,test1_crannberry_4,test1_crannberry_3
crannberry,crannberry,crannberry,crannberry,crannberry,crannberry,crannberry,crannberry,crannberry,crannberry,apple,apple,crannberry,crannberry,crannberry
0.82431865,0.5939799,0.8865933,0.93212223,0.81946063,0.88275594,0.8296786,0.72084963,0.66889423,0.8600373,0.9483858,0.9375623,0.91040665,0.69621027,0.9457794
