test all
test0_beer_1,test0_beer_2,test0_beer_5,test0_beer_4,test0_beer_3,test0_sprite_1,test0_sprite_2,test0_sprite_5,test0_sprite_4,test0_sprite_3,test0_club xxmf soda_1,test0_club xxmf soda_2,test0_club xxmf soda_5,test0_club xxmf soda_4,test0_club xxmf soda_3,test1_beer_1,test1_beer_2,test1_beer_5,test1_beer_4,test1_beer_3,test1_sprite_1,test1_sprite_2,test1_sprite_5,test1_sprite_4,test1_sprite_3,test1_club xxmf soda_1,test1_club xxmf soda_2,test1_club xxmf soda_5,test1_club xxmf soda_4,test1_club xxmf soda_3,test2_beer_1,test2_beer_2,test2_beer_5,test2_beer_4,test2_beer_3,test2_sprite_1,test2_sprite_2,test2_sprite_5,test2_sprite_4,test2_sprite_3,test2_club xxmf soda_1,test2_club xxmf soda_2,test2_club xxmf soda_5,test2_club xxmf soda_4,test2_club xxmf soda_3
beer,beer,sprite,sprite,sprite,sprite,club xxmf soda,club xxmf soda,sprite,sprite,beer,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,beer,beer,beer,club xxmf soda,beer,club xxmf soda,club xxmf soda,sprite,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,beer,club xxmf soda,beer,beer,beer,beer,beer,club xxmf soda,club xxmf soda,club xxmf soda,sprite,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda
0.6528239,0.54651326,0.6756197,0.5044064,0.5122815,0.69359803,0.6313945,0.56530654,0.6981288,0.5111372,0.54996294,0.9589251,0.9520026,0.9740216,0.97223556,0.9616387,0.9189237,0.77692944,0.7194484,0.7529489,0.93731683,0.6092344,0.6844117,0.5824089,0.51036835,0.9759386,0.98778164,0.9558897,0.7269172,0.97013456,0.607494,0.81324404,0.5796907,0.7751253,0.78532416,0.48234552,0.5683662,0.784529,0.60275644,0.45742074,0.9618183,0.95279,0.94814044,0.9328556,0.9851206
test0
test0_beer_1,test0_beer_2,test0_beer_5,test0_beer_4,test0_beer_3,test0_sprite_1,test0_sprite_2,test0_sprite_5,test0_sprite_4,test0_sprite_3,test0_club xxmf soda_1,test0_club xxmf soda_2,test0_club xxmf soda_5,test0_club xxmf soda_4,test0_club xxmf soda_3
beer,beer,sprite,sprite,sprite,sprite,club xxmf soda,club xxmf soda,sprite,sprite,beer,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda
0.6528239,0.54651326,0.6756197,0.5044064,0.5122815,0.69359803,0.6313945,0.56530654,0.6981288,0.5111372,0.54996294,0.9589251,0.9520026,0.9740216,0.97223556
test
test1_beer_1,test1_beer_2,test1_beer_5,test1_beer_4,test1_beer_3,test1_sprite_1,test1_sprite_2,test1_sprite_5,test1_sprite_4,test1_sprite_3,test1_club xxmf soda_1,test1_club xxmf soda_2,test1_club xxmf soda_5,test1_club xxmf soda_4,test1_club xxmf soda_3
beer,beer,beer,club xxmf soda,beer,club xxmf soda,club xxmf soda,sprite,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,beer,club xxmf soda
0.9616387,0.9189237,0.77692944,0.7194484,0.7529489,0.93731683,0.6092344,0.6844117,0.5824089,0.51036835,0.9759386,0.98778164,0.9558897,0.7269172,0.97013456
