test all
test0_beer_1,test0_beer_2,test0_beer_5,test0_beer_4,test0_beer_3,test0_sprite_1,test0_sprite_2,test0_sprite_5,test0_sprite_4,test0_sprite_3,test0_club xxmf soda_1,test0_club xxmf soda_2,test0_club xxmf soda_5,test0_club xxmf soda_4,test0_club xxmf soda_3,test1_beer_1,test1_beer_2,test1_beer_5,test1_beer_4,test1_beer_3,test1_sprite_1,test1_sprite_2,test1_sprite_5,test1_sprite_4,test1_sprite_3,test1_club xxmf soda_1,test1_club xxmf soda_2,test1_club xxmf soda_5,test1_club xxmf soda_4,test1_club xxmf soda_3,test2_beer_1,test2_beer_2,test2_beer_5,test2_beer_4,test2_beer_3,test2_sprite_1,test2_sprite_2,test2_sprite_5,test2_sprite_4,test2_sprite_3,test2_club xxmf soda_1,test2_club xxmf soda_2,test2_club xxmf soda_5,test2_club xxmf soda_4,test2_club xxmf soda_3
beer,beer,sprite,beer,beer,sprite,club xxmf soda,club xxmf soda,sprite,club xxmf soda,beer,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,beer,beer,beer,club xxmf soda,beer,club xxmf soda,club xxmf soda,sprite,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,beer,club xxmf soda,beer,beer,beer,beer,beer,club xxmf soda,club xxmf soda,club xxmf soda,sprite,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda
0.72386444,0.6604415,0.62355274,0.5615805,0.56548136,0.6469704,0.69961697,0.6162956,0.63413584,0.53007364,0.6424948,0.9695776,0.9601997,0.97893655,0.9784459,0.94764465,0.8946966,0.80178493,0.76746356,0.7372315,0.9478332,0.6211569,0.6303558,0.5961569,0.56743634,0.9787427,0.99178845,0.9453662,0.6912015,0.97892314,0.5986764,0.820661,0.6825334,0.8260782,0.8752049,0.43737894,0.6323828,0.7878248,0.54444695,0.48839727,0.9725648,0.9654466,0.9633792,0.9567427,0.9912294
test0
test0_beer_1,test0_beer_2,test0_beer_5,test0_beer_4,test0_beer_3,test0_sprite_1,test0_sprite_2,test0_sprite_5,test0_sprite_4,test0_sprite_3,test0_club xxmf soda_1,test0_club xxmf soda_2,test0_club xxmf soda_5,test0_club xxmf soda_4,test0_club xxmf soda_3
beer,beer,sprite,beer,beer,sprite,club xxmf soda,club xxmf soda,sprite,club xxmf soda,beer,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda
0.72386444,0.6604415,0.62355274,0.5615805,0.56548136,0.6469704,0.69961697,0.6162956,0.63413584,0.53007364,0.6424948,0.9695776,0.9601997,0.97893655,0.9784459
test
test1_beer_1,test1_beer_2,test1_beer_5,test1_beer_4,test1_beer_3,test1_sprite_1,test1_sprite_2,test1_sprite_5,test1_sprite_4,test1_sprite_3,test1_club xxmf soda_1,test1_club xxmf soda_2,test1_club xxmf soda_5,test1_club xxmf soda_4,test1_club xxmf soda_3
beer,beer,beer,club xxmf soda,beer,club xxmf soda,club xxmf soda,sprite,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,club xxmf soda,beer,club xxmf soda
0.94764465,0.8946966,0.80178493,0.76746356,0.7372315,0.9478332,0.6211569,0.6303558,0.5961569,0.56743634,0.9787427,0.99178845,0.9453662,0.6912015,0.97892314
