test all
test0_corn xxmf chex_1,test0_corn xxmf chex_2,test0_corn xxmf chex_5,test0_corn xxmf chex_4,test0_corn xxmf chex_3,test0_donut xxmf shop_1,test0_donut xxmf shop_2,test0_donut xxmf shop_5,test0_donut xxmf shop_4,test0_donut xxmf shop_3,test0_apple xxmf jacks_1,test0_apple xxmf jacks_2,test0_apple xxmf jacks_5,test0_apple xxmf jacks_4,test0_apple xxmf jacks_3,test1_corn xxmf chex_1,test1_corn xxmf chex_2,test1_corn xxmf chex_5,test1_corn xxmf chex_4,test1_corn xxmf chex_3,test1_donut xxmf shop_1,test1_donut xxmf shop_2,test1_donut xxmf shop_5,test1_donut xxmf shop_4,test1_donut xxmf shop_3,test1_apple xxmf jacks_1,test1_apple xxmf jacks_2,test1_apple xxmf jacks_5,test1_apple xxmf jacks_4,test1_apple xxmf jacks_3,test2_corn xxmf chex_1,test2_corn xxmf chex_2,test2_corn xxmf chex_5,test2_corn xxmf chex_4,test2_corn xxmf chex_3,test2_donut xxmf shop_1,test2_donut xxmf shop_2,test2_donut xxmf shop_5,test2_donut xxmf shop_4,test2_donut xxmf shop_3,test2_apple xxmf jacks_1,test2_apple xxmf jacks_2,test2_apple xxmf jacks_5,test2_apple xxmf jacks_4,test2_apple xxmf jacks_3
corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,donut xxmf shop,apple xxmf jacks,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,apple xxmf jacks,donut xxmf shop,apple xxmf jacks,donut xxmf shop,donut xxmf shop,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks
0.9710913,0.977778,0.9814447,0.99336857,0.99288213,0.9821545,0.98283845,0.99606943,0.99515486,0.97927433,0.81705904,0.8480627,0.86672246,0.6524664,0.83032185,0.98602366,0.98465586,0.97932976,0.98262596,0.95890725,0.98551846,0.965737,0.9495523,0.9803616,0.9683223,0.98775256,0.7141016,0.8696278,0.5584581,0.56335866,0.9744313,0.9836399,0.99215186,0.97724324,0.9829421,0.9579715,0.9333257,0.9754952,0.9557195,0.9895834,0.9236605,0.84172696,0.98098123,0.7357228,0.94913596
test0
test0_corn xxmf chex_1,test0_corn xxmf chex_2,test0_corn xxmf chex_5,test0_corn xxmf chex_4,test0_corn xxmf chex_3,test0_donut xxmf shop_1,test0_donut xxmf shop_2,test0_donut xxmf shop_5,test0_donut xxmf shop_4,test0_donut xxmf shop_3,test0_apple xxmf jacks_1,test0_apple xxmf jacks_2,test0_apple xxmf jacks_5,test0_apple xxmf jacks_4,test0_apple xxmf jacks_3
corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,donut xxmf shop,apple xxmf jacks
0.9710913,0.977778,0.9814447,0.99336857,0.99288213,0.9821545,0.98283845,0.99606943,0.99515486,0.97927433,0.81705904,0.8480627,0.86672246,0.6524664,0.83032185
test
test1_corn xxmf chex_1,test1_corn xxmf chex_2,test1_corn xxmf chex_5,test1_corn xxmf chex_4,test1_corn xxmf chex_3,test1_donut xxmf shop_1,test1_donut xxmf shop_2,test1_donut xxmf shop_5,test1_donut xxmf shop_4,test1_donut xxmf shop_3,test1_apple xxmf jacks_1,test1_apple xxmf jacks_2,test1_apple xxmf jacks_5,test1_apple xxmf jacks_4,test1_apple xxmf jacks_3
corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,apple xxmf jacks,donut xxmf shop,apple xxmf jacks,donut xxmf shop,donut xxmf shop
0.98602366,0.98465586,0.97932976,0.98262596,0.95890725,0.98551846,0.965737,0.9495523,0.9803616,0.9683223,0.98775256,0.7141016,0.8696278,0.5584581,0.56335866
