test all
test0_corn xxmf chex_1,test0_corn xxmf chex_2,test0_corn xxmf chex_5,test0_corn xxmf chex_4,test0_corn xxmf chex_3,test0_donut xxmf shop_1,test0_donut xxmf shop_2,test0_donut xxmf shop_5,test0_donut xxmf shop_4,test0_donut xxmf shop_3,test0_apple xxmf jacks_1,test0_apple xxmf jacks_2,test0_apple xxmf jacks_5,test0_apple xxmf jacks_4,test0_apple xxmf jacks_3,test1_corn xxmf chex_1,test1_corn xxmf chex_2,test1_corn xxmf chex_5,test1_corn xxmf chex_4,test1_corn xxmf chex_3,test1_donut xxmf shop_1,test1_donut xxmf shop_2,test1_donut xxmf shop_5,test1_donut xxmf shop_4,test1_donut xxmf shop_3,test1_apple xxmf jacks_1,test1_apple xxmf jacks_2,test1_apple xxmf jacks_5,test1_apple xxmf jacks_4,test1_apple xxmf jacks_3,test2_corn xxmf chex_1,test2_corn xxmf chex_2,test2_corn xxmf chex_5,test2_corn xxmf chex_4,test2_corn xxmf chex_3,test2_donut xxmf shop_1,test2_donut xxmf shop_2,test2_donut xxmf shop_5,test2_donut xxmf shop_4,test2_donut xxmf shop_3,test2_apple xxmf jacks_1,test2_apple xxmf jacks_2,test2_apple xxmf jacks_5,test2_apple xxmf jacks_4,test2_apple xxmf jacks_3
corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,donut xxmf shop,apple xxmf jacks,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,apple xxmf jacks,donut xxmf shop,apple xxmf jacks,donut xxmf shop,donut xxmf shop,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks
0.97436994,0.97938126,0.9828954,0.99395543,0.99333876,0.98353934,0.9834266,0.9968823,0.99600166,0.981324,0.81877804,0.8458714,0.8670376,0.6421443,0.8275853,0.9887138,0.9866404,0.9833888,0.9864965,0.9660106,0.9870055,0.9685574,0.9522769,0.98035103,0.9700291,0.98708874,0.70862967,0.8627944,0.5462997,0.55982834,0.9770264,0.9850328,0.99269533,0.98062414,0.98495424,0.9606843,0.93698955,0.97707033,0.9577504,0.9906674,0.9178612,0.8389144,0.9810029,0.72883475,0.9455304
test0
test0_corn xxmf chex_1,test0_corn xxmf chex_2,test0_corn xxmf chex_5,test0_corn xxmf chex_4,test0_corn xxmf chex_3,test0_donut xxmf shop_1,test0_donut xxmf shop_2,test0_donut xxmf shop_5,test0_donut xxmf shop_4,test0_donut xxmf shop_3,test0_apple xxmf jacks_1,test0_apple xxmf jacks_2,test0_apple xxmf jacks_5,test0_apple xxmf jacks_4,test0_apple xxmf jacks_3
corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,donut xxmf shop,apple xxmf jacks
0.97436994,0.97938126,0.9828954,0.99395543,0.99333876,0.98353934,0.9834266,0.9968823,0.99600166,0.981324,0.81877804,0.8458714,0.8670376,0.6421443,0.8275853
test
test1_corn xxmf chex_1,test1_corn xxmf chex_2,test1_corn xxmf chex_5,test1_corn xxmf chex_4,test1_corn xxmf chex_3,test1_donut xxmf shop_1,test1_donut xxmf shop_2,test1_donut xxmf shop_5,test1_donut xxmf shop_4,test1_donut xxmf shop_3,test1_apple xxmf jacks_1,test1_apple xxmf jacks_2,test1_apple xxmf jacks_5,test1_apple xxmf jacks_4,test1_apple xxmf jacks_3
corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,corn xxmf chex,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,donut xxmf shop,apple xxmf jacks,donut xxmf shop,apple xxmf jacks,donut xxmf shop,donut xxmf shop
0.9887138,0.9866404,0.9833888,0.9864965,0.9660106,0.9870055,0.9685574,0.9522769,0.98035103,0.9700291,0.98708874,0.70862967,0.8627944,0.5462997,0.55982834
