test all
test0_soy xxmf sauce_1,test0_soy xxmf sauce_2,test0_soy xxmf sauce_5,test0_soy xxmf sauce_4,test0_soy xxmf sauce_3,test0_hot xxmf sauce_1,test0_hot xxmf sauce_2,test0_hot xxmf sauce_5,test0_hot xxmf sauce_4,test0_hot xxmf sauce_3,test0_plum xxmf sauce_1,test0_plum xxmf sauce_2,test0_plum xxmf sauce_5,test0_plum xxmf sauce_4,test0_plum xxmf sauce_3,test1_soy xxmf sauce_1,test1_soy xxmf sauce_2,test1_soy xxmf sauce_5,test1_soy xxmf sauce_4,test1_soy xxmf sauce_3,test1_hot xxmf sauce_1,test1_hot xxmf sauce_2,test1_hot xxmf sauce_5,test1_hot xxmf sauce_4,test1_hot xxmf sauce_3,test1_plum xxmf sauce_1,test1_plum xxmf sauce_2,test1_plum xxmf sauce_5,test1_plum xxmf sauce_4,test1_plum xxmf sauce_3,test2_soy xxmf sauce_1,test2_soy xxmf sauce_2,test2_soy xxmf sauce_5,test2_soy xxmf sauce_4,test2_soy xxmf sauce_3,test2_hot xxmf sauce_1,test2_hot xxmf sauce_2,test2_hot xxmf sauce_5,test2_hot xxmf sauce_4,test2_hot xxmf sauce_3,test2_plum xxmf sauce_1,test2_plum xxmf sauce_2,test2_plum xxmf sauce_5,test2_plum xxmf sauce_4,test2_plum xxmf sauce_3
soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,hot xxmf sauce,hot xxmf sauce,hot xxmf sauce,hot xxmf sauce,plum xxmf sauce,plum xxmf sauce,plum xxmf sauce,plum xxmf sauce,plum xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,hot xxmf sauce,hot xxmf sauce,hot xxmf sauce,hot xxmf sauce,hot xxmf sauce,plum xxmf sauce,plum xxmf sauce,soy xxmf sauce,plum xxmf sauce,plum xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,hot xxmf sauce,hot xxmf sauce,soy xxmf sauce,hot xxmf sauce,hot xxmf sauce,plum xxmf sauce,plum xxmf sauce,plum xxmf sauce,soy xxmf sauce,plum xxmf sauce
0.9968479,0.99896145,0.9909758,0.9978808,0.9937744,0.9972574,0.99446505,0.99879766,0.9956399,0.99569905,0.83504456,0.90267473,0.9206399,0.9652403,0.96483505,0.9850487,0.9876172,0.9460504,0.9836084,0.95272183,0.99938166,0.9844029,0.99690694,0.99820304,0.9631114,0.94036406,0.8892278,0.62500584,0.8824444,0.90297794,0.9421913,0.97718155,0.999181,0.97616696,0.9921876,0.99735,0.6164902,0.8054248,0.9984457,0.87225807,0.9579944,0.91871655,0.9126055,0.56896925,0.6944603
test0
test0_soy xxmf sauce_1,test0_soy xxmf sauce_2,test0_soy xxmf sauce_5,test0_soy xxmf sauce_4,test0_soy xxmf sauce_3,test0_hot xxmf sauce_1,test0_hot xxmf sauce_2,test0_hot xxmf sauce_5,test0_hot xxmf sauce_4,test0_hot xxmf sauce_3,test0_plum xxmf sauce_1,test0_plum xxmf sauce_2,test0_plum xxmf sauce_5,test0_plum xxmf sauce_4,test0_plum xxmf sauce_3
soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,hot xxmf sauce,hot xxmf sauce,hot xxmf sauce,hot xxmf sauce,plum xxmf sauce,plum xxmf sauce,plum xxmf sauce,plum xxmf sauce,plum xxmf sauce
0.9968479,0.99896145,0.9909758,0.9978808,0.9937744,0.9972574,0.99446505,0.99879766,0.9956399,0.99569905,0.83504456,0.90267473,0.9206399,0.9652403,0.96483505
test
test1_soy xxmf sauce_1,test1_soy xxmf sauce_2,test1_soy xxmf sauce_5,test1_soy xxmf sauce_4,test1_soy xxmf sauce_3,test1_hot xxmf sauce_1,test1_hot xxmf sauce_2,test1_hot xxmf sauce_5,test1_hot xxmf sauce_4,test1_hot xxmf sauce_3,test1_plum xxmf sauce_1,test1_plum xxmf sauce_2,test1_plum xxmf sauce_5,test1_plum xxmf sauce_4,test1_plum xxmf sauce_3
soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,soy xxmf sauce,hot xxmf sauce,hot xxmf sauce,hot xxmf sauce,hot xxmf sauce,hot xxmf sauce,plum xxmf sauce,plum xxmf sauce,soy xxmf sauce,plum xxmf sauce,plum xxmf sauce
0.9850487,0.9876172,0.9460504,0.9836084,0.95272183,0.99938166,0.9844029,0.99690694,0.99820304,0.9631114,0.94036406,0.8892278,0.62500584,0.8824444,0.90297794
