test all
test0_raisin xxmf bran_1,test0_raisin xxmf bran_2,test0_raisin xxmf bran_5,test0_raisin xxmf bran_4,test0_raisin xxmf bran_3,test0_total_1,test0_total_2,test0_total_5,test0_total_4,test0_total_3,test0_fiber xxmf one_1,test0_fiber xxmf one_2,test0_fiber xxmf one_5,test0_fiber xxmf one_4,test0_fiber xxmf one_3,test1_raisin xxmf bran_1,test1_raisin xxmf bran_2,test1_raisin xxmf bran_5,test1_raisin xxmf bran_4,test1_raisin xxmf bran_3,test1_total_1,test1_total_2,test1_total_5,test1_total_4,test1_total_3,test1_fiber xxmf one_1,test1_fiber xxmf one_2,test1_fiber xxmf one_5,test1_fiber xxmf one_4,test1_fiber xxmf one_3,test2_raisin xxmf bran_1,test2_raisin xxmf bran_2,test2_raisin xxmf bran_5,test2_raisin xxmf bran_4,test2_raisin xxmf bran_3,test2_total_1,test2_total_2,test2_total_5,test2_total_4,test2_total_3,test2_fiber xxmf one_1,test2_fiber xxmf one_2,test2_fiber xxmf one_5,test2_fiber xxmf one_4,test2_fiber xxmf one_3
raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,fiber xxmf one,total,total,total,total,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,total,total,total,total,total,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,fiber xxmf one,total,total,total,total,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one
0.9952242,0.9935853,0.99526936,0.9919097,0.99393,0.9077422,0.9460485,0.9298527,0.9278805,0.94264317,0.92213035,0.95694363,0.95825034,0.92727417,0.8897823,0.9939014,0.99341595,0.9836482,0.982961,0.9836622,0.97322166,0.97173184,0.9443945,0.9527412,0.96604943,0.9419155,0.9415533,0.8265485,0.9197998,0.9447202,0.9920827,0.9931837,0.99404496,0.98984504,0.99019974,0.51412344,0.97706634,0.9703664,0.96436954,0.97690535,0.9345752,0.96751094,0.90846413,0.9031402,0.94204974
test0
test0_raisin xxmf bran_1,test0_raisin xxmf bran_2,test0_raisin xxmf bran_5,test0_raisin xxmf bran_4,test0_raisin xxmf bran_3,test0_total_1,test0_total_2,test0_total_5,test0_total_4,test0_total_3,test0_fiber xxmf one_1,test0_fiber xxmf one_2,test0_fiber xxmf one_5,test0_fiber xxmf one_4,test0_fiber xxmf one_3
raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,fiber xxmf one,total,total,total,total,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one
0.9952242,0.9935853,0.99526936,0.9919097,0.99393,0.9077422,0.9460485,0.9298527,0.9278805,0.94264317,0.92213035,0.95694363,0.95825034,0.92727417,0.8897823
test
test1_raisin xxmf bran_1,test1_raisin xxmf bran_2,test1_raisin xxmf bran_5,test1_raisin xxmf bran_4,test1_raisin xxmf bran_3,test1_total_1,test1_total_2,test1_total_5,test1_total_4,test1_total_3,test1_fiber xxmf one_1,test1_fiber xxmf one_2,test1_fiber xxmf one_5,test1_fiber xxmf one_4,test1_fiber xxmf one_3
raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,total,total,total,total,total,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one
0.9939014,0.99341595,0.9836482,0.982961,0.9836622,0.97322166,0.97173184,0.9443945,0.9527412,0.96604943,0.9419155,0.9415533,0.8265485,0.9197998,0.9447202
