test all
test0_raisin xxmf bran_1,test0_raisin xxmf bran_2,test0_raisin xxmf bran_5,test0_raisin xxmf bran_4,test0_raisin xxmf bran_3,test0_total_1,test0_total_2,test0_total_5,test0_total_4,test0_total_3,test0_fiber xxmf one_1,test0_fiber xxmf one_2,test0_fiber xxmf one_5,test0_fiber xxmf one_4,test0_fiber xxmf one_3,test1_raisin xxmf bran_1,test1_raisin xxmf bran_2,test1_raisin xxmf bran_5,test1_raisin xxmf bran_4,test1_raisin xxmf bran_3,test1_total_1,test1_total_2,test1_total_5,test1_total_4,test1_total_3,test1_fiber xxmf one_1,test1_fiber xxmf one_2,test1_fiber xxmf one_5,test1_fiber xxmf one_4,test1_fiber xxmf one_3,test2_raisin xxmf bran_1,test2_raisin xxmf bran_2,test2_raisin xxmf bran_5,test2_raisin xxmf bran_4,test2_raisin xxmf bran_3,test2_total_1,test2_total_2,test2_total_5,test2_total_4,test2_total_3,test2_fiber xxmf one_1,test2_fiber xxmf one_2,test2_fiber xxmf one_5,test2_fiber xxmf one_4,test2_fiber xxmf one_3
raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,fiber xxmf one,total,total,total,total,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,total,total,total,total,total,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,fiber xxmf one,total,total,total,total,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one
0.9954992,0.99399406,0.99557024,0.9923022,0.99428576,0.9036946,0.94432247,0.9266669,0.92424554,0.9389897,0.9177917,0.9554362,0.95605457,0.9249159,0.8837797,0.99411315,0.9938643,0.9847875,0.98403674,0.9847666,0.9720777,0.9703254,0.94169736,0.95005304,0.9640675,0.9388498,0.9363152,0.82203186,0.9138421,0.94135803,0.9925719,0.9936905,0.9944964,0.9904474,0.99072486,0.4995473,0.9762062,0.9686622,0.9622584,0.97562134,0.9310312,0.9652152,0.9060881,0.9004627,0.9401816
test0
test0_raisin xxmf bran_1,test0_raisin xxmf bran_2,test0_raisin xxmf bran_5,test0_raisin xxmf bran_4,test0_raisin xxmf bran_3,test0_total_1,test0_total_2,test0_total_5,test0_total_4,test0_total_3,test0_fiber xxmf one_1,test0_fiber xxmf one_2,test0_fiber xxmf one_5,test0_fiber xxmf one_4,test0_fiber xxmf one_3
raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,fiber xxmf one,total,total,total,total,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one
0.9954992,0.99399406,0.99557024,0.9923022,0.99428576,0.9036946,0.94432247,0.9266669,0.92424554,0.9389897,0.9177917,0.9554362,0.95605457,0.9249159,0.8837797
test
test1_raisin xxmf bran_1,test1_raisin xxmf bran_2,test1_raisin xxmf bran_5,test1_raisin xxmf bran_4,test1_raisin xxmf bran_3,test1_total_1,test1_total_2,test1_total_5,test1_total_4,test1_total_3,test1_fiber xxmf one_1,test1_fiber xxmf one_2,test1_fiber xxmf one_5,test1_fiber xxmf one_4,test1_fiber xxmf one_3
raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,raisin xxmf bran,total,total,total,total,total,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one,fiber xxmf one
0.99411315,0.9938643,0.9847875,0.98403674,0.9847666,0.9720777,0.9703254,0.94169736,0.95005304,0.9640675,0.9388498,0.9363152,0.82203186,0.9138421,0.94135803
