test all
test0_crushed xxmf red xxmf pepper xxmf _1,test0_crushed xxmf red xxmf pepper xxmf _2,test0_crushed xxmf red xxmf pepper xxmf _5,test0_crushed xxmf red xxmf pepper xxmf _4,test0_crushed xxmf red xxmf pepper xxmf _3,test0_pure xxmf ground xxmf mustard xxmf _1,test0_pure xxmf ground xxmf mustard xxmf _2,test0_pure xxmf ground xxmf mustard xxmf _5,test0_pure xxmf ground xxmf mustard xxmf _4,test0_pure xxmf ground xxmf mustard xxmf _3,test0_oregano xxmf leaves xxmf _1,test0_oregano xxmf leaves xxmf _2,test0_oregano xxmf leaves xxmf _5,test0_oregano xxmf leaves xxmf _4,test0_oregano xxmf leaves xxmf _3,test1_crushed xxmf red xxmf pepper xxmf _1,test1_crushed xxmf red xxmf pepper xxmf _2,test1_crushed xxmf red xxmf pepper xxmf _5,test1_crushed xxmf red xxmf pepper xxmf _4,test1_crushed xxmf red xxmf pepper xxmf _3,test1_pure xxmf ground xxmf mustard xxmf _1,test1_pure xxmf ground xxmf mustard xxmf _2,test1_pure xxmf ground xxmf mustard xxmf _5,test1_pure xxmf ground xxmf mustard xxmf _4,test1_pure xxmf ground xxmf mustard xxmf _3,test1_oregano xxmf leaves xxmf _1,test1_oregano xxmf leaves xxmf _2,test1_oregano xxmf leaves xxmf _5,test1_oregano xxmf leaves xxmf _4,test1_oregano xxmf leaves xxmf _3,test2_crushed xxmf red xxmf pepper xxmf _1,test2_crushed xxmf red xxmf pepper xxmf _2,test2_crushed xxmf red xxmf pepper xxmf _5,test2_crushed xxmf red xxmf pepper xxmf _4,test2_crushed xxmf red xxmf pepper xxmf _3,test2_pure xxmf ground xxmf mustard xxmf _1,test2_pure xxmf ground xxmf mustard xxmf _2,test2_pure xxmf ground xxmf mustard xxmf _5,test2_pure xxmf ground xxmf mustard xxmf _4,test2_pure xxmf ground xxmf mustard xxmf _3,test2_oregano xxmf leaves xxmf _1,test2_oregano xxmf leaves xxmf _2,test2_oregano xxmf leaves xxmf _5,test2_oregano xxmf leaves xxmf _4,test2_oregano xxmf leaves xxmf _3
pure xxmf ground xxmf mustard xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,crushed xxmf red xxmf pepper xxmf,crushed xxmf red xxmf pepper xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,pure xxmf ground xxmf mustard xxmf,crushed xxmf red xxmf pepper xxmf,crushed xxmf red xxmf pepper xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,oregano xxmf leaves xxmf,pure xxmf ground xxmf mustard xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,crushed xxmf red xxmf pepper xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,pure xxmf ground xxmf mustard xxmf,oregano xxmf leaves xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf
0.50274235,0.4858644,0.43215266,0.39028424,0.6346361,0.5127834,0.89923143,0.9444375,0.8043202,0.84120774,0.93344325,0.6535165,0.92765236,0.94048154,0.97465026,0.7401353,0.5858893,0.648408,0.4719107,0.40320915,0.47976157,0.7756294,0.8959164,0.4740176,0.6298989,0.9018746,0.87071306,0.89558166,0.5306542,0.9212615,0.4859625,0.54920363,0.5227477,0.43110347,0.41406062,0.82726616,0.65289766,0.693051,0.4920403,0.81512946,0.7622997,0.67547524,0.6778145,0.68729216,0.5541588
test0
test0_crushed xxmf red xxmf pepper xxmf _1,test0_crushed xxmf red xxmf pepper xxmf _2,test0_crushed xxmf red xxmf pepper xxmf _5,test0_crushed xxmf red xxmf pepper xxmf _4,test0_crushed xxmf red xxmf pepper xxmf _3,test0_pure xxmf ground xxmf mustard xxmf _1,test0_pure xxmf ground xxmf mustard xxmf _2,test0_pure xxmf ground xxmf mustard xxmf _5,test0_pure xxmf ground xxmf mustard xxmf _4,test0_pure xxmf ground xxmf mustard xxmf _3,test0_oregano xxmf leaves xxmf _1,test0_oregano xxmf leaves xxmf _2,test0_oregano xxmf leaves xxmf _5,test0_oregano xxmf leaves xxmf _4,test0_oregano xxmf leaves xxmf _3
pure xxmf ground xxmf mustard xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,crushed xxmf red xxmf pepper xxmf,crushed xxmf red xxmf pepper xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf
0.50274235,0.4858644,0.43215266,0.39028424,0.6346361,0.5127834,0.89923143,0.9444375,0.8043202,0.84120774,0.93344325,0.6535165,0.92765236,0.94048154,0.97465026
test
test1_crushed xxmf red xxmf pepper xxmf _1,test1_crushed xxmf red xxmf pepper xxmf _2,test1_crushed xxmf red xxmf pepper xxmf _5,test1_crushed xxmf red xxmf pepper xxmf _4,test1_crushed xxmf red xxmf pepper xxmf _3,test1_pure xxmf ground xxmf mustard xxmf _1,test1_pure xxmf ground xxmf mustard xxmf _2,test1_pure xxmf ground xxmf mustard xxmf _5,test1_pure xxmf ground xxmf mustard xxmf _4,test1_pure xxmf ground xxmf mustard xxmf _3,test1_oregano xxmf leaves xxmf _1,test1_oregano xxmf leaves xxmf _2,test1_oregano xxmf leaves xxmf _5,test1_oregano xxmf leaves xxmf _4,test1_oregano xxmf leaves xxmf _3
oregano xxmf leaves xxmf,pure xxmf ground xxmf mustard xxmf,crushed xxmf red xxmf pepper xxmf,crushed xxmf red xxmf pepper xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,pure xxmf ground xxmf mustard xxmf,oregano xxmf leaves xxmf,pure xxmf ground xxmf mustard xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf,oregano xxmf leaves xxmf
0.7401353,0.5858893,0.648408,0.4719107,0.40320915,0.47976157,0.7756294,0.8959164,0.4740176,0.6298989,0.9018746,0.87071306,0.89558166,0.5306542,0.9212615
