test all
test0_oreo xxmf o s_1,test0_oreo xxmf o s_2,test0_oreo xxmf o s_5,test0_oreo xxmf o s_4,test0_oreo xxmf o s_3,test0_frosted xxmf flakes xxmf _1,test0_frosted xxmf flakes xxmf _2,test0_frosted xxmf flakes xxmf _5,test0_frosted xxmf flakes xxmf _4,test0_frosted xxmf flakes xxmf _3,test0_cinnamon xxmf toast xxmf crunch xxmf _1,test0_cinnamon xxmf toast xxmf crunch xxmf _2,test0_cinnamon xxmf toast xxmf crunch xxmf _5,test0_cinnamon xxmf toast xxmf crunch xxmf _4,test0_cinnamon xxmf toast xxmf crunch xxmf _3,test1_oreo xxmf o s_1,test1_oreo xxmf o s_2,test1_oreo xxmf o s_5,test1_oreo xxmf o s_4,test1_oreo xxmf o s_3,test1_frosted xxmf flakes xxmf _1,test1_frosted xxmf flakes xxmf _2,test1_frosted xxmf flakes xxmf _5,test1_frosted xxmf flakes xxmf _4,test1_frosted xxmf flakes xxmf _3,test1_cinnamon xxmf toast xxmf crunch xxmf _1,test1_cinnamon xxmf toast xxmf crunch xxmf _2,test1_cinnamon xxmf toast xxmf crunch xxmf _5,test1_cinnamon xxmf toast xxmf crunch xxmf _4,test1_cinnamon xxmf toast xxmf crunch xxmf _3,test2_oreo xxmf o s_1,test2_oreo xxmf o s_2,test2_oreo xxmf o s_5,test2_oreo xxmf o s_4,test2_oreo xxmf o s_3,test2_frosted xxmf flakes xxmf _1,test2_frosted xxmf flakes xxmf _2,test2_frosted xxmf flakes xxmf _5,test2_frosted xxmf flakes xxmf _4,test2_frosted xxmf flakes xxmf _3,test2_cinnamon xxmf toast xxmf crunch xxmf _1,test2_cinnamon xxmf toast xxmf crunch xxmf _2,test2_cinnamon xxmf toast xxmf crunch xxmf _5,test2_cinnamon xxmf toast xxmf crunch xxmf _4,test2_cinnamon xxmf toast xxmf crunch xxmf _3
frosted xxmf flakes xxmf,oreo xxmf o s,oreo xxmf o s,oreo xxmf o s,oreo xxmf o s,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,cinnamon xxmf toast xxmf crunch xxmf,cinnamon xxmf toast xxmf crunch xxmf,cinnamon xxmf toast xxmf crunch xxmf,cinnamon xxmf toast xxmf crunch xxmf,cinnamon xxmf toast xxmf crunch xxmf,oreo xxmf o s,oreo xxmf o s,oreo xxmf o s,frosted xxmf flakes xxmf,oreo xxmf o s,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,cinnamon xxmf toast xxmf crunch xxmf,cinnamon xxmf toast xxmf crunch xxmf,cinnamon xxmf toast xxmf crunch xxmf,frosted xxmf flakes xxmf,cinnamon xxmf toast xxmf crunch xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,oreo xxmf o s,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,cinnamon xxmf toast xxmf crunch xxmf,frosted xxmf flakes xxmf,cinnamon xxmf toast xxmf crunch xxmf,frosted xxmf flakes xxmf
0.5070083,0.97317964,0.8198244,0.98052233,0.9262627,0.9919831,0.98986113,0.80685085,0.7451082,0.53817767,0.9597747,0.92907983,0.90842086,0.91455954,0.9337904,0.8814699,0.95825714,0.9011543,0.5919944,0.6061207,0.99506783,0.9604389,0.8936357,0.97349316,0.96432877,0.8443722,0.7852278,0.8565059,0.6414345,0.8621876,0.7718145,0.8470157,0.8621752,0.5122422,0.8190653,0.97479105,0.8552684,0.93341035,0.9556827,0.9755433,0.7886596,0.66004264,0.7451463,0.50582916,0.5124024
test0
test0_oreo xxmf o s_1,test0_oreo xxmf o s_2,test0_oreo xxmf o s_5,test0_oreo xxmf o s_4,test0_oreo xxmf o s_3,test0_frosted xxmf flakes xxmf _1,test0_frosted xxmf flakes xxmf _2,test0_frosted xxmf flakes xxmf _5,test0_frosted xxmf flakes xxmf _4,test0_frosted xxmf flakes xxmf _3,test0_cinnamon xxmf toast xxmf crunch xxmf _1,test0_cinnamon xxmf toast xxmf crunch xxmf _2,test0_cinnamon xxmf toast xxmf crunch xxmf _5,test0_cinnamon xxmf toast xxmf crunch xxmf _4,test0_cinnamon xxmf toast xxmf crunch xxmf _3
frosted xxmf flakes xxmf,oreo xxmf o s,oreo xxmf o s,oreo xxmf o s,oreo xxmf o s,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,cinnamon xxmf toast xxmf crunch xxmf,cinnamon xxmf toast xxmf crunch xxmf,cinnamon xxmf toast xxmf crunch xxmf,cinnamon xxmf toast xxmf crunch xxmf,cinnamon xxmf toast xxmf crunch xxmf
0.5070083,0.97317964,0.8198244,0.98052233,0.9262627,0.9919831,0.98986113,0.80685085,0.7451082,0.53817767,0.9597747,0.92907983,0.90842086,0.91455954,0.9337904
test
test1_oreo xxmf o s_1,test1_oreo xxmf o s_2,test1_oreo xxmf o s_5,test1_oreo xxmf o s_4,test1_oreo xxmf o s_3,test1_frosted xxmf flakes xxmf _1,test1_frosted xxmf flakes xxmf _2,test1_frosted xxmf flakes xxmf _5,test1_frosted xxmf flakes xxmf _4,test1_frosted xxmf flakes xxmf _3,test1_cinnamon xxmf toast xxmf crunch xxmf _1,test1_cinnamon xxmf toast xxmf crunch xxmf _2,test1_cinnamon xxmf toast xxmf crunch xxmf _5,test1_cinnamon xxmf toast xxmf crunch xxmf _4,test1_cinnamon xxmf toast xxmf crunch xxmf _3
oreo xxmf o s,oreo xxmf o s,oreo xxmf o s,frosted xxmf flakes xxmf,oreo xxmf o s,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,frosted xxmf flakes xxmf,cinnamon xxmf toast xxmf crunch xxmf,cinnamon xxmf toast xxmf crunch xxmf,cinnamon xxmf toast xxmf crunch xxmf,frosted xxmf flakes xxmf,cinnamon xxmf toast xxmf crunch xxmf
0.8814699,0.95825714,0.9011543,0.5919944,0.6061207,0.99506783,0.9604389,0.8936357,0.97349316,0.96432877,0.8443722,0.7852278,0.8565059,0.6414345,0.8621876
