test all
test0_season xxmf all_1,test0_season xxmf all_2,test0_season xxmf all_5,test0_season xxmf all_4,test0_season xxmf all_3,test0_black xxmf pepper_1,test0_black xxmf pepper_2,test0_black xxmf pepper_5,test0_black xxmf pepper_4,test0_black xxmf pepper_3,test0_garlic xxmf powder_1,test0_garlic xxmf powder_2,test0_garlic xxmf powder_5,test0_garlic xxmf powder_4,test0_garlic xxmf powder_3,test1_season xxmf all_1,test1_season xxmf all_2,test1_season xxmf all_5,test1_season xxmf all_4,test1_season xxmf all_3,test1_black xxmf pepper_1,test1_black xxmf pepper_2,test1_black xxmf pepper_5,test1_black xxmf pepper_4,test1_black xxmf pepper_3,test1_garlic xxmf powder_1,test1_garlic xxmf powder_2,test1_garlic xxmf powder_5,test1_garlic xxmf powder_4,test1_garlic xxmf powder_3,test2_season xxmf all_1,test2_season xxmf all_2,test2_season xxmf all_5,test2_season xxmf all_4,test2_season xxmf all_3,test2_black xxmf pepper_1,test2_black xxmf pepper_2,test2_black xxmf pepper_5,test2_black xxmf pepper_4,test2_black xxmf pepper_3,test2_garlic xxmf powder_1,test2_garlic xxmf powder_2,test2_garlic xxmf powder_5,test2_garlic xxmf powder_4,test2_garlic xxmf powder_3
season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,garlic xxmf powder,season xxmf all,garlic xxmf powder,garlic xxmf powder,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,garlic xxmf powder,season xxmf all,season xxmf all,garlic xxmf powder,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,garlic xxmf powder,garlic xxmf powder,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all
0.78220373,0.76628125,0.9417929,0.9296721,0.77077997,0.7443061,0.77486986,0.7131352,0.613256,0.56413335,0.9200344,0.9548041,0.9138067,0.5239893,0.85339254,0.9552299,0.8911803,0.8385336,0.8552701,0.93979394,0.6797757,0.59342235,0.840639,0.7281691,0.6633669,0.9663922,0.82032263,0.9140676,0.9385012,0.9390131,0.98152417,0.96536535,0.9833619,0.8029795,0.915937,0.8145828,0.70649284,0.50580496,0.5507533,0.721366,0.9654125,0.9404444,0.95584035,0.91437274,0.9287391
test0
test0_season xxmf all_1,test0_season xxmf all_2,test0_season xxmf all_5,test0_season xxmf all_4,test0_season xxmf all_3,test0_black xxmf pepper_1,test0_black xxmf pepper_2,test0_black xxmf pepper_5,test0_black xxmf pepper_4,test0_black xxmf pepper_3,test0_garlic xxmf powder_1,test0_garlic xxmf powder_2,test0_garlic xxmf powder_5,test0_garlic xxmf powder_4,test0_garlic xxmf powder_3
season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,garlic xxmf powder,season xxmf all,garlic xxmf powder,garlic xxmf powder,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all
0.78220373,0.76628125,0.9417929,0.9296721,0.77077997,0.7443061,0.77486986,0.7131352,0.613256,0.56413335,0.9200344,0.9548041,0.9138067,0.5239893,0.85339254
test
test1_season xxmf all_1,test1_season xxmf all_2,test1_season xxmf all_5,test1_season xxmf all_4,test1_season xxmf all_3,test1_black xxmf pepper_1,test1_black xxmf pepper_2,test1_black xxmf pepper_5,test1_black xxmf pepper_4,test1_black xxmf pepper_3,test1_garlic xxmf powder_1,test1_garlic xxmf powder_2,test1_garlic xxmf powder_5,test1_garlic xxmf powder_4,test1_garlic xxmf powder_3
season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,garlic xxmf powder,season xxmf all,season xxmf all,garlic xxmf powder,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all
0.9552299,0.8911803,0.8385336,0.8552701,0.93979394,0.6797757,0.59342235,0.840639,0.7281691,0.6633669,0.9663922,0.82032263,0.9140676,0.9385012,0.9390131
