test all
test0_season xxmf all_1,test0_season xxmf all_2,test0_season xxmf all_5,test0_season xxmf all_4,test0_season xxmf all_3,test0_black xxmf pepper_1,test0_black xxmf pepper_2,test0_black xxmf pepper_5,test0_black xxmf pepper_4,test0_black xxmf pepper_3,test0_garlic xxmf powder_1,test0_garlic xxmf powder_2,test0_garlic xxmf powder_5,test0_garlic xxmf powder_4,test0_garlic xxmf powder_3,test1_season xxmf all_1,test1_season xxmf all_2,test1_season xxmf all_5,test1_season xxmf all_4,test1_season xxmf all_3,test1_black xxmf pepper_1,test1_black xxmf pepper_2,test1_black xxmf pepper_5,test1_black xxmf pepper_4,test1_black xxmf pepper_3,test1_garlic xxmf powder_1,test1_garlic xxmf powder_2,test1_garlic xxmf powder_5,test1_garlic xxmf powder_4,test1_garlic xxmf powder_3,test2_season xxmf all_1,test2_season xxmf all_2,test2_season xxmf all_5,test2_season xxmf all_4,test2_season xxmf all_3,test2_black xxmf pepper_1,test2_black xxmf pepper_2,test2_black xxmf pepper_5,test2_black xxmf pepper_4,test2_black xxmf pepper_3,test2_garlic xxmf powder_1,test2_garlic xxmf powder_2,test2_garlic xxmf powder_5,test2_garlic xxmf powder_4,test2_garlic xxmf powder_3
season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,garlic xxmf powder,season xxmf all,garlic xxmf powder,garlic xxmf powder,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,garlic xxmf powder,season xxmf all,season xxmf all,garlic xxmf powder,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all
0.77273154,0.7799745,0.9332485,0.9349143,0.7951444,0.7198537,0.8083625,0.6926715,0.66880786,0.6015318,0.9047104,0.94383156,0.90998316,0.5074256,0.83651173,0.95422137,0.8764312,0.81625694,0.86630964,0.9311832,0.61750317,0.6463357,0.85185015,0.78816456,0.69523257,0.9574702,0.7672779,0.8850032,0.92107654,0.93050903,0.9852651,0.9664196,0.9834573,0.84470654,0.9334725,0.7815363,0.66212225,0.5274372,0.5663428,0.73160493,0.95884323,0.9244421,0.944217,0.8934994,0.9061529
test0
test0_season xxmf all_1,test0_season xxmf all_2,test0_season xxmf all_5,test0_season xxmf all_4,test0_season xxmf all_3,test0_black xxmf pepper_1,test0_black xxmf pepper_2,test0_black xxmf pepper_5,test0_black xxmf pepper_4,test0_black xxmf pepper_3,test0_garlic xxmf powder_1,test0_garlic xxmf powder_2,test0_garlic xxmf powder_5,test0_garlic xxmf powder_4,test0_garlic xxmf powder_3
season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,garlic xxmf powder,season xxmf all,garlic xxmf powder,garlic xxmf powder,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all
0.77273154,0.7799745,0.9332485,0.9349143,0.7951444,0.7198537,0.8083625,0.6926715,0.66880786,0.6015318,0.9047104,0.94383156,0.90998316,0.5074256,0.83651173
test
test1_season xxmf all_1,test1_season xxmf all_2,test1_season xxmf all_5,test1_season xxmf all_4,test1_season xxmf all_3,test1_black xxmf pepper_1,test1_black xxmf pepper_2,test1_black xxmf pepper_5,test1_black xxmf pepper_4,test1_black xxmf pepper_3,test1_garlic xxmf powder_1,test1_garlic xxmf powder_2,test1_garlic xxmf powder_5,test1_garlic xxmf powder_4,test1_garlic xxmf powder_3
season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all,garlic xxmf powder,season xxmf all,season xxmf all,garlic xxmf powder,season xxmf all,season xxmf all,season xxmf all,season xxmf all,season xxmf all
0.95422137,0.8764312,0.81625694,0.86630964,0.9311832,0.61750317,0.6463357,0.85185015,0.78816456,0.69523257,0.9574702,0.7672779,0.8850032,0.92107654,0.93050903
