test all
test0_saffron_1,test0_saffron_2,test0_saffron_5,test0_saffron_4,test0_saffron_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_cumin_1,test0_cumin_2,test0_cumin_5,test0_cumin_4,test0_cumin_3,test1_saffron_1,test1_saffron_2,test1_saffron_5,test1_saffron_4,test1_saffron_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_cumin_1,test1_cumin_2,test1_cumin_5,test1_cumin_4,test1_cumin_3,test2_saffron_1,test2_saffron_2,test2_saffron_5,test2_saffron_4,test2_saffron_3,test2_chili xxmf powder_1,test2_chili xxmf powder_2,test2_chili xxmf powder_5,test2_chili xxmf powder_4,test2_chili xxmf powder_3,test2_cumin_1,test2_cumin_2,test2_cumin_5,test2_cumin_4,test2_cumin_3
saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron
0.9867872,0.98732877,0.9944147,0.97949356,0.9806464,0.99615943,0.99099594,0.9840777,0.98487157,0.9929523,0.9853431,0.9745948,0.9959239,0.9932696,0.9931124,0.5980816,0.9861103,0.971348,0.995063,0.97601944,0.9648305,0.98770857,0.98941386,0.97680265,0.97728777,0.92806417,0.9837924,0.9643427,0.97926587,0.99124944,0.9956428,0.99316835,0.9815832,0.95816815,0.9889826,0.9940029,0.9721605,0.97083956,0.9599739,0.97369057,0.98285335,0.98431003,0.9953245,0.7976428,0.993091
test0
test0_saffron_1,test0_saffron_2,test0_saffron_5,test0_saffron_4,test0_saffron_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_cumin_1,test0_cumin_2,test0_cumin_5,test0_cumin_4,test0_cumin_3
saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron
0.9867872,0.98732877,0.9944147,0.97949356,0.9806464,0.99615943,0.99099594,0.9840777,0.98487157,0.9929523,0.9853431,0.9745948,0.9959239,0.9932696,0.9931124
test
test1_saffron_1,test1_saffron_2,test1_saffron_5,test1_saffron_4,test1_saffron_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_cumin_1,test1_cumin_2,test1_cumin_5,test1_cumin_4,test1_cumin_3
saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron
0.5980816,0.9861103,0.971348,0.995063,0.97601944,0.9648305,0.98770857,0.98941386,0.97680265,0.97728777,0.92806417,0.9837924,0.9643427,0.97926587,0.99124944
