test all
test0_saffron_1,test0_saffron_2,test0_saffron_5,test0_saffron_4,test0_saffron_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_cumin_1,test0_cumin_2,test0_cumin_5,test0_cumin_4,test0_cumin_3,test1_saffron_1,test1_saffron_2,test1_saffron_5,test1_saffron_4,test1_saffron_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_cumin_1,test1_cumin_2,test1_cumin_5,test1_cumin_4,test1_cumin_3,test2_saffron_1,test2_saffron_2,test2_saffron_5,test2_saffron_4,test2_saffron_3,test2_chili xxmf powder_1,test2_chili xxmf powder_2,test2_chili xxmf powder_5,test2_chili xxmf powder_4,test2_chili xxmf powder_3,test2_cumin_1,test2_cumin_2,test2_cumin_5,test2_cumin_4,test2_cumin_3
saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron
0.9881689,0.988513,0.994833,0.98071045,0.9825205,0.99598444,0.9906565,0.98251927,0.98602366,0.99296725,0.987224,0.97650456,0.99605286,0.99393713,0.9937261,0.70108455,0.9825246,0.9783508,0.9947062,0.9806919,0.964665,0.98865616,0.98921496,0.97833157,0.9752407,0.94145775,0.9847669,0.95796543,0.9792819,0.9911054,0.99516666,0.99240863,0.98367876,0.96893513,0.9862278,0.99365824,0.97181875,0.96560097,0.9609641,0.9756516,0.98063046,0.9819302,0.99461055,0.7736818,0.9925296
test0
test0_saffron_1,test0_saffron_2,test0_saffron_5,test0_saffron_4,test0_saffron_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_cumin_1,test0_cumin_2,test0_cumin_5,test0_cumin_4,test0_cumin_3
saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron
0.9881689,0.988513,0.994833,0.98071045,0.9825205,0.99598444,0.9906565,0.98251927,0.98602366,0.99296725,0.987224,0.97650456,0.99605286,0.99393713,0.9937261
test
test1_saffron_1,test1_saffron_2,test1_saffron_5,test1_saffron_4,test1_saffron_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_cumin_1,test1_cumin_2,test1_cumin_5,test1_cumin_4,test1_cumin_3
saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron,saffron
0.70108455,0.9825246,0.9783508,0.9947062,0.9806919,0.964665,0.98865616,0.98921496,0.97833157,0.9752407,0.94145775,0.9847669,0.95796543,0.9792819,0.9911054
