test all
test0_sierra xxmf nevada_1,test0_sierra xxmf nevada_2,test0_sierra xxmf nevada_5,test0_sierra xxmf nevada_4,test0_sierra xxmf nevada_3,test0_blue xxmf moon_1,test0_blue xxmf moon_2,test0_blue xxmf moon_5,test0_blue xxmf moon_4,test0_blue xxmf moon_3,test0_water_1,test0_water_2,test0_water_5,test0_water_4,test0_water_3,test1_sierra xxmf nevada_1,test1_sierra xxmf nevada_2,test1_sierra xxmf nevada_5,test1_sierra xxmf nevada_4,test1_sierra xxmf nevada_3,test1_blue xxmf moon_1,test1_blue xxmf moon_2,test1_blue xxmf moon_5,test1_blue xxmf moon_4,test1_blue xxmf moon_3,test1_water_1,test1_water_2,test1_water_5,test1_water_4,test1_water_3,test2_sierra xxmf nevada_1,test2_sierra xxmf nevada_2,test2_sierra xxmf nevada_5,test2_sierra xxmf nevada_4,test2_sierra xxmf nevada_3,test2_blue xxmf moon_1,test2_blue xxmf moon_2,test2_blue xxmf moon_5,test2_blue xxmf moon_4,test2_blue xxmf moon_3,test2_water_1,test2_water_2,test2_water_5,test2_water_4,test2_water_3
sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,sierra xxmf nevada,blue xxmf moon,blue xxmf moon,water,water,water,water,water,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,blue xxmf moon,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,water,water,water,sierra xxmf nevada,water,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,blue xxmf moon,blue xxmf moon,sierra xxmf nevada,sierra xxmf nevada,water,water,water,water,water
0.80400974,0.78306246,0.82808733,0.8426788,0.9655158,0.9670591,0.8457188,0.9434103,0.94036746,0.91848046,0.9708327,0.9746786,0.9917139,0.98771685,0.98604393,0.7451146,0.50657475,0.9093351,0.7140085,0.8514147,0.6995686,0.88876957,0.53385985,0.7635631,0.86868787,0.9806594,0.7434002,0.9035567,0.6753462,0.70936495,0.9325276,0.8351563,0.5570486,0.9546004,0.91848177,0.741947,0.7166974,0.6244621,0.7144344,0.5900468,0.9895104,0.96042585,0.98232496,0.9677219,0.96063215
test0
test0_sierra xxmf nevada_1,test0_sierra xxmf nevada_2,test0_sierra xxmf nevada_5,test0_sierra xxmf nevada_4,test0_sierra xxmf nevada_3,test0_blue xxmf moon_1,test0_blue xxmf moon_2,test0_blue xxmf moon_5,test0_blue xxmf moon_4,test0_blue xxmf moon_3,test0_water_1,test0_water_2,test0_water_5,test0_water_4,test0_water_3
sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,sierra xxmf nevada,blue xxmf moon,blue xxmf moon,water,water,water,water,water
0.80400974,0.78306246,0.82808733,0.8426788,0.9655158,0.9670591,0.8457188,0.9434103,0.94036746,0.91848046,0.9708327,0.9746786,0.9917139,0.98771685,0.98604393
test
test1_sierra xxmf nevada_1,test1_sierra xxmf nevada_2,test1_sierra xxmf nevada_5,test1_sierra xxmf nevada_4,test1_sierra xxmf nevada_3,test1_blue xxmf moon_1,test1_blue xxmf moon_2,test1_blue xxmf moon_5,test1_blue xxmf moon_4,test1_blue xxmf moon_3,test1_water_1,test1_water_2,test1_water_5,test1_water_4,test1_water_3
sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,blue xxmf moon,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,water,water,water,sierra xxmf nevada,water
0.7451146,0.50657475,0.9093351,0.7140085,0.8514147,0.6995686,0.88876957,0.53385985,0.7635631,0.86868787,0.9806594,0.7434002,0.9035567,0.6753462,0.70936495
