test all
test0_sierra xxmf nevada_1,test0_sierra xxmf nevada_2,test0_sierra xxmf nevada_5,test0_sierra xxmf nevada_4,test0_sierra xxmf nevada_3,test0_blue xxmf moon_1,test0_blue xxmf moon_2,test0_blue xxmf moon_5,test0_blue xxmf moon_4,test0_blue xxmf moon_3,test0_water_1,test0_water_2,test0_water_5,test0_water_4,test0_water_3,test1_sierra xxmf nevada_1,test1_sierra xxmf nevada_2,test1_sierra xxmf nevada_5,test1_sierra xxmf nevada_4,test1_sierra xxmf nevada_3,test1_blue xxmf moon_1,test1_blue xxmf moon_2,test1_blue xxmf moon_5,test1_blue xxmf moon_4,test1_blue xxmf moon_3,test1_water_1,test1_water_2,test1_water_5,test1_water_4,test1_water_3,test2_sierra xxmf nevada_1,test2_sierra xxmf nevada_2,test2_sierra xxmf nevada_5,test2_sierra xxmf nevada_4,test2_sierra xxmf nevada_3,test2_blue xxmf moon_1,test2_blue xxmf moon_2,test2_blue xxmf moon_5,test2_blue xxmf moon_4,test2_blue xxmf moon_3,test2_water_1,test2_water_2,test2_water_5,test2_water_4,test2_water_3
sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,sierra xxmf nevada,blue xxmf moon,blue xxmf moon,water,water,water,water,water,sierra xxmf nevada,blue xxmf moon,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,blue xxmf moon,blue xxmf moon,sierra xxmf nevada,blue xxmf moon,water,water,water,water,water,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,blue xxmf moon,blue xxmf moon,sierra xxmf nevada,blue xxmf moon,water,water,water,water,water
0.7752689,0.7020992,0.8081186,0.8144065,0.942768,0.9196573,0.86539376,0.92094994,0.9521129,0.9319295,0.9687076,0.97177637,0.9921055,0.98786366,0.9867448,0.67927444,0.6337167,0.89147544,0.60192305,0.75206685,0.76203746,0.9147492,0.61904496,0.618237,0.9200459,0.97819614,0.80026215,0.9128902,0.53591746,0.79824495,0.92649215,0.82987106,0.62577164,0.93624604,0.899233,0.7745018,0.7623226,0.7229043,0.68359774,0.5031156,0.98877954,0.96060777,0.9825486,0.96649116,0.9563044
test0
test0_sierra xxmf nevada_1,test0_sierra xxmf nevada_2,test0_sierra xxmf nevada_5,test0_sierra xxmf nevada_4,test0_sierra xxmf nevada_3,test0_blue xxmf moon_1,test0_blue xxmf moon_2,test0_blue xxmf moon_5,test0_blue xxmf moon_4,test0_blue xxmf moon_3,test0_water_1,test0_water_2,test0_water_5,test0_water_4,test0_water_3
sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,sierra xxmf nevada,blue xxmf moon,blue xxmf moon,water,water,water,water,water
0.7752689,0.7020992,0.8081186,0.8144065,0.942768,0.9196573,0.86539376,0.92094994,0.9521129,0.9319295,0.9687076,0.97177637,0.9921055,0.98786366,0.9867448
test
test1_sierra xxmf nevada_1,test1_sierra xxmf nevada_2,test1_sierra xxmf nevada_5,test1_sierra xxmf nevada_4,test1_sierra xxmf nevada_3,test1_blue xxmf moon_1,test1_blue xxmf moon_2,test1_blue xxmf moon_5,test1_blue xxmf moon_4,test1_blue xxmf moon_3,test1_water_1,test1_water_2,test1_water_5,test1_water_4,test1_water_3
sierra xxmf nevada,blue xxmf moon,sierra xxmf nevada,sierra xxmf nevada,sierra xxmf nevada,blue xxmf moon,blue xxmf moon,blue xxmf moon,sierra xxmf nevada,blue xxmf moon,water,water,water,water,water
0.67927444,0.6337167,0.89147544,0.60192305,0.75206685,0.76203746,0.9147492,0.61904496,0.618237,0.9200459,0.97819614,0.80026215,0.9128902,0.53591746,0.79824495
