test all
test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_ground xxmf cumin_1,test0_ground xxmf cumin_2,test0_ground xxmf cumin_5,test0_ground xxmf cumin_4,test0_ground xxmf cumin_3,test0_black xxmf peppercorns_1,test0_black xxmf peppercorns_2,test0_black xxmf peppercorns_5,test0_black xxmf peppercorns_4,test0_black xxmf peppercorns_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_ground xxmf cumin_1,test1_ground xxmf cumin_2,test1_ground xxmf cumin_5,test1_ground xxmf cumin_4,test1_ground xxmf cumin_3,test1_black xxmf peppercorns_1,test1_black xxmf peppercorns_2,test1_black xxmf peppercorns_5,test1_black xxmf peppercorns_4,test1_black xxmf peppercorns_3,test2_cinnamon_1,test2_cinnamon_2,test2_cinnamon_5,test2_cinnamon_4,test2_cinnamon_3,test2_ground xxmf cumin_1,test2_ground xxmf cumin_2,test2_ground xxmf cumin_5,test2_ground xxmf cumin_4,test2_ground xxmf cumin_3,test2_black xxmf peppercorns_1,test2_black xxmf peppercorns_2,test2_black xxmf peppercorns_5,test2_black xxmf peppercorns_4,test2_black xxmf peppercorns_3
black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,ground xxmf cumin,cinnamon,ground xxmf cumin,cinnamon,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,ground xxmf cumin,ground xxmf cumin,cinnamon,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns
0.9050925,0.969068,0.9556716,0.9529064,0.9600164,0.89435935,0.959645,0.9636133,0.96381533,0.9451732,0.7969755,0.8177574,0.9043748,0.9652797,0.972765,0.92550164,0.9403631,0.98128533,0.9679461,0.94223964,0.9103773,0.9549988,0.6400571,0.47403955,0.6669617,0.88757706,0.9335737,0.9361545,0.92391384,0.827428,0.982228,0.9799485,0.9608462,0.9351403,0.9467147,0.4116268,0.622513,0.8380374,0.36284605,0.5936284,0.81149757,0.9631057,0.9462535,0.9705165,0.92358756
test0
test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_ground xxmf cumin_1,test0_ground xxmf cumin_2,test0_ground xxmf cumin_5,test0_ground xxmf cumin_4,test0_ground xxmf cumin_3,test0_black xxmf peppercorns_1,test0_black xxmf peppercorns_2,test0_black xxmf peppercorns_5,test0_black xxmf peppercorns_4,test0_black xxmf peppercorns_3
black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns
0.9050925,0.969068,0.9556716,0.9529064,0.9600164,0.89435935,0.959645,0.9636133,0.96381533,0.9451732,0.7969755,0.8177574,0.9043748,0.9652797,0.972765
test
test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_ground xxmf cumin_1,test1_ground xxmf cumin_2,test1_ground xxmf cumin_5,test1_ground xxmf cumin_4,test1_ground xxmf cumin_3,test1_black xxmf peppercorns_1,test1_black xxmf peppercorns_2,test1_black xxmf peppercorns_5,test1_black xxmf peppercorns_4,test1_black xxmf peppercorns_3
cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,ground xxmf cumin,cinnamon,ground xxmf cumin,cinnamon,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns
0.92550164,0.9403631,0.98128533,0.9679461,0.94223964,0.9103773,0.9549988,0.6400571,0.47403955,0.6669617,0.88757706,0.9335737,0.9361545,0.92391384,0.827428
