test all
test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_ground xxmf cumin_1,test0_ground xxmf cumin_2,test0_ground xxmf cumin_5,test0_ground xxmf cumin_4,test0_ground xxmf cumin_3,test0_black xxmf peppercorns_1,test0_black xxmf peppercorns_2,test0_black xxmf peppercorns_5,test0_black xxmf peppercorns_4,test0_black xxmf peppercorns_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_ground xxmf cumin_1,test1_ground xxmf cumin_2,test1_ground xxmf cumin_5,test1_ground xxmf cumin_4,test1_ground xxmf cumin_3,test1_black xxmf peppercorns_1,test1_black xxmf peppercorns_2,test1_black xxmf peppercorns_5,test1_black xxmf peppercorns_4,test1_black xxmf peppercorns_3,test2_cinnamon_1,test2_cinnamon_2,test2_cinnamon_5,test2_cinnamon_4,test2_cinnamon_3,test2_ground xxmf cumin_1,test2_ground xxmf cumin_2,test2_ground xxmf cumin_5,test2_ground xxmf cumin_4,test2_ground xxmf cumin_3,test2_black xxmf peppercorns_1,test2_black xxmf peppercorns_2,test2_black xxmf peppercorns_5,test2_black xxmf peppercorns_4,test2_black xxmf peppercorns_3
black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,ground xxmf cumin,cinnamon,ground xxmf cumin,cinnamon,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,ground xxmf cumin,ground xxmf cumin,cinnamon,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns
0.9055123,0.96717083,0.9505629,0.948275,0.9562222,0.8855715,0.9569161,0.9605798,0.9610178,0.9395722,0.769525,0.8342976,0.8987571,0.9650743,0.9704142,0.930393,0.94660914,0.98238707,0.97076553,0.9457336,0.9180266,0.9542224,0.6539719,0.50153387,0.68475807,0.8956326,0.9395858,0.9389404,0.928844,0.8351632,0.9845648,0.9829229,0.9652082,0.9389507,0.9477758,0.42803493,0.6440498,0.85402304,0.36624905,0.61359173,0.80818903,0.96186197,0.94326454,0.9712615,0.9231675
test0
test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_ground xxmf cumin_1,test0_ground xxmf cumin_2,test0_ground xxmf cumin_5,test0_ground xxmf cumin_4,test0_ground xxmf cumin_3,test0_black xxmf peppercorns_1,test0_black xxmf peppercorns_2,test0_black xxmf peppercorns_5,test0_black xxmf peppercorns_4,test0_black xxmf peppercorns_3
black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns
0.9055123,0.96717083,0.9505629,0.948275,0.9562222,0.8855715,0.9569161,0.9605798,0.9610178,0.9395722,0.769525,0.8342976,0.8987571,0.9650743,0.9704142
test
test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_ground xxmf cumin_1,test1_ground xxmf cumin_2,test1_ground xxmf cumin_5,test1_ground xxmf cumin_4,test1_ground xxmf cumin_3,test1_black xxmf peppercorns_1,test1_black xxmf peppercorns_2,test1_black xxmf peppercorns_5,test1_black xxmf peppercorns_4,test1_black xxmf peppercorns_3
cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,ground xxmf cumin,cinnamon,ground xxmf cumin,cinnamon,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns,black xxmf peppercorns
0.930393,0.94660914,0.98238707,0.97076553,0.9457336,0.9180266,0.9542224,0.6539719,0.50153387,0.68475807,0.8956326,0.9395858,0.9389404,0.928844,0.8351632
