test all
test0_guava xxmf aloevera_1,test0_guava xxmf aloevera_2,test0_guava xxmf aloevera_5,test0_guava xxmf aloevera_4,test0_guava xxmf aloevera_3,test0_spirit_1,test0_spirit_2,test0_spirit_5,test0_spirit_4,test0_spirit_3,test0_cloud xxmf 9_1,test0_cloud xxmf 9_2,test0_cloud xxmf 9_5,test0_cloud xxmf 9_4,test0_cloud xxmf 9_3,test1_guava xxmf aloevera_1,test1_guava xxmf aloevera_2,test1_guava xxmf aloevera_5,test1_guava xxmf aloevera_4,test1_guava xxmf aloevera_3,test1_spirit_1,test1_spirit_2,test1_spirit_5,test1_spirit_4,test1_spirit_3,test1_cloud xxmf 9_1,test1_cloud xxmf 9_2,test1_cloud xxmf 9_5,test1_cloud xxmf 9_4,test1_cloud xxmf 9_3,test2_guava xxmf aloevera_1,test2_guava xxmf aloevera_2,test2_guava xxmf aloevera_5,test2_guava xxmf aloevera_4,test2_guava xxmf aloevera_3,test2_spirit_1,test2_spirit_2,test2_spirit_5,test2_spirit_4,test2_spirit_3,test2_cloud xxmf 9_1,test2_cloud xxmf 9_2,test2_cloud xxmf 9_5,test2_cloud xxmf 9_4,test2_cloud xxmf 9_3
guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,spirit,spirit,spirit,spirit,spirit,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,spirit,spirit,spirit,spirit,spirit,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,spirit,spirit,spirit,spirit,spirit,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9
0.83688664,0.89479756,0.7314296,0.64036924,0.44771668,0.9923431,0.986511,0.99062985,0.990418,0.982512,0.9452326,0.9582797,0.94552726,0.9384245,0.9213948,0.82224923,0.7319267,0.78148687,0.7506456,0.8439707,0.9948547,0.99388427,0.99500906,0.9915652,0.9960586,0.8859018,0.83897275,0.9362615,0.95022017,0.94659305,0.6565764,0.7162014,0.5323286,0.60418236,0.7845523,0.9664296,0.97181386,0.9910426,0.9919343,0.9905008,0.9705432,0.85686684,0.7257355,0.9282782,0.98112136
test0
test0_guava xxmf aloevera_1,test0_guava xxmf aloevera_2,test0_guava xxmf aloevera_5,test0_guava xxmf aloevera_4,test0_guava xxmf aloevera_3,test0_spirit_1,test0_spirit_2,test0_spirit_5,test0_spirit_4,test0_spirit_3,test0_cloud xxmf 9_1,test0_cloud xxmf 9_2,test0_cloud xxmf 9_5,test0_cloud xxmf 9_4,test0_cloud xxmf 9_3
guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,spirit,spirit,spirit,spirit,spirit,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9
0.83688664,0.89479756,0.7314296,0.64036924,0.44771668,0.9923431,0.986511,0.99062985,0.990418,0.982512,0.9452326,0.9582797,0.94552726,0.9384245,0.9213948
test
test1_guava xxmf aloevera_1,test1_guava xxmf aloevera_2,test1_guava xxmf aloevera_5,test1_guava xxmf aloevera_4,test1_guava xxmf aloevera_3,test1_spirit_1,test1_spirit_2,test1_spirit_5,test1_spirit_4,test1_spirit_3,test1_cloud xxmf 9_1,test1_cloud xxmf 9_2,test1_cloud xxmf 9_5,test1_cloud xxmf 9_4,test1_cloud xxmf 9_3
guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,spirit,spirit,spirit,spirit,spirit,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9
0.82224923,0.7319267,0.78148687,0.7506456,0.8439707,0.9948547,0.99388427,0.99500906,0.9915652,0.9960586,0.8859018,0.83897275,0.9362615,0.95022017,0.94659305
