test all
test0_guava xxmf aloevera_1,test0_guava xxmf aloevera_2,test0_guava xxmf aloevera_5,test0_guava xxmf aloevera_4,test0_guava xxmf aloevera_3,test0_spirit_1,test0_spirit_2,test0_spirit_5,test0_spirit_4,test0_spirit_3,test0_cloud xxmf 9_1,test0_cloud xxmf 9_2,test0_cloud xxmf 9_5,test0_cloud xxmf 9_4,test0_cloud xxmf 9_3,test1_guava xxmf aloevera_1,test1_guava xxmf aloevera_2,test1_guava xxmf aloevera_5,test1_guava xxmf aloevera_4,test1_guava xxmf aloevera_3,test1_spirit_1,test1_spirit_2,test1_spirit_5,test1_spirit_4,test1_spirit_3,test1_cloud xxmf 9_1,test1_cloud xxmf 9_2,test1_cloud xxmf 9_5,test1_cloud xxmf 9_4,test1_cloud xxmf 9_3,test2_guava xxmf aloevera_1,test2_guava xxmf aloevera_2,test2_guava xxmf aloevera_5,test2_guava xxmf aloevera_4,test2_guava xxmf aloevera_3,test2_spirit_1,test2_spirit_2,test2_spirit_5,test2_spirit_4,test2_spirit_3,test2_cloud xxmf 9_1,test2_cloud xxmf 9_2,test2_cloud xxmf 9_5,test2_cloud xxmf 9_4,test2_cloud xxmf 9_3
guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,spirit,spirit,spirit,spirit,spirit,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,spirit,spirit,spirit,spirit,spirit,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,spirit,spirit,spirit,spirit,spirit,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9
0.8668342,0.91021687,0.7599281,0.6791302,0.49177802,0.9907924,0.98246366,0.98859674,0.98758507,0.97856754,0.9442355,0.9580515,0.94430715,0.93612725,0.921889,0.84182596,0.7604152,0.80762905,0.7800791,0.8625429,0.9931671,0.9923401,0.99386144,0.9897397,0.9949615,0.88189894,0.83783376,0.93452775,0.9489834,0.9457086,0.6986592,0.72683305,0.5483995,0.6405604,0.79625005,0.96099883,0.96788734,0.99015474,0.99103105,0.9895946,0.968548,0.8490116,0.70300215,0.9250529,0.98006284
test0
test0_guava xxmf aloevera_1,test0_guava xxmf aloevera_2,test0_guava xxmf aloevera_5,test0_guava xxmf aloevera_4,test0_guava xxmf aloevera_3,test0_spirit_1,test0_spirit_2,test0_spirit_5,test0_spirit_4,test0_spirit_3,test0_cloud xxmf 9_1,test0_cloud xxmf 9_2,test0_cloud xxmf 9_5,test0_cloud xxmf 9_4,test0_cloud xxmf 9_3
guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,spirit,spirit,spirit,spirit,spirit,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9
0.8668342,0.91021687,0.7599281,0.6791302,0.49177802,0.9907924,0.98246366,0.98859674,0.98758507,0.97856754,0.9442355,0.9580515,0.94430715,0.93612725,0.921889
test
test1_guava xxmf aloevera_1,test1_guava xxmf aloevera_2,test1_guava xxmf aloevera_5,test1_guava xxmf aloevera_4,test1_guava xxmf aloevera_3,test1_spirit_1,test1_spirit_2,test1_spirit_5,test1_spirit_4,test1_spirit_3,test1_cloud xxmf 9_1,test1_cloud xxmf 9_2,test1_cloud xxmf 9_5,test1_cloud xxmf 9_4,test1_cloud xxmf 9_3
guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,guava xxmf aloevera,spirit,spirit,spirit,spirit,spirit,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9,cloud xxmf 9
0.84182596,0.7604152,0.80762905,0.7800791,0.8625429,0.9931671,0.9923401,0.99386144,0.9897397,0.9949615,0.88189894,0.83783376,0.93452775,0.9489834,0.9457086
