test all
test0_crackers_1,test0_crackers_2,test0_crackers_5,test0_crackers_4,test0_crackers_3,test0_sweets_1,test0_sweets_2,test0_sweets_5,test0_sweets_4,test0_sweets_3,test0_oatmeal_1,test0_oatmeal_2,test0_oatmeal_5,test0_oatmeal_4,test0_oatmeal_3,test1_crackers_1,test1_crackers_2,test1_crackers_5,test1_crackers_4,test1_crackers_3,test1_sweets_1,test1_sweets_2,test1_sweets_5,test1_sweets_4,test1_sweets_3,test1_oatmeal_1,test1_oatmeal_2,test1_oatmeal_5,test1_oatmeal_4,test1_oatmeal_3,test2_crackers_1,test2_crackers_2,test2_crackers_5,test2_crackers_4,test2_crackers_3,test2_sweets_1,test2_sweets_2,test2_sweets_5,test2_sweets_4,test2_sweets_3,test2_oatmeal_1,test2_oatmeal_2,test2_oatmeal_5,test2_oatmeal_4,test2_oatmeal_3
sweets,crackers,sweets,crackers,crackers,sweets,sweets,crackers,sweets,sweets,oatmeal,oatmeal,oatmeal,oatmeal,oatmeal,sweets,sweets,sweets,crackers,sweets,sweets,sweets,sweets,sweets,sweets,oatmeal,oatmeal,oatmeal,oatmeal,oatmeal,crackers,sweets,oatmeal,crackers,oatmeal,sweets,sweets,sweets,sweets,sweets,oatmeal,oatmeal,oatmeal,oatmeal,oatmeal
0.47521698,0.511877,0.53841406,0.4607994,0.65235126,0.82380605,0.67544013,0.5637964,0.9234672,0.7396144,0.9730102,0.9596263,0.9518664,0.97038794,0.9622817,0.7269106,0.41290736,0.52317923,0.44397536,0.45150846,0.7986149,0.6733605,0.67371637,0.61864924,0.7199592,0.9706515,0.9681433,0.988992,0.9835368,0.97724915,0.40426895,0.40325445,0.5534928,0.4001811,0.3997232,0.8327821,0.7695901,0.80643237,0.5732194,0.73624253,0.9503906,0.9617494,0.9421059,0.9645656,0.9692332
test0
test0_crackers_1,test0_crackers_2,test0_crackers_5,test0_crackers_4,test0_crackers_3,test0_sweets_1,test0_sweets_2,test0_sweets_5,test0_sweets_4,test0_sweets_3,test0_oatmeal_1,test0_oatmeal_2,test0_oatmeal_5,test0_oatmeal_4,test0_oatmeal_3
sweets,crackers,sweets,crackers,crackers,sweets,sweets,crackers,sweets,sweets,oatmeal,oatmeal,oatmeal,oatmeal,oatmeal
0.47521698,0.511877,0.53841406,0.4607994,0.65235126,0.82380605,0.67544013,0.5637964,0.9234672,0.7396144,0.9730102,0.9596263,0.9518664,0.97038794,0.9622817
test
test1_crackers_1,test1_crackers_2,test1_crackers_5,test1_crackers_4,test1_crackers_3,test1_sweets_1,test1_sweets_2,test1_sweets_5,test1_sweets_4,test1_sweets_3,test1_oatmeal_1,test1_oatmeal_2,test1_oatmeal_5,test1_oatmeal_4,test1_oatmeal_3
sweets,sweets,sweets,crackers,sweets,sweets,sweets,sweets,sweets,sweets,oatmeal,oatmeal,oatmeal,oatmeal,oatmeal
0.7269106,0.41290736,0.52317923,0.44397536,0.45150846,0.7986149,0.6733605,0.67371637,0.61864924,0.7199592,0.9706515,0.9681433,0.988992,0.9835368,0.97724915
