test all
test0_bottle xxmf top_1,test0_bottle xxmf top_2,test0_bottle xxmf top_5,test0_bottle xxmf top_4,test0_bottle xxmf top_3,test0_bottle xxmf shaker_1,test0_bottle xxmf shaker_2,test0_bottle xxmf shaker_5,test0_bottle xxmf shaker_4,test0_bottle xxmf shaker_3,test0_bottle xxmf side_1,test0_bottle xxmf side_2,test0_bottle xxmf side_5,test0_bottle xxmf side_4,test0_bottle xxmf side_3,test1_bottle xxmf top_1,test1_bottle xxmf top_2,test1_bottle xxmf top_5,test1_bottle xxmf top_4,test1_bottle xxmf top_3,test1_bottle xxmf shaker_1,test1_bottle xxmf shaker_2,test1_bottle xxmf shaker_5,test1_bottle xxmf shaker_4,test1_bottle xxmf shaker_3,test1_bottle xxmf side_1,test1_bottle xxmf side_2,test1_bottle xxmf side_5,test1_bottle xxmf side_4,test1_bottle xxmf side_3,test2_bottle xxmf top_1,test2_bottle xxmf top_2,test2_bottle xxmf top_5,test2_bottle xxmf top_4,test2_bottle xxmf top_3,test2_bottle xxmf shaker_1,test2_bottle xxmf shaker_2,test2_bottle xxmf shaker_5,test2_bottle xxmf shaker_4,test2_bottle xxmf shaker_3,test2_bottle xxmf side_1,test2_bottle xxmf side_2,test2_bottle xxmf side_5,test2_bottle xxmf side_4,test2_bottle xxmf side_3
bottle xxmf side,bottle xxmf side,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf side,bottle xxmf side,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf top,bottle xxmf side,bottle xxmf shaker,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf top,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf side,bottle xxmf top,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf side
0.67324686,0.6592399,0.969072,0.92408186,0.9768693,0.78138477,0.7971444,0.8069664,0.97649604,0.8158917,0.49832258,0.9028144,0.59887755,0.9466845,0.8769491,0.54872626,0.959092,0.833728,0.9643376,0.9751949,0.5010897,0.76988834,0.738382,0.52531236,0.6484523,0.59498054,0.5212582,0.6424725,0.9594923,0.9223017,0.95318407,0.9047066,0.9584307,0.9126149,0.56399494,0.39498755,0.49394473,0.8767406,0.48762766,0.68043077,0.8794226,0.954803,0.70788705,0.8504464,0.85041666
test0
test0_bottle xxmf top_1,test0_bottle xxmf top_2,test0_bottle xxmf top_5,test0_bottle xxmf top_4,test0_bottle xxmf top_3,test0_bottle xxmf shaker_1,test0_bottle xxmf shaker_2,test0_bottle xxmf shaker_5,test0_bottle xxmf shaker_4,test0_bottle xxmf shaker_3,test0_bottle xxmf side_1,test0_bottle xxmf side_2,test0_bottle xxmf side_5,test0_bottle xxmf side_4,test0_bottle xxmf side_3
bottle xxmf side,bottle xxmf side,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf side,bottle xxmf side,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf top,bottle xxmf side
0.67324686,0.6592399,0.969072,0.92408186,0.9768693,0.78138477,0.7971444,0.8069664,0.97649604,0.8158917,0.49832258,0.9028144,0.59887755,0.9466845,0.8769491
test
test1_bottle xxmf top_1,test1_bottle xxmf top_2,test1_bottle xxmf top_5,test1_bottle xxmf top_4,test1_bottle xxmf top_3,test1_bottle xxmf shaker_1,test1_bottle xxmf shaker_2,test1_bottle xxmf shaker_5,test1_bottle xxmf shaker_4,test1_bottle xxmf shaker_3,test1_bottle xxmf side_1,test1_bottle xxmf side_2,test1_bottle xxmf side_5,test1_bottle xxmf side_4,test1_bottle xxmf side_3
bottle xxmf shaker,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf top,bottle xxmf side,bottle xxmf side,bottle xxmf side
0.54872626,0.959092,0.833728,0.9643376,0.9751949,0.5010897,0.76988834,0.738382,0.52531236,0.6484523,0.59498054,0.5212582,0.6424725,0.9594923,0.9223017
