test all
test0_bottle xxmf top_1,test0_bottle xxmf top_2,test0_bottle xxmf top_5,test0_bottle xxmf top_4,test0_bottle xxmf top_3,test0_bottle xxmf shaker_1,test0_bottle xxmf shaker_2,test0_bottle xxmf shaker_5,test0_bottle xxmf shaker_4,test0_bottle xxmf shaker_3,test0_bottle xxmf side_1,test0_bottle xxmf side_2,test0_bottle xxmf side_5,test0_bottle xxmf side_4,test0_bottle xxmf side_3,test1_bottle xxmf top_1,test1_bottle xxmf top_2,test1_bottle xxmf top_5,test1_bottle xxmf top_4,test1_bottle xxmf top_3,test1_bottle xxmf shaker_1,test1_bottle xxmf shaker_2,test1_bottle xxmf shaker_5,test1_bottle xxmf shaker_4,test1_bottle xxmf shaker_3,test1_bottle xxmf side_1,test1_bottle xxmf side_2,test1_bottle xxmf side_5,test1_bottle xxmf side_4,test1_bottle xxmf side_3,test2_bottle xxmf top_1,test2_bottle xxmf top_2,test2_bottle xxmf top_5,test2_bottle xxmf top_4,test2_bottle xxmf top_3,test2_bottle xxmf shaker_1,test2_bottle xxmf shaker_2,test2_bottle xxmf shaker_5,test2_bottle xxmf shaker_4,test2_bottle xxmf shaker_3,test2_bottle xxmf side_1,test2_bottle xxmf side_2,test2_bottle xxmf side_5,test2_bottle xxmf side_4,test2_bottle xxmf side_3
bottle xxmf side,bottle xxmf side,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf side,bottle xxmf side,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf top,bottle xxmf side,bottle xxmf shaker,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf side,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf side
0.6624048,0.6693481,0.9664538,0.92510235,0.9761017,0.7956475,0.8067524,0.80759555,0.9748948,0.8252972,0.49888104,0.9114828,0.6232699,0.944942,0.8802802,0.5975907,0.9533912,0.8222275,0.96029776,0.97314453,0.50387573,0.76328486,0.7407112,0.5485187,0.67091334,0.64156055,0.48484316,0.6440361,0.96330196,0.933515,0.9535631,0.9083277,0.9667322,0.91319954,0.55699533,0.41526365,0.49784768,0.8722159,0.541086,0.6731289,0.8833197,0.95713305,0.7066979,0.86939526,0.8595814
test0
test0_bottle xxmf top_1,test0_bottle xxmf top_2,test0_bottle xxmf top_5,test0_bottle xxmf top_4,test0_bottle xxmf top_3,test0_bottle xxmf shaker_1,test0_bottle xxmf shaker_2,test0_bottle xxmf shaker_5,test0_bottle xxmf shaker_4,test0_bottle xxmf shaker_3,test0_bottle xxmf side_1,test0_bottle xxmf side_2,test0_bottle xxmf side_5,test0_bottle xxmf side_4,test0_bottle xxmf side_3
bottle xxmf side,bottle xxmf side,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf side,bottle xxmf side,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf top,bottle xxmf side
0.6624048,0.6693481,0.9664538,0.92510235,0.9761017,0.7956475,0.8067524,0.80759555,0.9748948,0.8252972,0.49888104,0.9114828,0.6232699,0.944942,0.8802802
test
test1_bottle xxmf top_1,test1_bottle xxmf top_2,test1_bottle xxmf top_5,test1_bottle xxmf top_4,test1_bottle xxmf top_3,test1_bottle xxmf shaker_1,test1_bottle xxmf shaker_2,test1_bottle xxmf shaker_5,test1_bottle xxmf shaker_4,test1_bottle xxmf shaker_3,test1_bottle xxmf side_1,test1_bottle xxmf side_2,test1_bottle xxmf side_5,test1_bottle xxmf side_4,test1_bottle xxmf side_3
bottle xxmf shaker,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf top,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf shaker,bottle xxmf shaker,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf side,bottle xxmf side
0.5975907,0.9533912,0.8222275,0.96029776,0.97314453,0.50387573,0.76328486,0.7407112,0.5485187,0.67091334,0.64156055,0.48484316,0.6440361,0.96330196,0.933515
