test all
test0_popcorn xxmf _1,test0_popcorn xxmf _2,test0_popcorn xxmf _5,test0_popcorn xxmf _4,test0_popcorn xxmf _3,test0_cookies_1,test0_cookies_2,test0_cookies_5,test0_cookies_4,test0_cookies_3,test0_triscuits_1,test0_triscuits_2,test0_triscuits_5,test0_triscuits_4,test0_triscuits_3,test1_popcorn xxmf _1,test1_popcorn xxmf _2,test1_popcorn xxmf _5,test1_popcorn xxmf _4,test1_popcorn xxmf _3,test1_cookies_1,test1_cookies_2,test1_cookies_5,test1_cookies_4,test1_cookies_3,test1_triscuits_1,test1_triscuits_2,test1_triscuits_5,test1_triscuits_4,test1_triscuits_3,test2_popcorn xxmf _1,test2_popcorn xxmf _2,test2_popcorn xxmf _5,test2_popcorn xxmf _4,test2_popcorn xxmf _3,test2_cookies_1,test2_cookies_2,test2_cookies_5,test2_cookies_4,test2_cookies_3,test2_triscuits_1,test2_triscuits_2,test2_triscuits_5,test2_triscuits_4,test2_triscuits_3
popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,cookies,popcorn xxmf,cookies,popcorn xxmf,popcorn xxmf,triscuits,triscuits,triscuits,triscuits,triscuits,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,cookies,triscuits,cookies,triscuits,cookies,triscuits,triscuits,triscuits,popcorn xxmf,triscuits,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,cookies,triscuits,triscuits,popcorn xxmf,triscuits,triscuits,triscuits,triscuits,triscuits
0.9523088,0.7776206,0.95724577,0.9282918,0.8276162,0.62402755,0.81702214,0.58943444,0.5510921,0.48102078,0.7923475,0.8649899,0.9108424,0.8069885,0.72821665,0.94828683,0.92320055,0.9279972,0.84831184,0.910171,0.94570386,0.41566938,0.5106977,0.751259,0.43289858,0.83759266,0.7183865,0.44688463,0.5377035,0.72104657,0.93364555,0.88619083,0.90062183,0.9082147,0.81188685,0.40461946,0.42033917,0.58317447,0.54705954,0.36830863,0.96066475,0.94874686,0.94977033,0.9373291,0.4195174
test0
test0_popcorn xxmf _1,test0_popcorn xxmf _2,test0_popcorn xxmf _5,test0_popcorn xxmf _4,test0_popcorn xxmf _3,test0_cookies_1,test0_cookies_2,test0_cookies_5,test0_cookies_4,test0_cookies_3,test0_triscuits_1,test0_triscuits_2,test0_triscuits_5,test0_triscuits_4,test0_triscuits_3
popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,cookies,popcorn xxmf,cookies,popcorn xxmf,popcorn xxmf,triscuits,triscuits,triscuits,triscuits,triscuits
0.9523088,0.7776206,0.95724577,0.9282918,0.8276162,0.62402755,0.81702214,0.58943444,0.5510921,0.48102078,0.7923475,0.8649899,0.9108424,0.8069885,0.72821665
test
test1_popcorn xxmf _1,test1_popcorn xxmf _2,test1_popcorn xxmf _5,test1_popcorn xxmf _4,test1_popcorn xxmf _3,test1_cookies_1,test1_cookies_2,test1_cookies_5,test1_cookies_4,test1_cookies_3,test1_triscuits_1,test1_triscuits_2,test1_triscuits_5,test1_triscuits_4,test1_triscuits_3
popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,cookies,triscuits,cookies,triscuits,cookies,triscuits,triscuits,triscuits,popcorn xxmf,triscuits
0.94828683,0.92320055,0.9279972,0.84831184,0.910171,0.94570386,0.41566938,0.5106977,0.751259,0.43289858,0.83759266,0.7183865,0.44688463,0.5377035,0.72104657
