test all
test0_popcorn xxmf _1,test0_popcorn xxmf _2,test0_popcorn xxmf _5,test0_popcorn xxmf _4,test0_popcorn xxmf _3,test0_cookies_1,test0_cookies_2,test0_cookies_5,test0_cookies_4,test0_cookies_3,test0_triscuits_1,test0_triscuits_2,test0_triscuits_5,test0_triscuits_4,test0_triscuits_3,test1_popcorn xxmf _1,test1_popcorn xxmf _2,test1_popcorn xxmf _5,test1_popcorn xxmf _4,test1_popcorn xxmf _3,test1_cookies_1,test1_cookies_2,test1_cookies_5,test1_cookies_4,test1_cookies_3,test1_triscuits_1,test1_triscuits_2,test1_triscuits_5,test1_triscuits_4,test1_triscuits_3,test2_popcorn xxmf _1,test2_popcorn xxmf _2,test2_popcorn xxmf _5,test2_popcorn xxmf _4,test2_popcorn xxmf _3,test2_cookies_1,test2_cookies_2,test2_cookies_5,test2_cookies_4,test2_cookies_3,test2_triscuits_1,test2_triscuits_2,test2_triscuits_5,test2_triscuits_4,test2_triscuits_3
popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,cookies,popcorn xxmf,cookies,popcorn xxmf,popcorn xxmf,triscuits,triscuits,triscuits,triscuits,triscuits,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,cookies,triscuits,cookies,triscuits,cookies,triscuits,triscuits,triscuits,popcorn xxmf,triscuits,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,cookies,triscuits,triscuits,triscuits,triscuits,triscuits,triscuits,triscuits,triscuits
0.9471273,0.7628079,0.95304817,0.91982114,0.8129301,0.62263525,0.801021,0.598398,0.5398172,0.468298,0.8133875,0.8783926,0.9212133,0.82481724,0.75600684,0.9441413,0.9159447,0.92030543,0.83521175,0.9020451,0.9423819,0.43844226,0.5003594,0.7739459,0.42106828,0.85491395,0.7441035,0.47456455,0.5168352,0.750813,0.92808175,0.8753756,0.8936917,0.90065604,0.7937754,0.38951802,0.4114425,0.61675227,0.57413536,0.3687079,0.9656184,0.95439553,0.9560807,0.94468975,0.44650042
test0
test0_popcorn xxmf _1,test0_popcorn xxmf _2,test0_popcorn xxmf _5,test0_popcorn xxmf _4,test0_popcorn xxmf _3,test0_cookies_1,test0_cookies_2,test0_cookies_5,test0_cookies_4,test0_cookies_3,test0_triscuits_1,test0_triscuits_2,test0_triscuits_5,test0_triscuits_4,test0_triscuits_3
popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,cookies,popcorn xxmf,cookies,popcorn xxmf,popcorn xxmf,triscuits,triscuits,triscuits,triscuits,triscuits
0.9471273,0.7628079,0.95304817,0.91982114,0.8129301,0.62263525,0.801021,0.598398,0.5398172,0.468298,0.8133875,0.8783926,0.9212133,0.82481724,0.75600684
test
test1_popcorn xxmf _1,test1_popcorn xxmf _2,test1_popcorn xxmf _5,test1_popcorn xxmf _4,test1_popcorn xxmf _3,test1_cookies_1,test1_cookies_2,test1_cookies_5,test1_cookies_4,test1_cookies_3,test1_triscuits_1,test1_triscuits_2,test1_triscuits_5,test1_triscuits_4,test1_triscuits_3
popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,popcorn xxmf,cookies,triscuits,cookies,triscuits,cookies,triscuits,triscuits,triscuits,popcorn xxmf,triscuits
0.9441413,0.9159447,0.92030543,0.83521175,0.9020451,0.9423819,0.43844226,0.5003594,0.7739459,0.42106828,0.85491395,0.7441035,0.47456455,0.5168352,0.750813
