test all
test0_taco xxmf seasoning_1,test0_taco xxmf seasoning_2,test0_taco xxmf seasoning_5,test0_taco xxmf seasoning_4,test0_taco xxmf seasoning_3,test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_oregano_1,test0_oregano_2,test0_oregano_5,test0_oregano_4,test0_oregano_3,test1_taco xxmf seasoning_1,test1_taco xxmf seasoning_2,test1_taco xxmf seasoning_5,test1_taco xxmf seasoning_4,test1_taco xxmf seasoning_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_oregano_1,test1_oregano_2,test1_oregano_5,test1_oregano_4,test1_oregano_3,test2_taco xxmf seasoning_1,test2_taco xxmf seasoning_2,test2_taco xxmf seasoning_5,test2_taco xxmf seasoning_4,test2_taco xxmf seasoning_3,test2_cinnamon_1,test2_cinnamon_2,test2_cinnamon_5,test2_cinnamon_4,test2_cinnamon_3,test2_oregano_1,test2_oregano_2,test2_oregano_5,test2_oregano_4,test2_oregano_3
taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,oregano,cinnamon,taco xxmf seasoning,taco xxmf seasoning,cinnamon,oregano,oregano,taco xxmf seasoning,oregano,oregano,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,cinnamon,taco xxmf seasoning,cinnamon,cinnamon,cinnamon,oregano,oregano,taco xxmf seasoning,cinnamon,oregano,cinnamon,cinnamon,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,oregano,cinnamon,cinnamon,oregano
0.9931651,0.97737086,0.99369544,0.82096606,0.9931257,0.9226975,0.8052117,0.8809902,0.56947184,0.67910606,0.67389107,0.65771526,0.85372776,0.99474347,0.8255675,0.9901799,0.98681074,0.717687,0.6584496,0.9615622,0.8155052,0.4849079,0.650416,0.6382062,0.61888075,0.9529714,0.8290608,0.8255415,0.45962095,0.5098146,0.4806635,0.70328885,0.9960924,0.9872825,0.8758272,0.57077116,0.9924385,0.6000413,0.95404047,0.79686546,0.54600656,0.969055,0.6353161,0.7731428,0.8802989
test0
test0_taco xxmf seasoning_1,test0_taco xxmf seasoning_2,test0_taco xxmf seasoning_5,test0_taco xxmf seasoning_4,test0_taco xxmf seasoning_3,test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_oregano_1,test0_oregano_2,test0_oregano_5,test0_oregano_4,test0_oregano_3
taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,oregano,cinnamon,taco xxmf seasoning,taco xxmf seasoning,cinnamon,oregano,oregano,taco xxmf seasoning,oregano,oregano
0.9931651,0.97737086,0.99369544,0.82096606,0.9931257,0.9226975,0.8052117,0.8809902,0.56947184,0.67910606,0.67389107,0.65771526,0.85372776,0.99474347,0.8255675
test
test1_taco xxmf seasoning_1,test1_taco xxmf seasoning_2,test1_taco xxmf seasoning_5,test1_taco xxmf seasoning_4,test1_taco xxmf seasoning_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_oregano_1,test1_oregano_2,test1_oregano_5,test1_oregano_4,test1_oregano_3
taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,cinnamon,taco xxmf seasoning,cinnamon,cinnamon,cinnamon,oregano,oregano,taco xxmf seasoning,cinnamon,oregano
0.9901799,0.98681074,0.717687,0.6584496,0.9615622,0.8155052,0.4849079,0.650416,0.6382062,0.61888075,0.9529714,0.8290608,0.8255415,0.45962095,0.5098146
