test all
test0_taco xxmf seasoning_1,test0_taco xxmf seasoning_2,test0_taco xxmf seasoning_5,test0_taco xxmf seasoning_4,test0_taco xxmf seasoning_3,test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_oregano_1,test0_oregano_2,test0_oregano_5,test0_oregano_4,test0_oregano_3,test1_taco xxmf seasoning_1,test1_taco xxmf seasoning_2,test1_taco xxmf seasoning_5,test1_taco xxmf seasoning_4,test1_taco xxmf seasoning_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_oregano_1,test1_oregano_2,test1_oregano_5,test1_oregano_4,test1_oregano_3,test2_taco xxmf seasoning_1,test2_taco xxmf seasoning_2,test2_taco xxmf seasoning_5,test2_taco xxmf seasoning_4,test2_taco xxmf seasoning_3,test2_cinnamon_1,test2_cinnamon_2,test2_cinnamon_5,test2_cinnamon_4,test2_cinnamon_3,test2_oregano_1,test2_oregano_2,test2_oregano_5,test2_oregano_4,test2_oregano_3
taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,oregano,cinnamon,taco xxmf seasoning,taco xxmf seasoning,cinnamon,oregano,oregano,taco xxmf seasoning,oregano,oregano,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,cinnamon,taco xxmf seasoning,cinnamon,cinnamon,cinnamon,oregano,oregano,taco xxmf seasoning,cinnamon,oregano,oregano,cinnamon,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,oregano,cinnamon,cinnamon,oregano
0.9917964,0.9778281,0.9937298,0.8292493,0.9913667,0.8841793,0.80346113,0.90130824,0.5586804,0.6288446,0.6735083,0.6522544,0.8524904,0.99314296,0.85627466,0.98770976,0.978837,0.72913474,0.68403006,0.96011055,0.76808727,0.475389,0.5569436,0.4914801,0.5022046,0.9392988,0.8640057,0.8298085,0.3578972,0.64561045,0.47096357,0.5865749,0.9967319,0.9870287,0.85083574,0.552506,0.98900527,0.51522833,0.94631433,0.7493472,0.4733793,0.9799421,0.4886459,0.70444506,0.8434488
test0
test0_taco xxmf seasoning_1,test0_taco xxmf seasoning_2,test0_taco xxmf seasoning_5,test0_taco xxmf seasoning_4,test0_taco xxmf seasoning_3,test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_oregano_1,test0_oregano_2,test0_oregano_5,test0_oregano_4,test0_oregano_3
taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,oregano,cinnamon,taco xxmf seasoning,taco xxmf seasoning,cinnamon,oregano,oregano,taco xxmf seasoning,oregano,oregano
0.9917964,0.9778281,0.9937298,0.8292493,0.9913667,0.8841793,0.80346113,0.90130824,0.5586804,0.6288446,0.6735083,0.6522544,0.8524904,0.99314296,0.85627466
test
test1_taco xxmf seasoning_1,test1_taco xxmf seasoning_2,test1_taco xxmf seasoning_5,test1_taco xxmf seasoning_4,test1_taco xxmf seasoning_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_oregano_1,test1_oregano_2,test1_oregano_5,test1_oregano_4,test1_oregano_3
taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,taco xxmf seasoning,cinnamon,taco xxmf seasoning,cinnamon,cinnamon,cinnamon,oregano,oregano,taco xxmf seasoning,cinnamon,oregano
0.98770976,0.978837,0.72913474,0.68403006,0.96011055,0.76808727,0.475389,0.5569436,0.4914801,0.5022046,0.9392988,0.8640057,0.8298085,0.3578972,0.64561045
