test all
test0_poppy xxmf seeds_1,test0_poppy xxmf seeds_2,test0_poppy xxmf seeds_5,test0_poppy xxmf seeds_4,test0_poppy xxmf seeds_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test0_minced xxmf onions_1,test0_minced xxmf onions_2,test0_minced xxmf onions_5,test0_minced xxmf onions_4,test0_minced xxmf onions_3,test1_poppy xxmf seeds_1,test1_poppy xxmf seeds_2,test1_poppy xxmf seeds_5,test1_poppy xxmf seeds_4,test1_poppy xxmf seeds_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test1_minced xxmf onions_1,test1_minced xxmf onions_2,test1_minced xxmf onions_5,test1_minced xxmf onions_4,test1_minced xxmf onions_3,test2_poppy xxmf seeds_1,test2_poppy xxmf seeds_2,test2_poppy xxmf seeds_5,test2_poppy xxmf seeds_4,test2_poppy xxmf seeds_3,test2_paprika_1,test2_paprika_2,test2_paprika_5,test2_paprika_4,test2_paprika_3,test2_minced xxmf onions_1,test2_minced xxmf onions_2,test2_minced xxmf onions_5,test2_minced xxmf onions_4,test2_minced xxmf onions_3
poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,paprika,paprika,minced xxmf onions,poppy xxmf seeds,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,poppy xxmf seeds,paprika,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,minced xxmf onions,paprika,paprika,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions
0.9252527,0.9739439,0.9832593,0.9270777,0.9681846,0.6969513,0.45986176,0.5239642,0.6487429,0.4961879,0.9306685,0.982771,0.85246366,0.9391027,0.94235665,0.88136274,0.9750431,0.8429806,0.9795934,0.85964066,0.81427664,0.71474564,0.45187995,0.6127423,0.9181033,0.98579735,0.9630851,0.9594039,0.97184867,0.9179536,0.85467076,0.508363,0.78050256,0.99098784,0.9866816,0.8442233,0.46596387,0.49266282,0.48325634,0.91258377,0.98089796,0.9923694,0.7706347,0.926261,0.81260026
test0
test0_poppy xxmf seeds_1,test0_poppy xxmf seeds_2,test0_poppy xxmf seeds_5,test0_poppy xxmf seeds_4,test0_poppy xxmf seeds_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test0_minced xxmf onions_1,test0_minced xxmf onions_2,test0_minced xxmf onions_5,test0_minced xxmf onions_4,test0_minced xxmf onions_3
poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,paprika,paprika,minced xxmf onions,poppy xxmf seeds,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions
0.9252527,0.9739439,0.9832593,0.9270777,0.9681846,0.6969513,0.45986176,0.5239642,0.6487429,0.4961879,0.9306685,0.982771,0.85246366,0.9391027,0.94235665
test
test1_poppy xxmf seeds_1,test1_poppy xxmf seeds_2,test1_poppy xxmf seeds_5,test1_poppy xxmf seeds_4,test1_poppy xxmf seeds_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test1_minced xxmf onions_1,test1_minced xxmf onions_2,test1_minced xxmf onions_5,test1_minced xxmf onions_4,test1_minced xxmf onions_3
poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions
0.88136274,0.9750431,0.8429806,0.9795934,0.85964066,0.81427664,0.71474564,0.45187995,0.6127423,0.9181033,0.98579735,0.9630851,0.9594039,0.97184867,0.9179536
