test all
test0_poppy xxmf seeds_1,test0_poppy xxmf seeds_2,test0_poppy xxmf seeds_5,test0_poppy xxmf seeds_4,test0_poppy xxmf seeds_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test0_minced xxmf onions_1,test0_minced xxmf onions_2,test0_minced xxmf onions_5,test0_minced xxmf onions_4,test0_minced xxmf onions_3,test1_poppy xxmf seeds_1,test1_poppy xxmf seeds_2,test1_poppy xxmf seeds_5,test1_poppy xxmf seeds_4,test1_poppy xxmf seeds_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test1_minced xxmf onions_1,test1_minced xxmf onions_2,test1_minced xxmf onions_5,test1_minced xxmf onions_4,test1_minced xxmf onions_3,test2_poppy xxmf seeds_1,test2_poppy xxmf seeds_2,test2_poppy xxmf seeds_5,test2_poppy xxmf seeds_4,test2_poppy xxmf seeds_3,test2_paprika_1,test2_paprika_2,test2_paprika_5,test2_paprika_4,test2_paprika_3,test2_minced xxmf onions_1,test2_minced xxmf onions_2,test2_minced xxmf onions_5,test2_minced xxmf onions_4,test2_minced xxmf onions_3
poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,paprika,minced xxmf onions,minced xxmf onions,poppy xxmf seeds,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,poppy xxmf seeds,paprika,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,minced xxmf onions,paprika,paprika,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions
0.9174823,0.96791786,0.9801145,0.9163625,0.9667763,0.63583463,0.4878803,0.5974937,0.63335097,0.5421734,0.9442362,0.9860095,0.86770666,0.9421206,0.9566341,0.8857782,0.97016317,0.8393006,0.9758779,0.8336519,0.85506713,0.7277981,0.53832823,0.63690233,0.9223285,0.98877525,0.9626079,0.96523386,0.97626877,0.9145264,0.83552873,0.5096626,0.77482116,0.98905736,0.98428506,0.88249886,0.44881254,0.51321805,0.53620005,0.93844616,0.9813188,0.99312323,0.7544577,0.92265695,0.826567
test0
test0_poppy xxmf seeds_1,test0_poppy xxmf seeds_2,test0_poppy xxmf seeds_5,test0_poppy xxmf seeds_4,test0_poppy xxmf seeds_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test0_minced xxmf onions_1,test0_minced xxmf onions_2,test0_minced xxmf onions_5,test0_minced xxmf onions_4,test0_minced xxmf onions_3
poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,paprika,minced xxmf onions,minced xxmf onions,poppy xxmf seeds,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions
0.9174823,0.96791786,0.9801145,0.9163625,0.9667763,0.63583463,0.4878803,0.5974937,0.63335097,0.5421734,0.9442362,0.9860095,0.86770666,0.9421206,0.9566341
test
test1_poppy xxmf seeds_1,test1_poppy xxmf seeds_2,test1_poppy xxmf seeds_5,test1_poppy xxmf seeds_4,test1_poppy xxmf seeds_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test1_minced xxmf onions_1,test1_minced xxmf onions_2,test1_minced xxmf onions_5,test1_minced xxmf onions_4,test1_minced xxmf onions_3
poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,poppy xxmf seeds,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions,minced xxmf onions
0.8857782,0.97016317,0.8393006,0.9758779,0.8336519,0.85506713,0.7277981,0.53832823,0.63690233,0.9223285,0.98877525,0.9626079,0.96523386,0.97626877,0.9145264
