test all
test0_bone xxmf broth_1,test0_bone xxmf broth_2,test0_bone xxmf broth_5,test0_bone xxmf broth_4,test0_bone xxmf broth_3,test0_water_1,test0_water_2,test0_water_5,test0_water_4,test0_water_3,test0_propel xxmf berry_1,test0_propel xxmf berry_2,test0_propel xxmf berry_5,test0_propel xxmf berry_4,test0_propel xxmf berry_3,test1_bone xxmf broth_1,test1_bone xxmf broth_2,test1_bone xxmf broth_5,test1_bone xxmf broth_4,test1_bone xxmf broth_3,test1_water_1,test1_water_2,test1_water_5,test1_water_4,test1_water_3,test1_propel xxmf berry_1,test1_propel xxmf berry_2,test1_propel xxmf berry_5,test1_propel xxmf berry_4,test1_propel xxmf berry_3,test2_bone xxmf broth_1,test2_bone xxmf broth_2,test2_bone xxmf broth_5,test2_bone xxmf broth_4,test2_bone xxmf broth_3,test2_water_1,test2_water_2,test2_water_5,test2_water_4,test2_water_3,test2_propel xxmf berry_1,test2_propel xxmf berry_2,test2_propel xxmf berry_5,test2_propel xxmf berry_4,test2_propel xxmf berry_3
bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,water,water,water,water,water,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,water,water,water,water,water,bone xxmf broth,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,water,water,water,water,water,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry
0.9912731,0.99548054,0.978303,0.9969199,0.9978765,0.9063845,0.9379941,0.8934828,0.913589,0.8964796,0.9302149,0.89188176,0.86047745,0.930279,0.84127426,0.9910172,0.8256855,0.9902772,0.98148936,0.9958085,0.98323697,0.8819333,0.8891951,0.89958024,0.9921548,0.95471585,0.99384946,0.755444,0.9958954,0.97390836,0.9796877,0.84608,0.9746132,0.9338379,0.67544055,0.73772454,0.62724614,0.8830827,0.5083308,0.5361556,0.9709269,0.7306196,0.9212576,0.8583923,0.84570944
test0
test0_bone xxmf broth_1,test0_bone xxmf broth_2,test0_bone xxmf broth_5,test0_bone xxmf broth_4,test0_bone xxmf broth_3,test0_water_1,test0_water_2,test0_water_5,test0_water_4,test0_water_3,test0_propel xxmf berry_1,test0_propel xxmf berry_2,test0_propel xxmf berry_5,test0_propel xxmf berry_4,test0_propel xxmf berry_3
bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,water,water,water,water,water,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry
0.9912731,0.99548054,0.978303,0.9969199,0.9978765,0.9063845,0.9379941,0.8934828,0.913589,0.8964796,0.9302149,0.89188176,0.86047745,0.930279,0.84127426
test
test1_bone xxmf broth_1,test1_bone xxmf broth_2,test1_bone xxmf broth_5,test1_bone xxmf broth_4,test1_bone xxmf broth_3,test1_water_1,test1_water_2,test1_water_5,test1_water_4,test1_water_3,test1_propel xxmf berry_1,test1_propel xxmf berry_2,test1_propel xxmf berry_5,test1_propel xxmf berry_4,test1_propel xxmf berry_3
bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,water,water,water,water,water,bone xxmf broth,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry
0.9910172,0.8256855,0.9902772,0.98148936,0.9958085,0.98323697,0.8819333,0.8891951,0.89958024,0.9921548,0.95471585,0.99384946,0.755444,0.9958954,0.97390836
