test all
test0_bone xxmf broth_1,test0_bone xxmf broth_2,test0_bone xxmf broth_5,test0_bone xxmf broth_4,test0_bone xxmf broth_3,test0_water_1,test0_water_2,test0_water_5,test0_water_4,test0_water_3,test0_propel xxmf berry_1,test0_propel xxmf berry_2,test0_propel xxmf berry_5,test0_propel xxmf berry_4,test0_propel xxmf berry_3,test1_bone xxmf broth_1,test1_bone xxmf broth_2,test1_bone xxmf broth_5,test1_bone xxmf broth_4,test1_bone xxmf broth_3,test1_water_1,test1_water_2,test1_water_5,test1_water_4,test1_water_3,test1_propel xxmf berry_1,test1_propel xxmf berry_2,test1_propel xxmf berry_5,test1_propel xxmf berry_4,test1_propel xxmf berry_3,test2_bone xxmf broth_1,test2_bone xxmf broth_2,test2_bone xxmf broth_5,test2_bone xxmf broth_4,test2_bone xxmf broth_3,test2_water_1,test2_water_2,test2_water_5,test2_water_4,test2_water_3,test2_propel xxmf berry_1,test2_propel xxmf berry_2,test2_propel xxmf berry_5,test2_propel xxmf berry_4,test2_propel xxmf berry_3
bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,water,water,water,water,water,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,water,water,water,water,water,bone xxmf broth,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,water,water,water,water,water,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry
0.98961186,0.99483407,0.9741018,0.99661607,0.9976725,0.9247064,0.947351,0.92457724,0.9346503,0.9126827,0.9040247,0.87018865,0.81091326,0.9253968,0.7924641,0.99256164,0.82398564,0.99180895,0.9872357,0.9961457,0.9879638,0.9070722,0.9215494,0.92313695,0.9940447,0.95535725,0.99206924,0.7092079,0.99409133,0.96717805,0.98193604,0.8338247,0.98154414,0.94652075,0.6544221,0.813713,0.7098166,0.91799843,0.59890866,0.55593956,0.9725844,0.6958422,0.91262835,0.8243432,0.8269982
test0
test0_bone xxmf broth_1,test0_bone xxmf broth_2,test0_bone xxmf broth_5,test0_bone xxmf broth_4,test0_bone xxmf broth_3,test0_water_1,test0_water_2,test0_water_5,test0_water_4,test0_water_3,test0_propel xxmf berry_1,test0_propel xxmf berry_2,test0_propel xxmf berry_5,test0_propel xxmf berry_4,test0_propel xxmf berry_3
bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,water,water,water,water,water,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry
0.98961186,0.99483407,0.9741018,0.99661607,0.9976725,0.9247064,0.947351,0.92457724,0.9346503,0.9126827,0.9040247,0.87018865,0.81091326,0.9253968,0.7924641
test
test1_bone xxmf broth_1,test1_bone xxmf broth_2,test1_bone xxmf broth_5,test1_bone xxmf broth_4,test1_bone xxmf broth_3,test1_water_1,test1_water_2,test1_water_5,test1_water_4,test1_water_3,test1_propel xxmf berry_1,test1_propel xxmf berry_2,test1_propel xxmf berry_5,test1_propel xxmf berry_4,test1_propel xxmf berry_3
bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,bone xxmf broth,water,water,water,water,water,bone xxmf broth,propel xxmf berry,propel xxmf berry,propel xxmf berry,propel xxmf berry
0.99256164,0.82398564,0.99180895,0.9872357,0.9961457,0.9879638,0.9070722,0.9215494,0.92313695,0.9940447,0.95535725,0.99206924,0.7092079,0.99409133,0.96717805
