test all
test0_allspice_1,test0_allspice_2,test0_allspice_5,test0_allspice_4,test0_allspice_3,test0_tumeric_1,test0_tumeric_2,test0_tumeric_5,test0_tumeric_4,test0_tumeric_3,test0_cloves_1,test0_cloves_2,test0_cloves_5,test0_cloves_4,test0_cloves_3,test1_allspice_1,test1_allspice_2,test1_allspice_5,test1_allspice_4,test1_allspice_3,test1_tumeric_1,test1_tumeric_2,test1_tumeric_5,test1_tumeric_4,test1_tumeric_3,test1_cloves_1,test1_cloves_2,test1_cloves_5,test1_cloves_4,test1_cloves_3,test2_allspice_1,test2_allspice_2,test2_allspice_5,test2_allspice_4,test2_allspice_3,test2_tumeric_1,test2_tumeric_2,test2_tumeric_5,test2_tumeric_4,test2_tumeric_3,test2_cloves_1,test2_cloves_2,test2_cloves_5,test2_cloves_4,test2_cloves_3
tumeric,tumeric,allspice,tumeric,tumeric,tumeric,tumeric,tumeric,tumeric,tumeric,cloves,tumeric,cloves,tumeric,tumeric,allspice,allspice,allspice,allspice,allspice,allspice,allspice,tumeric,allspice,tumeric,allspice,allspice,allspice,allspice,cloves,allspice,allspice,tumeric,tumeric,tumeric,allspice,allspice,allspice,tumeric,tumeric,allspice,allspice,allspice,tumeric,tumeric
0.50724727,0.81815845,0.5926164,0.7950659,0.53375876,0.9916523,0.9737632,0.9300604,0.968759,0.6290645,0.75153524,0.8267786,0.6090782,0.8255797,0.9209527,0.93808,0.8322378,0.861311,0.8069544,0.872569,0.871878,0.77566296,0.82441866,0.4742528,0.5002625,0.8411295,0.9420092,0.49357858,0.697369,0.6743753,0.7744116,0.72980934,0.5510575,0.80111766,0.69950205,0.65182847,0.47927666,0.8051427,0.874523,0.7987828,0.47996497,0.89237493,0.77825737,0.78219473,0.72584003
test0
test0_allspice_1,test0_allspice_2,test0_allspice_5,test0_allspice_4,test0_allspice_3,test0_tumeric_1,test0_tumeric_2,test0_tumeric_5,test0_tumeric_4,test0_tumeric_3,test0_cloves_1,test0_cloves_2,test0_cloves_5,test0_cloves_4,test0_cloves_3
tumeric,tumeric,allspice,tumeric,tumeric,tumeric,tumeric,tumeric,tumeric,tumeric,cloves,tumeric,cloves,tumeric,tumeric
0.50724727,0.81815845,0.5926164,0.7950659,0.53375876,0.9916523,0.9737632,0.9300604,0.968759,0.6290645,0.75153524,0.8267786,0.6090782,0.8255797,0.9209527
test
test1_allspice_1,test1_allspice_2,test1_allspice_5,test1_allspice_4,test1_allspice_3,test1_tumeric_1,test1_tumeric_2,test1_tumeric_5,test1_tumeric_4,test1_tumeric_3,test1_cloves_1,test1_cloves_2,test1_cloves_5,test1_cloves_4,test1_cloves_3
allspice,allspice,allspice,allspice,allspice,allspice,allspice,tumeric,allspice,tumeric,allspice,allspice,allspice,allspice,cloves
0.93808,0.8322378,0.861311,0.8069544,0.872569,0.871878,0.77566296,0.82441866,0.4742528,0.5002625,0.8411295,0.9420092,0.49357858,0.697369,0.6743753
