test all
test0_allspice_1,test0_allspice_2,test0_allspice_5,test0_allspice_4,test0_allspice_3,test0_tumeric_1,test0_tumeric_2,test0_tumeric_5,test0_tumeric_4,test0_tumeric_3,test0_cloves_1,test0_cloves_2,test0_cloves_5,test0_cloves_4,test0_cloves_3,test1_allspice_1,test1_allspice_2,test1_allspice_5,test1_allspice_4,test1_allspice_3,test1_tumeric_1,test1_tumeric_2,test1_tumeric_5,test1_tumeric_4,test1_tumeric_3,test1_cloves_1,test1_cloves_2,test1_cloves_5,test1_cloves_4,test1_cloves_3,test2_allspice_1,test2_allspice_2,test2_allspice_5,test2_allspice_4,test2_allspice_3,test2_tumeric_1,test2_tumeric_2,test2_tumeric_5,test2_tumeric_4,test2_tumeric_3,test2_cloves_1,test2_cloves_2,test2_cloves_5,test2_cloves_4,test2_cloves_3
tumeric,tumeric,allspice,tumeric,tumeric,tumeric,tumeric,tumeric,tumeric,tumeric,cloves,tumeric,cloves,tumeric,tumeric,allspice,allspice,allspice,allspice,allspice,allspice,allspice,tumeric,allspice,tumeric,allspice,allspice,cloves,allspice,cloves,allspice,allspice,tumeric,tumeric,tumeric,allspice,tumeric,allspice,tumeric,tumeric,allspice,allspice,allspice,tumeric,tumeric
0.5376147,0.84498626,0.5497267,0.82519084,0.5750766,0.9921067,0.9741746,0.9393311,0.96938264,0.70331144,0.7735011,0.84227985,0.6192595,0.8461927,0.93152994,0.917195,0.7443214,0.84439945,0.7875218,0.8578021,0.8550647,0.68450904,0.81292367,0.45013615,0.5724373,0.7866767,0.8885009,0.40725443,0.6463342,0.68270236,0.70596695,0.74590343,0.53642964,0.7942109,0.6831072,0.601437,0.520953,0.7534108,0.89093184,0.7981943,0.4701199,0.8362227,0.7169698,0.77715236,0.7231694
test0
test0_allspice_1,test0_allspice_2,test0_allspice_5,test0_allspice_4,test0_allspice_3,test0_tumeric_1,test0_tumeric_2,test0_tumeric_5,test0_tumeric_4,test0_tumeric_3,test0_cloves_1,test0_cloves_2,test0_cloves_5,test0_cloves_4,test0_cloves_3
tumeric,tumeric,allspice,tumeric,tumeric,tumeric,tumeric,tumeric,tumeric,tumeric,cloves,tumeric,cloves,tumeric,tumeric
0.5376147,0.84498626,0.5497267,0.82519084,0.5750766,0.9921067,0.9741746,0.9393311,0.96938264,0.70331144,0.7735011,0.84227985,0.6192595,0.8461927,0.93152994
test
test1_allspice_1,test1_allspice_2,test1_allspice_5,test1_allspice_4,test1_allspice_3,test1_tumeric_1,test1_tumeric_2,test1_tumeric_5,test1_tumeric_4,test1_tumeric_3,test1_cloves_1,test1_cloves_2,test1_cloves_5,test1_cloves_4,test1_cloves_3
allspice,allspice,allspice,allspice,allspice,allspice,allspice,tumeric,allspice,tumeric,allspice,allspice,cloves,allspice,cloves
0.917195,0.7443214,0.84439945,0.7875218,0.8578021,0.8550647,0.68450904,0.81292367,0.45013615,0.5724373,0.7866767,0.8885009,0.40725443,0.6463342,0.68270236
