test all
test0_cumin xxmf seed_1,test0_cumin xxmf seed_2,test0_cumin xxmf seed_5,test0_cumin xxmf seed_4,test0_cumin xxmf seed_3,test0_sage_1,test0_sage_2,test0_sage_5,test0_sage_4,test0_sage_3,test0_ginger_1,test0_ginger_2,test0_ginger_5,test0_ginger_4,test0_ginger_3,test1_cumin xxmf seed_1,test1_cumin xxmf seed_2,test1_cumin xxmf seed_5,test1_cumin xxmf seed_4,test1_cumin xxmf seed_3,test1_sage_1,test1_sage_2,test1_sage_5,test1_sage_4,test1_sage_3,test1_ginger_1,test1_ginger_2,test1_ginger_5,test1_ginger_4,test1_ginger_3,test2_cumin xxmf seed_1,test2_cumin xxmf seed_2,test2_cumin xxmf seed_5,test2_cumin xxmf seed_4,test2_cumin xxmf seed_3,test2_sage_1,test2_sage_2,test2_sage_5,test2_sage_4,test2_sage_3,test2_ginger_1,test2_ginger_2,test2_ginger_5,test2_ginger_4,test2_ginger_3
ginger,cumin xxmf seed,cumin xxmf seed,sage,cumin xxmf seed,sage,sage,sage,sage,sage,ginger,ginger,ginger,ginger,ginger,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,sage,cumin xxmf seed,ginger,ginger,ginger,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,ginger,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,sage,sage,cumin xxmf seed,ginger,ginger,sage,ginger,ginger
0.80624187,0.6809794,0.7061209,0.48942035,0.5732719,0.68196905,0.7458583,0.47012714,0.6940355,0.85203373,0.84615576,0.87388045,0.71857715,0.94437313,0.8896601,0.9253222,0.6790304,0.9581652,0.6149032,0.7841329,0.5201951,0.7198327,0.7145143,0.95279884,0.63242245,0.8659362,0.6426653,0.8985832,0.93984455,0.50540465,0.6140026,0.84228706,0.96069485,0.80918026,0.6320656,0.9845429,0.5571643,0.7703331,0.7762246,0.49528772,0.6791764,0.6678349,0.47381157,0.4851946,0.89857775
test0
test0_cumin xxmf seed_1,test0_cumin xxmf seed_2,test0_cumin xxmf seed_5,test0_cumin xxmf seed_4,test0_cumin xxmf seed_3,test0_sage_1,test0_sage_2,test0_sage_5,test0_sage_4,test0_sage_3,test0_ginger_1,test0_ginger_2,test0_ginger_5,test0_ginger_4,test0_ginger_3
ginger,cumin xxmf seed,cumin xxmf seed,sage,cumin xxmf seed,sage,sage,sage,sage,sage,ginger,ginger,ginger,ginger,ginger
0.80624187,0.6809794,0.7061209,0.48942035,0.5732719,0.68196905,0.7458583,0.47012714,0.6940355,0.85203373,0.84615576,0.87388045,0.71857715,0.94437313,0.8896601
test
test1_cumin xxmf seed_1,test1_cumin xxmf seed_2,test1_cumin xxmf seed_5,test1_cumin xxmf seed_4,test1_cumin xxmf seed_3,test1_sage_1,test1_sage_2,test1_sage_5,test1_sage_4,test1_sage_3,test1_ginger_1,test1_ginger_2,test1_ginger_5,test1_ginger_4,test1_ginger_3
cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,cumin xxmf seed,sage,cumin xxmf seed,ginger,ginger,ginger,cumin xxmf seed
0.9253222,0.6790304,0.9581652,0.6149032,0.7841329,0.5201951,0.7198327,0.7145143,0.95279884,0.63242245,0.8659362,0.6426653,0.8985832,0.93984455,0.50540465
